"subject" "speed" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 5.01199660813932 1 112 -0.187729753494891 -0.00982712996648172 1
"2" "AB" 5.01199660813932 2 112 -0.14515349863629 -0.0066495754458446 1
"3" "AB" 7.94415940652074 1 112 -0.244434137595286 -0.0821460132906601 1
"4" "AB" 7.94415940652074 2 112 -0.147038969420501 -0.0113671910742679 1
"5" "AB" 10 1 112 -0.330075285991197 -0.11677093996258 1
"6" "AB" 12.5897930372753 1 56 -0.166422918270664 -0.033616878990452 1
"7" "AB" 12.5897930372753 1 112 -0.249642144866161 -0.112882277649218 1
"8" "AB" 12.5897930372753 2 56 -0.149138914326647 -0.0309090138208743 1
"9" "AB" 12.5897930372753 2 112 -0.138010836813393 -0.0176666859101037 1
"10" "AB" 15.849 1 56 -0.196190780133407 -0.0171610237932532 1
"11" "AB" 15.849 1 112 -0.217260099483346 -0.0521235809343985 1
"12" "AB" 15.849 2 56 -0.209344453572992 -0.0335642774711068 1
"13" "AB" 19.9535629847777 1 56 -0.152724495466637 -0.0345887228628362 1
"14" "AB" 19.9535629847777 1 112 -0.200577324959064 -0.062941041877463 1
"15" "AB" 19.9535629847777 2 56 -0.201486783354795 -0.060264457655308 1
"16" "AB" 25.119 1 56 -0.174318025349273 -0.00517339620566251 1
"17" "AB" 25.119 1 112 -0.245853974279439 -0.0322618958313609 1
"18" "AB" 25.119 2 56 -0.273748415858507 -0.0472655510998774 1
"19" "AB" 31.6243011303319 1 56 -0.162828826582528 -0.0327362287583553 1
"20" "AB" 31.6243011303319 2 56 -0.205520853953093 -0.0234965246640929 1
"21" "AB" 39.182 1 56 -0.19377434479171 -0.0260176281985352 1
"22" "AD" 3.981 1 112 0.01427954222144 0.701205890621626 1
"23" "AD" 5.01199660813932 1 112 0.067285345649937 0.520995952320665 1
"24" "AD" 6.31 1 112 0.0448061110035082 0.469109649127166 1
"25" "AD" 15.849 1 112 -0.312772489382598 -0.0348467452224867 1
"26" "AD" 15.849 2 112 -0.212609803279982 -0.0247727087016085 1
"27" "AD" 19.9535629847777 1 112 -0.266267145399168 -0.0663460413334701 1
"28" "AD" 19.9535629847777 2 112 -0.178955738700945 -0.0411686796239926 1
"29" "AD" 25.119 1 112 -0.270367804099748 -0.0471934344116993 1
