"speed" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" 3.981 2 56 -0.0834291840789097 -0.0123253574245121 1
"2" 5.01199660813932 2 56 -0.0636203932663011 -0.0170958451976487 1
"3" 5.01199660813932 2 112 -0.0537888391652565 -0.0064894980306206 1
"4" 6.31 1 112 -0.0769849509310807 -0.0052915137671315 1
"5" 6.31 2 112 -0.066908263447496 -0.00843288014428243 1
"6" 7.94415940652074 1 56 -0.0514055561961596 -0.00177697642573133 1
"7" 7.94415940652074 1 112 -0.077320891965775 -0.0358700177951613 1
"8" 7.94415940652074 2 56 -0.0623278127056532 -0.0187245488071361 1
"9" 7.94415940652074 2 112 -0.0752123485378522 -0.0277231671285801 1
"10" 10 1 56 -0.0704511285498663 -0.00116880584894117 1
"11" 10 1 112 -0.0953941551189521 -0.0417736224564807 1
"12" 10 2 56 -0.076645154249357 -0.0294206334971526 1
"13" 10 2 112 -0.0932546101285101 -0.0471038855786183 1
"14" 12.5897930372753 1 56 -0.0659813407801059 -0.020371322224308 1
"15" 12.5897930372753 1 112 -0.0875594064070834 -0.0517547320554259 1
"16" 12.5897930372753 2 56 -0.0842518985547676 -0.0427474639165429 1
"17" 12.5897930372753 2 112 -0.0880619363308213 -0.0524611494790178 1
"18" 15.849 1 56 -0.0778107884022969 -0.0260542629879611 1
"19" 15.849 1 112 -0.100642710963494 -0.0463306240490956 1
"20" 15.849 2 56 -0.102534309593741 -0.0395554000203822 1
"21" 15.849 2 112 -0.0895979536440838 -0.0436567892130162 1
"22" 19.9535629847777 1 56 -0.0948987282393976 -0.0524497283026686 1
"23" 19.9535629847777 1 112 -0.102490408939447 -0.0633918267539121 1
"24" 19.9535629847777 2 56 -0.0850888683045083 -0.0438601348582905 1
"25" 19.9535629847777 2 112 -0.0779335591483856 -0.0399290433599532 1
"26" 25.119 1 56 -0.124376799189161 -0.0751277438191125 1
"27" 25.119 1 112 -0.118907032403478 -0.0750780408178101 1
"28" 25.119 2 56 -0.0750998156892633 -0.0200165996852201 1
"29" 25.119 2 112 -0.0755516345074632 -0.0225648082923501 1
"30" 31.6243011303319 1 56 -0.0919595600671987 -0.0496562087012391 1
"31" 31.6243011303319 1 112 -0.0798389538331265 -0.0480165272064093 1
"32" 31.6243011303319 2 56 -0.0709416338435888 -0.0301893482702875 1
"33" 31.6243011303319 2 112 -0.0571114742173317 -0.0209567194027465 1
"34" 39.182 1 56 -0.066609048397432 -0.0123960305058087 1
"35" 39.182 2 56 -0.0822541505090361 -0.0251462730119605 1
