"subject" "radius" "number" "durationTest" "sample" "tf" "psesample"
"35" "AB" 2 1 56 3 0.99945325388133 1.09689317993483
"36" "AB" 2 1 56 3 1.00426769090986 1.09712489222753
"37" "AB" 2 1 56 3 1.26122334653172 1.10949181773379
"38" "AB" 2 1 56 3 1.55900224505666 1.12905971435986
"39" "AB" 2 1 56 3 1.59154943091895 1.13119848232354
"40" "AB" 2 1 56 3 1.99890650776266 1.15796707206936
"41" "AB" 2 1 56 3 2.52244669306345 1.183837858383
"42" "AB" 2 1 56 3 3.11800449011332 1.21326740159189
"43" "AB" 2 1 56 4 0.316797914224418 0.911881241836889
"44" "AB" 2 1 56 4 0.397887357729738 0.945982529292883
"45" "AB" 2 1 56 4 0.50213384545493 0.989822260958588
"46" "AB" 2 1 56 4 0.630611673265862 1.02117136750691
"47" "AB" 2 1 56 4 0.633595828448835 1.02189951336976
"48" "AB" 2 1 56 4 0.795774715459477 1.06147181386247
"49" "AB" 2 1 56 4 0.99945325388133 1.08655233339991
"50" "AB" 2 1 56 4 1.00426769090986 1.08714517240441
"51" "AB" 2 1 56 4 1.26122334653172 1.11878611695858
"52" "AB" 2 1 56 4 1.55900224505666 1.13014103999045
"53" "AB" 2 1 56 4 1.59154943091895 1.13138213125716
"54" "AB" 2 1 56 4 1.99890650776266 1.14691549603539
"55" "AB" 2 1 56 4 2.52244669306345 1.1649807854569
"56" "AB" 2 1 56 4 3.11800449011332 1.1855311162109
"57" "AB" 2 1 56 5 0.316797914224418 0.951557275582165
"58" "AB" 2 1 56 5 0.397887357729738 0.97611654514693
"59" "AB" 2 1 56 5 0.50213384545493 1.00768930582391
"60" "AB" 2 1 56 5 0.630611673265862 1.05032695028407
"61" "AB" 2 1 56 5 0.633595828448835 1.05131729507643
"62" "AB" 2 1 56 5 0.795774715459477 1.10513923339158
"63" "AB" 2 1 56 5 0.99945325388133 1.10204198871473
"64" "AB" 2 1 56 5 1.00426769090986 1.10196877781301
"65" "AB" 2 1 56 5 1.26122334653172 1.09806137282705
"66" "AB" 2 1 56 5 1.55900224505666 1.12048111261818
"67" "AB" 2 1 56 5 1.59154943091895 1.12293158658252
"68" "AB" 2 1 56 5 1.99890650776266 1.15360145509957
"69" "AB" 2 1 56 5 2.52244669306345 1.16899658212885
"70" "AB" 2 1 56 5 3.11800449011332 1.18650944589038
"71" "AB" 2 1 56 6 0.316797914224418 0.956916103743174
"72" "AB" 2 1 56 6 0.397887357729738 0.972366172528953
"73" "AB" 2 1 56 6 0.50213384545493 0.99222838068339
"74" "AB" 2 1 56 6 0.630611673265862 1.03126561374222
"75" "AB" 2 1 56 6 0.633595828448835 1.03217233176
"76" "AB" 2 1 56 6 0.795774715459477 1.08144943363297
"77" "AB" 2 1 56 6 0.99945325388133 1.09741636873198
"78" "AB" 2 1 56 6 1.00426769090986 1.09779378602969
"79" "AB" 2 1 56 6 1.26122334653172 1.11793726461328
"80" "AB" 2 1 56 6 1.55900224505666 1.13093923338164
"81" "AB" 2 1 56 6 1.59154943091895 1.13236034648326
"82" "AB" 2 1 56 6 1.99890650776266 1.15014684518055
"83" "AB" 2 1 56 6 2.52244669306345 1.18047052693672
"84" "AB" 2 1 56 6 3.11800449011332 1.21496550098493
"85" "AB" 2 1 56 7 0.316797914224418 0.911077620006349
"86" "AB" 2 1 56 7 0.397887357729738 0.940838841673525
"87" "AB" 2 1 56 7 0.50213384545493 0.979099097202476
"88" "AB" 2 1 56 7 0.630611673265862 1.01266807898053
"89" "AB" 2 1 56 7 0.633595828448835 1.01344778589703
"90" "AB" 2 1 56 7 0.795774715459477 1.05582225778534
"91" "AB" 2 1 56 7 0.99945325388133 1.07718446925573
"92" "AB" 2 1 56 7 1.00426769090986 1.07768941701661
"93" "AB" 2 1 56 7 1.26122334653172 1.10463943883255
"94" "AB" 2 1 56 7 1.55900224505666 1.1143913171071
"95" "AB" 2 1 56 7 1.59154943091895 1.11545719583887
"96" "AB" 2 1 56 7 1.99890650776266 1.12879761937906
"97" "AB" 2 1 56 7 2.52244669306345 1.17869342605917
"98" "AB" 2 1 56 7 3.11800449011332 1.23545284499729
"99" "AB" 2 1 56 8 0.316797914224418 0.883727598103179
"100" "AB" 2 1 56 8 0.397887357729738 0.913847310541619
"101" "AB" 2 1 56 8 0.50213384545493 0.952568432518416
"102" "AB" 2 1 56 8 0.630611673265862 0.998704541639501
"103" "AB" 2 1 56 8 0.633595828448835 0.999776145288953
"104" "AB" 2 1 56 8 0.795774715459477 1.05801423162452
"105" "AB" 2 1 56 8 0.99945325388133 1.06981210558975
"106" "AB" 2 1 56 8 1.00426769090986 1.07009097700014
"107" "AB" 2 1 56 8 1.26122334653172 1.08497487425888
"108" "AB" 2 1 56 8 1.55900224505666 1.11049227312714
"109" "AB" 2 1 56 8 1.59154943091895 1.11328132073193
"110" "AB" 2 1 56 8 1.99890650776266 1.14818874050922
"111" "AB" 2 1 56 8 2.52244669306345 1.16437850140147
"112" "AB" 2 1 56 8 3.11800449011332 1.18279530798569
"113" "AB" 2 1 56 9 0.316797914224418 0.970785375876216
"114" "AB" 2 1 56 9 0.397887357729738 0.966742037592952
"115" "AB" 2 1 56 9 0.50213384545493 0.961544026649795
