"subject" "radius" "number" "durationTest" "freq" "pse"
"149" "AD" 4 2 56 1.26122334653172 1.06367827113079
"150" "AD" 4 2 56 1.55900224505666 1.09131847781418
"151" "AD" 4 2 112 0.158398957112209 1.03033399535651
"152" "AD" 4 2 112 0.251066922727465 0.969540717629346
"153" "AD" 4 2 112 0.316797914224418 0.94495312224336
"154" "AD" 4 2 112 0.397887357729738 0.914620483383409
"155" "AD" 4 2 112 0.50213384545493 0.933676983844915
"156" "AD" 4 2 112 0.630611673265862 0.957163029642703
"157" "AD" 4 2 112 0.795774715459477 0.991708269048395
"158" "AD" 4 2 112 0.99945325388133 1.03430934843113
"159" "AD" 4 2 112 1.26122334653172 1.06128183539638
"160" "AD" 4 2 112 1.55900224505666 1.09196462798613
"161" "FE" 2 1 56 0.316797914224418 0.800047290656188
"162" "FE" 2 1 56 0.397887357729738 0.871912502354311
"163" "FE" 2 1 56 0.50213384545493 0.964300556647287
"164" "FE" 2 1 56 0.630611673265862 0.993442925930367
"165" "FE" 2 1 56 0.795774715459477 1.03090652918031
"166" "FE" 2 1 56 0.99945325388133 1.05953674254863
"167" "FE" 2 1 56 1.26122334653172 1.09633263505696
"168" "FE" 2 1 56 1.55900224505666 1.09448888821045
"169" "FE" 2 1 56 1.99890650776266 1.09176514888189
"170" "FE" 2 1 56 3.11800449011332 1.01266391146234
"171" "FE" 2 1 112 0.316797914224418 0.611381453016424
"172" "FE" 2 1 112 0.397887357729738 0.748536838403672
"173" "FE" 2 1 112 0.50213384545493 0.924860248469715
"174" "FE" 2 1 112 0.630611673265862 0.942617388781442
"175" "FE" 2 1 112 0.795774715459477 0.965444855314109
"176" "FE" 2 1 112 0.99945325388133 1.00058181659311
"177" "FE" 2 1 112 1.26122334653172 1.04574025930742
"178" "FE" 2 1 112 1.55900224505666 1.08878749830004
"179" "FE" 2 1 112 1.99890650776266 1.15238053334846
"180" "FE" 2 1 112 3.11800449011332 1.13961974559191
"181" "FE" 2 2 56 0.316797914224418 0.854971459339327
"182" "FE" 2 2 56 0.397887357729738 0.887795424097261
"183" "FE" 2 2 56 0.50213384545493 0.9299930627949
"184" "FE" 2 2 56 0.630611673265862 0.985654873544547
"185" "FE" 2 2 56 0.795774715459477 1.05721020845374
"186" "FE" 2 2 56 0.99945325388133 1.11632280444353
"187" "FE" 2 2 56 1.26122334653172 1.19229501952788
"188" "FE" 2 2 56 1.55900224505666 1.15264986256099
"189" "FE" 2 2 56 1.99890650776266 1.09408267183064
"190" "FE" 2 2 56 3.11800449011332 1.12290526743214
"191" "FE" 2 2 112 0.316797914224418 0.810427276524083
"192" "FE" 2 2 112 0.397887357729738 0.850779249640906
"193" "FE" 2 2 112 0.50213384545493 0.902654700850953
"194" "FE" 2 2 112 0.630611673265862 0.966555307383751
"195" "FE" 2 2 112 0.795774715459477 1.04870192172802
"196" "FE" 2 2 112 0.99945325388133 1.0746329562702
"197" "FE" 2 2 112 1.26122334653172 1.10795983188126
"198" "FE" 2 2 112 1.55900224505666 1.15266052584232
"199" "FE" 2 2 112 1.99890650776266 1.21869618490613
"200" "FE" 2 2 112 3.11800449011332 1.25288713593823
"201" "FE" 4 1 56 0.158398957112209 0.730174796027405
"202" "FE" 4 1 56 0.251066922727465 0.988829265924654
"203" "FE" 4 1 56 0.316797914224418 1.01398154810852
"204" "FE" 4 1 56 0.397887357729738 1.04501081632325
"205" "FE" 4 1 56 0.50213384545493 1.03865900773614
"206" "FE" 4 1 56 0.630611673265862 1.03083076730568
"207" "FE" 4 1 56 0.795774715459477 1.05320778344798
"208" "FE" 4 1 56 0.99945325388133 1.08080304859673
"209" "FE" 4 1 56 1.26122334653172 1.08408761226515
"210" "FE" 4 1 56 1.55900224505666 1.08782399689722
"211" "FE" 4 1 112 0.158398957112209 0.779589797845167
"212" "FE" 4 1 112 0.251066922727465 0.653149725153685
"213" "FE" 4 1 112 0.316797914224418 0.761207817695181
"214" "FE" 4 1 112 0.397887357729738 0.894514350745766
"215" "FE" 4 1 112 0.50213384545493 0.933677533574318
"216" "FE" 4 1 112 0.630611673265862 0.981943914243552
"217" "FE" 4 1 112 0.795774715459477 1.02954567277749
"218" "FE" 4 1 112 0.99945325388133 1.08824801003002
"219" "FE" 4 1 112 1.26122334653172 1.10318171562047
"220" "FE" 4 1 112 1.55900224505666 1.12016968531783
"221" "FE" 4 2 56 0.158398957112209 0.828758379728737
"222" "FE" 4 2 56 0.251066922727465 0.939145402436714
"223" "FE" 4 2 56 0.316797914224418 0.976694424471589
"224" "FE" 4 2 56 0.397887357729738 1.02301700734512
"225" "FE" 4 2 56 0.50213384545493 1.03670033937265
"226" "FE" 4 2 56 0.630611673265862 1.05356426269971
"227" "FE" 4 2 56 0.795774715459477 1.09879973881467
"228" "FE" 4 2 56 0.99945325388133 1.15458398411278
"229" "FE" 4 2 56 1.26122334653172 1.11893066846775
"230" "FE" 4 2 56 1.55900224505666 1.07837292195803
"231" "FE" 4 2 112 0.158398957112209 0.698622055758353
"232" "FE" 4 2 112 0.251066922727465 0.819922082820845
"233" "FE" 4 2 112 0.316797914224418 0.864471874876657
"234" "FE" 4 2 112 0.397887357729738 0.919431000911611
"235" "FE" 4 2 112 0.50213384545493 0.98776314189466
"236" "FE" 4 2 112 0.630611673265862 1.07197859351079
"237" "FE" 4 2 112 0.795774715459477 1.09094943947275
"238" "FE" 4 2 112 0.99945325388133 1.11434422638658
"239" "FE" 4 2 112 1.26122334653172 1.16698464751437
"240" "FE" 4 2 112 1.55900224505666 1.22686622704323
"241" "MA" 2 1 56 0.316797914224418 0.906325435657847
"242" "MA" 2 1 56 0.397887357729738 0.920026195608202
"243" "MA" 2 1 56 0.50213384545493 0.937639537644477
"244" "MA" 2 1 56 0.630611673265862 0.971583371425979
"245" "MA" 2 1 56 0.795774715459477 1.01521943646996
"246" "MA" 2 1 56 0.99945325388133 1.00383549814207
"247" "MA" 2 1 56 1.26122334653172 0.98920472450285
"248" "MA" 2 1 56 1.55900224505666 1.05399861853193
"249" "MA" 2 1 56 1.99890650776266 1.14971765813449
"250" "MA" 2 1 56 3.11800449011332 1.06300333630154
"251" "MA" 2 1 112 0.316797914224418 0.963534252487004
"252" "MA" 2 1 112 0.397887357729738 0.974549063394482
"253" "MA" 2 1 112 0.50213384545493 0.98870941892814
"254" "MA" 2 1 112 0.630611673265862 0.993235715558518
"255" "MA" 2 1 112 0.795774715459477 0.999054438789456
"256" "MA" 2 1 112 0.99945325388133 1.02975520921081
"257" "MA" 2 1 112 1.26122334653172 1.06921220639816
"258" "MA" 2 1 112 1.55900224505666 1.07392614486537
"259" "MA" 2 1 112 1.99890650776266 1.08088997486183
"260" "MA" 2 1 112 3.11800449011332 1.07652975304288
"261" "MA" 2 2 56 0.316797914224418 1.00783593176509
"262" "MA" 2 2 56 0.397887357729738 1.01597075480249
"263" "MA" 2 2 56 0.50213384545493 1.02642867254438
"264" "MA" 2 2 56 0.630611673265862 1.06177421157675
"265" "MA" 2 2 56 0.795774715459477 1.10721222102964
"266" "MA" 2 2 56 0.99945325388133 1.09335866894521
"267" "MA" 2 2 56 1.26122334653172 1.07555391818072
"268" "MA" 2 2 56 1.55900224505666 1.05986069339345
"269" "MA" 2 2 56 1.99890650776266 1.03667732978467
"270" "MA" 2 2 56 3.11800449011332 1.05202914344227
"271" "MA" 2 2 112 0.316797914224418 0.987950173548933
"272" "MA" 2 2 112 0.397887357729738 0.999291114724859
"273" "MA" 2 2 112 0.50213384545493 1.01387073488233
"274" "MA" 2 2 112 0.630611673265862 1.05281087200459
"275" "MA" 2 2 112 0.795774715459477 1.10286987144544
"276" "MA" 2 2 112 0.99945325388133 1.11093155351906
"277" "MA" 2 2 112 1.26122334653172 1.12129252370119
"278" "MA" 2 2 112 1.55900224505666 1.09559345185798
"279" "MA" 2 2 112 1.99890650776266 1.05762860173793
"280" "MA" 2 2 112 3.11800449011332 1.03032544666609
"281" "MA" 4 1 56 0.158398957112209 0.930303889306208
"282" "MA" 4 1 56 0.251066922727465 0.949735798700537
"283" "MA" 4 1 56 0.316797914224418 0.962825308282834
"284" "MA" 4 1 56 0.397887357729738 0.978973262598041
"285" "MA" 4 1 56 0.50213384545493 0.967937449169636
"286" "MA" 4 1 56 0.630611673265862 0.954336440940506
"287" "MA" 4 1 56 0.795774715459477 0.963192603510844
"288" "MA" 4 1 56 0.99945325388133 0.974113995030371
"289" "MA" 4 1 56 1.26122334653172 1.0120983709051
"290" "MA" 4 1 56 1.55900224505666 1.05530783572445
"291" "MA" 4 1 112 0.158398957112209 0.928542772290344
"292" "MA" 4 1 112 0.251066922727465 0.925340143338977
"293" "MA" 4 1 112 0.316797914224418 0.949706690118236
"294" "MA" 4 1 112 0.397887357729738 0.97976663099967
"295" "MA" 4 1 112 0.50213384545493 0.990325306584744
"296" "MA" 4 1 112 0.630611673265862 1.00333826973902
"297" "MA" 4 1 112 0.795774715459477 1.02350821346906
"298" "MA" 4 1 112 0.99945325388133 1.04838172393739
"299" "MA" 4 1 112 1.26122334653172 1.0825019084251
"300" "MA" 4 1 112 1.55900224505666 1.12131562794266
"301" "MA" 4 2 56 0.158398957112209 0.948259828699342
"302" "MA" 4 2 56 0.251066922727465 0.911998919261461
"303" "MA" 4 2 56 0.316797914224418 0.956164043072191
"304" "MA" 4 2 56 0.397887357729738 1.01064862075153
"305" "MA" 4 2 56 0.50213384545493 1.02156964243393
"306" "MA" 4 2 56 0.630611673265862 1.03502917640816
"307" "MA" 4 2 56 0.795774715459477 1.03988269305525
"308" "MA" 4 2 56 0.99945325388133 1.04586803435048
"309" "MA" 4 2 56 1.26122334653172 1.07802611170875
"310" "MA" 4 2 56 1.55900224505666 1.11460781879938
"311" "MA" 4 2 112 0.158398957112209 0.954576724406808
"312" "MA" 4 2 112 0.251066922727465 0.935667682012773
"313" "MA" 4 2 112 0.316797914224418 0.949745206955155
"314" "MA" 4 2 112 0.397887357729738 0.967112032519667
"315" "MA" 4 2 112 0.50213384545493 1.00375177073017
"316" "MA" 4 2 112 0.630611673265862 1.04890815037968
"317" "MA" 4 2 112 0.795774715459477 1.05448004766777
"318" "MA" 4 2 112 0.99945325388133 1.06135129368506
"319" "MA" 4 2 112 1.26122334653172 1.06442586654801
"320" "MA" 4 2 112 1.55900224505666 1.0679233742705
"321" "MC" 2 1 56 0.316797914224418 0.642658726920564
"322" "MC" 2 1 56 0.397887357729738 0.685978399976233
"323" "MC" 2 1 56 0.50213384545493 0.741669049341225
"324" "MC" 2 1 56 0.630611673265862 0.855508322781843
"325" "MC" 2 1 56 0.795774715459477 1.00185295705004
"326" "MC" 2 1 56 0.99945325388133 1.0924906216525
"327" "MC" 2 1 56 1.26122334653172 1.20897923181456
"328" "MC" 2 1 56 1.55900224505666 1.25838429831428
"329" "MC" 2 1 56 1.99890650776266 1.33136965577297
"330" "MC" 2 1 56 3.11800449011332 1.40800210060054
"331" "MC" 2 1 112 0.316797914224418 0.880544901002897
"332" "MC" 2 1 112 0.397887357729738 0.920106793699715
"333" "MC" 2 1 112 0.50213384545493 0.970966537991012
"334" "MC" 2 1 112 0.630611673265862 0.967476596037186
"335" "MC" 2 1 112 0.795774715459477 0.962990145417697
"336" "MC" 2 1 112 0.99945325388133 0.99258557916756
"337" "MC" 2 1 112 1.26122334653172 1.03062198444991
"338" "MC" 2 1 112 1.55900224505666 1.08309386525908
"339" "MC" 2 1 112 1.99890650776266 1.16060978110972
"340" "MC" 2 1 112 3.11800449011332 1.17946039052097
"341" "MC" 2 2 56 0.316797914224418 0.782622271294179
"342" "MC" 2 2 56 0.397887357729738 0.878308901856951
"343" "MC" 2 2 56 0.50213384545493 1.00132115508289
"344" "MC" 2 2 56 0.630611673265862 1.0675977154451
"345" "MC" 2 2 56 0.795774715459477 1.15279870710306
"346" "MC" 2 2 56 0.99945325388133 1.19544710261802
"347" "MC" 2 2 56 1.26122334653172 1.25025933041503
"348" "MC" 2 2 56 1.55900224505666 1.31207450269094
"349" "MC" 2 2 56 1.99890650776266 1.40339312170249
"350" "MC" 2 2 56 3.11800449011332 1.39145132468463
"351" "MC" 2 2 112 0.316797914224418 0.952896281309761
"352" "MC" 2 2 112 0.397887357729738 0.957598366527099
"353" "MC" 2 2 112 0.50213384545493 0.963643245462047
"354" "MC" 2 2 112 0.630611673265862 1.00436104789234
"355" "MC" 2 2 112 0.795774715459477 1.05670530242567
"356" "MC" 2 2 112 0.99945325388133 1.07775460316016
"357" "MC" 2 2 112 1.26122334653172 1.10480741611821
"358" "MC" 2 2 112 1.55900224505666 1.10907138421583
"359" "MC" 2 2 112 1.99890650776266 1.11537047979137
"360" "MC" 2 2 112 3.11800449011332 1.17217232169108
"361" "MC" 4 1 56 0.158398957112209 0.635069813046501
"362" "MC" 4 1 56 0.251066922727465 0.733370154090144
"363" "MC" 4 1 56 0.316797914224418 0.789470536957308
"364" "MC" 4 1 56 0.397887357729738 0.858679120663893
"365" "MC" 4 1 56 0.50213384545493 0.926359612984132
"366" "MC" 4 1 56 0.630611673265862 1.00977194493148
"367" "MC" 4 1 56 0.795774715459477 1.06713532725416
"368" "MC" 4 1 56 0.99945325388133 1.13787566792141
"369" "MC" 4 1 56 1.26122334653172 1.20192898335486
"370" "MC" 4 1 56 1.55900224505666 1.2747934023705
"371" "MC" 4 1 112 0.158398957112209 0.872342921135414
"372" "MC" 4 1 112 0.251066922727465 0.943852892303435
"373" "MC" 4 1 112 0.316797914224418 0.955197859407747
"374" "MC" 4 1 112 0.397887357729738 0.9691936481236
"375" "MC" 4 1 112 0.50213384545493 0.968115997572659
"376" "MC" 4 1 112 0.630611673265862 0.966787854966174
"377" "MC" 4 1 112 0.795774715459477 0.980236422757949
"378" "MC" 4 1 112 0.99945325388133 0.996821153792904
"379" "MC" 4 1 112 1.26122334653172 1.05428734936108
"380" "MC" 4 1 112 1.55900224505666 1.11965853155173
"381" "MC" 4 2 56 0.158398957112209 0.62506536283115
"382" "MC" 4 2 56 0.251066922727465 0.801476559608283
"383" "MC" 4 2 56 0.316797914224418 0.885818952303612
"384" "MC" 4 2 56 0.397887357729738 0.989868465810317
"385" "MC" 4 2 56 0.50213384545493 1.06360717375627
"386" "MC" 4 2 56 0.630611673265862 1.1544859096179
"387" "MC" 4 2 56 0.795774715459477 1.18993588828279
"388" "MC" 4 2 56 0.99945325388133 1.23365268924294
"389" "MC" 4 2 56 1.26122334653172 1.28400853976332
"390" "MC" 4 2 56 1.55900224505666 1.34129128566613
"391" "MC" 4 2 112 0.158398957112209 0.853160208619683
"392" "MC" 4 2 112 0.251066922727465 0.959292205432612
"393" "MC" 4 2 112 0.316797914224418 0.968560210349422
"394" "MC" 4 2 112 0.397887357729738 0.979993741838803
"395" "MC" 4 2 112 0.50213384545493 0.99810396247655
"396" "MC" 4 2 112 0.630611673265862 1.02042377256788
"397" "MC" 4 2 112 0.795774715459477 1.04423290565828
"398" "MC" 4 2 112 0.99945325388133 1.07359425287334
"399" "MC" 4 2 112 1.26122334653172 1.10097939377097
"400" "MC" 4 2 112 1.55900224505666 1.13213160451391
"401" "MP" 2 1 56 0.316797914224418 0.809562915305919
"402" "MP" 2 1 56 0.397887357729738 0.835419398663141
"403" "MP" 2 1 56 0.50213384545493 0.86865982378381
"404" "MP" 2 1 56 0.630611673265862 0.875918448510409
"405" "MP" 2 1 56 0.795774715459477 0.88524968147421
"406" "MP" 2 1 56 0.99945325388133 0.9125745893586
"407" "MP" 2 1 56 1.26122334653172 0.947692887653462
"408" "MP" 2 1 56 1.55900224505666 0.967783294634774
"409" "MP" 2 1 56 1.99890650776266 0.997462548988781
"410" "MP" 2 1 56 3.11800449011332 1.01655533244869
"411" "MP" 2 1 112 0.316797914224418 1.10596661347174
"412" "MP" 2 1 112 0.397887357729738 1.08858464319437
"413" "MP" 2 1 112 0.50213384545493 1.06623883253356
"414" "MP" 2 1 112 0.630611673265862 1.09372607077053
"415" "MP" 2 1 112 0.795774715459477 1.12906194129442
"416" "MP" 2 1 112 0.99945325388133 1.13200301077247
"417" "MP" 2 1 112 1.26122334653172 1.1357829084275
"418" "MP" 2 1 112 1.55900224505666 1.17615549725323
"419" "MP" 2 1 112 1.99890650776266 1.23579731206581
"420" "MP" 2 1 112 3.11800449011332 1.23505155927119
"421" "MP" 2 2 56 0.316797914224418 0.852376344913723
"422" "MP" 2 2 56 0.397887357729738 0.864249971771024
"423" "MP" 2 2 56 0.50213384545493 0.879514398839782
"424" "MP" 2 2 56 0.630611673265862 0.880656779293566
"425" "MP" 2 2 56 0.795774715459477 0.882125351998323
"426" "MP" 2 2 56 0.99945325388133 0.915599011633848
"427" "MP" 2 2 56 1.26122334653172 0.958619759190424
"428" "MP" 2 2 56 1.55900224505666 0.96675484838841
"429" "MP" 2 2 56 1.99890650776266 0.97877269261248
"430" "MP" 2 2 56 3.11800449011332 1.068717074494
"431" "MP" 2 2 112 0.316797914224418 1.06992233915277
"432" "MP" 2 2 112 0.397887357729738 1.09798764493483
"433" "MP" 2 2 112 0.50213384545493 1.13406767493924
"434" "MP" 2 2 112 0.630611673265862 1.14238648623099
"435" "MP" 2 2 112 0.795774715459477 1.1530806285884
"436" "MP" 2 2 112 0.99945325388133 1.16500845621358
"437" "MP" 2 2 112 1.26122334653172 1.18033824288013
"438" "MP" 2 2 112 1.55900224505666 1.17652591339801
"439" "MP" 2 2 112 1.99890650776266 1.17089401671786
"440" "MP" 2 2 112 3.11800449011332 1.18876496616785
"441" "MP" 4 1 56 0.158398957112209 0.83954102373649
"442" "MP" 4 1 56 0.251066922727465 0.792524484077189
"443" "MP" 4 1 56 0.316797914224418 0.820037477191412
"444" "MP" 4 1 56 0.397887357729738 0.853979051021185
"445" "MP" 4 1 56 0.50213384545493 0.859912165038263
"446" "MP" 4 1 56 0.630611673265862 0.867224388382211
"447" "MP" 4 1 56 0.795774715459477 0.886646800741528
"448" "MP" 4 1 56 0.99945325388133 0.910598457900608
"449" "MP" 4 1 56 1.26122334653172 0.921169581728887
"450" "MP" 4 1 56 1.55900224505666 0.933194857717767
"451" "MP" 4 1 112 0.158398957112209 1.05385565069725
"452" "MP" 4 1 112 0.251066922727465 1.04289109354427
"453" "MP" 4 1 112 0.316797914224418 1.04793103258299
"454" "MP" 4 1 112 0.397887357729738 1.05414858449637
"455" "MP" 4 1 112 0.50213384545493 1.0761365673609
"456" "MP" 4 1 112 0.630611673265862 1.10323549738746
"457" "MP" 4 1 112 0.795774715459477 1.11805978633217
"458" "MP" 4 1 112 0.99945325388133 1.1363410523182
"459" "MP" 4 1 112 1.26122334653172 1.14962263192621
"460" "MP" 4 1 112 1.55900224505666 1.1647312110091
"461" "MP" 4 2 56 0.158398957112209 0.859691471632968
"462" "MP" 4 2 56 0.251066922727465 0.821607153071491
"463" "MP" 4 2 56 0.316797914224418 0.814674382307514
"464" "MP" 4 2 56 0.397887357729738 0.80612172684929
