"subject" "radius" "number" "durationTest" "speed" "pse"
"1" "AB" 2 1 56 3.981 0.940968867628942
"2" "AB" 2 1 56 6.31 0.985854560664749
"3" "AB" 2 1 56 10 1.0523602523959
"4" "AB" 2 1 56 15.849 1.12098620664394
"5" "AB" 2 1 56 25.119 1.14634817652974
"6" "AB" 2 1 56 39.182 1.21232581614245
"7" "AB" 2 1 56 5.01199660813932 0.960838767703609
"8" "AB" 2 1 56 7.94415940652074 1.01530737956167
"9" "AB" 2 1 56 12.5897930372753 1.08274613348462
"10" "AB" 2 1 56 19.9535629847777 1.13221595883534
"11" "AB" 2 1 56 31.6243011303319 1.17686829411128
"12" "AB" 2 1 112 3.981 0.881334115878951
"13" "AB" 2 1 112 6.31 0.97787009675947
"14" "AB" 2 1 112 10 1.09478565075991
"15" "AB" 2 1 112 15.849 1.15606087895311
"16" "AB" 2 1 112 25.119 1.24236741413691
"17" "AB" 2 1 112 39.182 1.10678788777426
"18" "AB" 2 1 112 5.01199660813932 0.92406845201086
"19" "AB" 2 1 112 7.94415940652074 1.0296475093173
"20" "AB" 2 1 112 12.5897930372753 1.12191681152794
"21" "AB" 2 1 112 19.9535629847777 1.19427561570174
"22" "AB" 2 1 112 31.6243011303319 1.17965066478778
"23" "AB" 2 2 56 3.981 1.03019365133262
"24" "AB" 2 2 56 6.31 1.10154104752569
"25" "AB" 2 2 56 10 1.15501409493172
"26" "AB" 2 2 56 15.849 1.21289208772005
"27" "AB" 2 2 56 25.119 1.24588996197978
"28" "AB" 2 2 56 39.182 1.20319819143944
"29" "AB" 2 2 56 5.01199660813932 1.06177756008085
"30" "AB" 2 2 56 7.94415940652074 1.12522220834246
"31" "AB" 2 2 56 12.5897930372753 1.18064104359554
"32" "AB" 2 2 56 19.9535629847777 1.22750285937731
"33" "AB" 2 2 56 31.6243011303319 1.22614148561258
"34" "AB" 2 2 112 3.981 0.924750428140408
"35" "AB" 2 2 112 6.31 0.993501966965055
"36" "AB" 2 2 112 10 1.06670326334703
"37" "AB" 2 2 112 15.849 1.13181150633574
"38" "AB" 2 2 112 25.119 1.11907524702927
"39" "AB" 2 2 112 39.182 1.07097964450039
"40" "AB" 2 2 112 5.01199660813932 0.955185208446363
"41" "AB" 2 2 112 7.94415940652074 1.02592001223663
"42" "AB" 2 2 112 12.5897930372753 1.09553158859261
"43" "AB" 2 2 112 19.9535629847777 1.12617215590274
"44" "AB" 2 2 112 31.6243011303319 1.09682705123213
"45" "AB" 4 1 56 3.981 0.924636092460383
"46" "AB" 4 1 56 6.31 0.969982034425189
"47" "AB" 4 1 56 10 0.960620830352737
"48" "AB" 4 1 56 15.849 1.02272213580762
"49" "AB" 4 1 56 25.119 1.06194136878292
"50" "AB" 4 1 56 39.182 1.10855990992586
"51" "AB" 4 1 56 5.01199660813932 0.944709734520751
"52" "AB" 4 1 56 7.94415940652074 0.96583631635165
"53" "AB" 4 1 56 12.5897930372753 0.988117757771572
"54" "AB" 4 1 56 19.9535629847777 1.04008759556617
"55" "AB" 4 1 56 31.6243011303319 1.08350630147094
"56" "AB" 4 1 112 3.981 0.809158501106242
"57" "AB" 4 1 112 6.31 0.86426273058319
"58" "AB" 4 1 112 10 0.883042697135298
"59" "AB" 4 1 112 15.849 1.02501701395273
"60" "AB" 4 1 112 25.119 1.11936207108191
"61" "AB" 4 1 112 39.182 1.13281220107853
"62" "AB" 4 1 112 5.01199660813932 0.833551920464277
"63" "AB" 4 1 112 7.94415940652074 0.872579657140174
"64" "AB" 4 1 112 12.5897930372753 0.945905425322289
"65" "AB" 4 1 112 19.9535629847777 1.06679104084477
"66" "AB" 4 1 112 31.6243011303319 1.1255838691243
"67" "AB" 4 2 56 3.981 0.963002402860225
"68" "AB" 4 2 56 6.31 1.06022774011242
"69" "AB" 4 2 56 10 1.09015362063752
"70" "AB" 4 2 56 15.849 1.09624106317434
"71" "AB" 4 2 56 25.119 1.11259383507798
"72" "AB" 4 2 56 39.182 1.15270144152249
"73" "AB" 4 2 56 5.01199660813932 1.0060419017577
"74" "AB" 4 2 56 7.94415940652074 1.07348076427462
"75" "AB" 4 2 56 12.5897930372753 1.09284899015311
"76" "AB" 4 2 56 19.9535629847777 1.10348173008418
"77" "AB" 4 2 56 31.6243011303319 1.13114692172652
"78" "AB" 4 2 112 3.981 0.860491962106093
"79" "AB" 4 2 112 6.31 0.907814224412544
"80" "AB" 4 2 112 10 0.998283808181547
"81" "AB" 4 2 112 15.849 1.05207058856007
"82" "AB" 4 2 112 25.119 1.0876973801999
"83" "AB" 4 2 112 39.182 1.09910248506904
"84" "AB" 4 2 112 5.01199660813932 0.881440477317527
"85" "AB" 4 2 112 7.94415940652074 0.947879731545371
"86" "AB" 4 2 112 12.5897930372753 1.02209926882811
"87" "AB" 4 2 112 19.9535629847777 1.06784539009526
"88" "AB" 4 2 112 31.6243011303319 1.09297318490706
"89" "AD" 2 1 56 3.981 1.0442716094589
"90" "AD" 2 1 56 6.31 1.0746093074811
"91" "AD" 2 1 56 10 0.979077329605244
"92" "AD" 2 1 56 15.849 1.02637590012007
"93" "AD" 2 1 56 25.119 1.05980527729188
"94" "AD" 2 1 56 39.182 1.14671571089924
"95" "AD" 2 1 56 5.01199660813932 1.05770143503195
"96" "AD" 2 1 56 7.94415940652074 1.03230186025363
"97" "AD" 2 1 56 12.5897930372753 1.00001997084176
"98" "AD" 2 1 56 19.9535629847777 1.04117773228227
"99" "AD" 2 1 56 31.6243011303319 1.10000854416123
"100" "AD" 2 1 112 3.981 0.825150825814192
"101" "AD" 2 1 112 6.31 0.803906223578673
"102" "AD" 2 1 112 10 0.879161208248995
"103" "AD" 2 1 112 15.849 0.988537336948236
"104" "AD" 2 1 112 25.119 1.08277866974349
"105" "AD" 2 1 112 39.182 1.09887307011649
"106" "AD" 2 1 112 5.01199660813932 0.81574631192579
"107" "AD" 2 1 112 7.94415940652074 0.837233768588587
"108" "AD" 2 1 112 12.5897930372753 0.92759026219829
"109" "AD" 2 1 112 19.9535629847777 1.0302654368649
"110" "AD" 2 1 112 31.6243011303319 1.09022366163274
"111" "AD" 2 2 56 3.981 1.09040320132992
