"subject" "radius" "number" "durationTest" "speedMatch" "pse"
"1" "AB" 2 1 56 4.94796232496649 0.940968867628942
"2" "AB" 2 1 56 7.36779560647782 0.985854560664749
"3" "AB" 2 1 56 13.0706377281482 1.0523602523959
"4" "AB" 2 1 56 21.983668118443 1.12098620664394
"5" "AB" 2 1 56 35.4227991719645 1.14634817652974
"6" "AB" 2 1 56 50.6713055485579 1.21232581614245
"7" "AB" 2 1 56 6.01690089865665 0.96079670000871
"8" "AB" 2 1 56 9.28422893381118 1.00820371944763
"9" "AB" 2 1 56 13.2218567334743 1.05352456442969
"10" "AB" 2 1 56 24.2081940952454 1.12518427276958
"11" "AB" 2 1 56 32.7271308550138 1.14126098313871
"12" "AB" 2 1 112 4.94796232496649 0.881334115878951
"13" "AB" 2 1 112 7.36779560647782 0.97787009675947
"14" "AB" 2 1 112 13.0706377281482 1.09478565075991
"15" "AB" 2 1 112 21.983668118443 1.15606087895311
"16" "AB" 2 1 112 35.4227991719645 1.24236741413691
"17" "AB" 2 1 112 50.6713055485579 1.10678788777426
"18" "AB" 2 1 112 6.01690089865665 0.923977976718717
"19" "AB" 2 1 112 9.28422893381118 1.01715942993576
"20" "AB" 2 1 112 13.2218567334743 1.09582524993693
"21" "AB" 2 1 112 24.2081940952454 1.17034685687233
"22" "AB" 2 1 112 32.7271308550138 1.22505574483968
"23" "AB" 2 2 56 5.1927872837084 1.03019365133262
"24" "AB" 2 2 56 11.42507822732 1.10154104752569
"25" "AB" 2 2 56 15.4435040064337 1.15501409493172
"26" "AB" 2 2 56 25.1740189959826 1.21289208772005
"27" "AB" 2 2 56 44.0660623449028 1.24588996197978
"28" "AB" 2 2 56 58.4370787211717 1.20319819143944
"29" "AB" 2 2 56 5.25775709382226 1.0309374270685
"30" "AB" 2 2 56 7.54338467319236 1.05710333907912
"31" "AB" 2 2 56 10.6411956689465 1.09256714371293
"32" "AB" 2 2 56 15.2255952017002 1.15211439029956
"33" "AB" 2 2 56 20.7992290517128 1.1868704371582
"34" "AB" 2 2 56 32.7596784249062 1.22614161459175
"35" "AB" 2 2 112 5.1927872837084 0.924750428140408
"36" "AB" 2 2 112 11.42507822732 0.993501966965055
"37" "AB" 2 2 112 15.4435040064337 1.06670326334703
