"speed" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" 3.981 2 56 0.0343510233863976 0.100681519708177 1
"2" 3.981 2 112 0.0143365959073216 0.130850799033186 1
"3" 5.01199660813932 2 56 0.025633265887509 0.0963197255358086 1
"4" 5.01199660813932 2 112 0.0183257107974474 0.0776212433930073 1
"5" 5.01199660813932 4 56 0.000858926795017471 0.0718240755698208 1
"6" 6.31 2 56 0.0121286320003719 0.0932977427404398 1
"7" 6.31 2 112 0.00327870825855639 0.0659926728364576 1
"8" 6.31 4 112 0.00285933371274016 0.0822411125137447 1
"9" 7.94415940652074 2 56 0.0257810072801914 0.0773479092022865 1
"10" 7.94415940652074 2 112 0.0132826197170038 0.0595110252244578 1
"11" 7.94415940652074 4 56 0.00358372416545487 0.0626247728990812 1
"12" 7.94415940652074 4 112 0.0163676588332775 0.0690183886395865 1
"13" 10 2 56 0.0304691382664357 0.100360029075583 1
"14" 10 2 112 0.0210225153496891 0.0803670492477783 1
"15" 10 4 56 0.00990563181770425 0.0769940870325907 1
"16" 10 4 112 0.0135767145753372 0.0653399197142316 1
"17" 12.5897930372753 2 56 0.0368416660446478 0.0914406694422062 1
"18" 12.5897930372753 2 112 0.0223217484050448 0.0670922117204159 1
"19" 12.5897930372753 4 56 0.0261716140140293 0.0683817591822713 1
"20" 12.5897930372753 4 112 0.0200197587432519 0.0712137999803124 1
"21" 15.849 2 56 0.0407969108163989 0.110721478529488 1
"22" 15.849 2 112 0.00804229769869814 0.0695245882920489 1
"23" 15.849 4 56 0.016833585349767 0.08780197772126 1
"24" 15.849 4 112 0.0177504709423413 0.0913124467929452 1
"25" 19.9535629847777 2 56 0.023566670978247 0.0761727410744358 1
"26" 19.9535629847777 4 56 0.0388406225875312 0.0727710612252244 1
"27" 19.9535629847777 4 112 0.0144718232796018 0.0640487764910212 1
"28" 25.119 4 56 0.0321271362057657 0.105636115285732 1
"29" 25.119 4 112 0.00607127474067783 0.0519510925757472 1
"30" 31.6243011303319 2 56 0.00306892895113191 0.050167788702379 1
"31" 31.6243011303319 4 56 0.0112630168314095 0.0674656120584125 1
"32" 31.6243011303319 4 112 0.00337459848603312 0.0344019910377854 1
"33" 39.182 2 56 0.00328928087259785 0.054994721314625 1
