"tf" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" 0.316797914224418 1 56 0.068498260606299 0.128628281608797 1
"2" 0.316797914224418 1 112 0.00905774024968774 0.0890654818787264 1
"3" 0.397887357729738 1 56 0.050599533116773 0.108354831046664 1
"4" 0.50213384545493 1 56 0.0193561711737819 0.0802767240830866 1
"5" 0.630611673265862 1 56 0.00153702336119618 0.0645818340650521 1
"6" 0.633595828448835 1 56 0.00131333614970319 0.0641371199458881 1
"7" 0.633595828448835 2 56 0.0352351621222302 0.0859072447061744 1
"8" 0.633595828448835 2 112 0.00861731933099162 0.0536865589006931 1
"9" 0.795774715459477 2 56 0.03250163253481 0.0957171855115934 1
"10" 0.795774715459477 2 112 0.00390532981921681 0.053966277498509 1
"11" 0.99945325388133 2 56 0.0218184807920939 0.0746596204832743 1
"12" 1.00426769090986 2 56 0.0212928162704786 0.0742462141556055 1
"13" 1.26122334653172 2 56 0.00980116890353 0.0525556916686939 1
