"subject" "freqMatch" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 0.390873696820565 1 112 -0.20954955030605 -0.00212670940450882 1
"2" "AB" 0.492543642537615 1 112 -0.249282899694797 -0.0477238225130438 1
"3" "AB" 1.33552318689997 2 56 -0.169669560236221 -0.00998158747154521 1
"4" "FE" 0.303237073640551 1 56 -1.00091643147552 -0.0214599901278573 1
"5" "FE" 0.320364880870382 1 56 -0.87554526768249 -0.00798767214465092 1
"6" "FE" 0.320364880870382 1 112 -0.36853680497784 -0.0472996172070612 1
"7" "FE" 0.424458888157432 1 112 -1.15459005585219 -0.123203363433697 1
"8" "FE" 0.498755452528444 1 112 -0.775738164002 -0.0652488651087254 1
"9" "FE" 0.58316645895587 2 112 -0.376740336669662 -0.0637667094512205 1
"10" "FE" 0.665345203086195 2 112 -0.309574728767504 -0.092923964787267 1
"11" "FE" 0.75937667458979 2 112 -0.233844451667102 -0.0680336469376557 1
"12" "FE" 1.02203069766854 2 56 -0.31911310735798 -0.011755729902481 1
"13" "FE" 1.05155924362371 2 56 -0.334218923991665 -0.0142328567502929 1
"14" "FE" 1.2812022078712 1 112 -0.210026321656656 -0.00806257086887667 1
"15" "FE" 1.49507427035245 2 112 -0.256011642695448 -0.00551515149329218 1
"16" "FE" 1.53954741810961 2 112 -0.251106537895036 -0.00412761486694478 1
"17" "MC" 0.432366347005796 1 56 0.00699758026193388 0.299984960715994 1
"18" "MC" 0.556156834091604 2 56 0.013724406691925 0.176070090340472 1
"19" "SY" 0.360839252494653 2 56 0.0984230194498366 0.408529557674839 1
"20" "SY" 0.360839252494653 2 112 0.00428531003239639 0.291903801540159 1
"21" "SY" 0.367337590283953 2 56 0.098040606609468 0.411921579132263 1
"22" "SY" 0.402842938843116 1 56 0.0906132479158836 0.52811238690815 1
"23" "SY" 0.554688481527956 2 56 0.071246713583822 0.406196732029009 1
"24" "SY" 0.572406546065618 2 56 0.0594419452135355 0.418361885379422 1
