"freq" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" 0.316797914224418 1 56 0.068498260606299 0.128628281608797 1
"2" 0.316797914224418 1 112 0.00905774024968774 0.0890654818787264 1
"3" 0.316797914224418 2 56 0.0352351621222305 0.0859072447061746 1
"4" 0.316797914224418 2 112 0.00861731933099189 0.053686558900693 1
"5" 0.397887357729738 1 56 0.050599533116773 0.108354831046664 1
"6" 0.397887357729738 2 56 0.0325016325348112 0.0957171855115937 1
"7" 0.397887357729738 2 112 0.00390532981921817 0.0539662774985091 1
"8" 0.50213384545493 1 56 0.0193561711737819 0.0802767240830866 1
"9" 0.50213384545493 2 56 0.0212928162704786 0.0742462141556055 1
"10" 0.630611673265862 1 56 0.00153702336119618 0.0645818340650521 1
"11" 0.630611673265862 2 56 0.00980116890352986 0.0525556916686937 1
