"subject" "speedMatch" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"28" "FE" 8.00086154871768 1 112 -0.681122451267061 -0.149349540697983 1
"29" "FE" 8.62894005884073 2 112 -0.321410703565817 -0.043442458168285 1
"30" "FE" 9.40131879360728 1 112 -0.442442591134438 -0.10143242296851 1
"31" "FE" 10.9924287796544 2 112 -0.290962227257112 -0.0820631928203395 1
"32" "FE" 11.3756102478905 1 112 -0.181791307434385 -0.00728489016300278 1
"33" "FE" 12.5414616127008 2 112 -0.271693144766934 -0.108914176924521 1
"34" "FE" 14.3139130931924 2 112 -0.21459837575976 -0.0801922251841994 1
"35" "FE" 19.2648247892324 2 56 -0.25991644687674 -0.0395359453035638 1
"36" "FE" 19.821424767496 2 56 -0.269038358048169 -0.0422955388380624 1
"37" "FE" 24.1500926640672 1 112 -0.170472007831415 -0.0279647530092504 1
"38" "FE" 28.1814860658623 2 112 -0.216319788427671 -0.0295808615443652 1
"39" "FE" 29.0197851515178 2 112 -0.212961405254088 -0.0274661771584094 1
"40" "MA" 6.56089110533682 2 56 -0.240458187853692 -0.00588720549846754 1
"41" "MA" 10.6554014174253 2 112 -0.18669114963518 -0.0400399476050439 1
"42" "MA" 12.0594885349691 2 56 -0.199658971746005 -0.00332690632751893 1
"43" "MA" 12.0594885349691 2 112 -0.173799121807166 -0.0399624039659367 1
"44" "MA" 14.1954933202497 2 112 -0.128600660863926 -0.00194904775637084 1
"45" "MA" 14.6431857206676 1 112 -0.149828964170825 -0.000598466313606332 1
"46" "MA" 17.7722797273504 2 112 -0.145130568974559 -0.00282633037510177 1
"47" "MA" 21.8531479781055 1 56 -0.219503878134851 -0.0169576334186281 1
"48" "MA" 27.2285284872824 1 56 -0.274466947710886 -0.0464392638588913 1
"49" "MC" 8.14991363647719 1 56 0.0327710409572582 0.257383516540753 1
"50" "MC" 8.95285532412459 1 56 0.0302966212990487 0.278270685181933 1
"51" "MC" 10.4833093453556 2 56 0.0361311938941287 0.158352218561723 1
"52" "MP" 6.06525559148159 2 112 -0.147338319990729 -0.0122105259972222 1
"53" "MP" 8.33355939409299 2 56 -0.17545227436539 -0.000993767350254471 1
"54" "MP" 8.33355939409299 2 112 -0.130511407202146 -0.0241555831381459 1
"55" "MP" 8.66663620185264 2 112 -0.126302066299857 -0.0248383962435159 1
"56" "MP" 8.9404973966165 1 112 -0.102791442057697 -0.00336208129751101 1
"57" "MP" 10.698457486517 2 112 -0.109965909937753 -0.0103032727652629 1
"58" "MP" 20.5618707512775 1 56 -0.144952626244923 -0.0254622703162243 1
"59" "MP" 20.5618707512775 1 112 -0.169463020317815 -0.0320870665791994 1
"60" "MP" 25.1087211522822 2 56 -0.128601618271949 -0.0127898287727754 1
"61" "MP" 27.1266998401599 1 56 -0.138895520165782 -0.0167713551235967 1
"62" "MP" 27.1266998401599 1 112 -0.13344064447152 -0.0124719870471769 1
"63" "SY" 6.80165966858421 2 56 0.125567457712561 0.358353579005996 1
"64" "SY" 6.80165966858421 2 112 0.0302113590482229 0.245954377750961 1
"65" "SY" 6.92415045014067 2 56 0.128387331274999 0.364538665624186 1
"66" "SY" 6.92415045014067 2 112 0.0271510988790706 0.243604054370018 1
"67" "SY" 7.59341050332033 1 56 0.133942450444557 0.426066906920692 1
"68" "SY" 10.4556315515946 2 56 0.0943607535412096 0.34368245990112 1
"69" "SY" 10.7896091999187 2 56 0.0877185168024185 0.346474087706005 1
