"subject" "radius" "speed" "number" "freq" "tf" "durationTest" "x" "xmin" "xmax" "meandur" "pse" "psemin" "psemax" "angle" "speedMatch" "speedMatchMin" "speedMatchMax" "freqMatch" "freqMatchMin" "freqMatchMax" "tfMatch" "tfMatchMin" "tfMatchMax" "freqMatchDif" "freqMatchMinDif" "freqMatchMaxDif"
"1" "AB" 2 10 1 0.795774715459477 0.795774715459477 56 6.80967415805933 6.75702886816413 6.85721973704056 956.666666666667 1.0523602523959 1.00621588400811 1.10095856180742 0.742723067762178 13.6181214045933 10.51298462801 17.01833979322 0.722463779055525 0.557731156732301 0.902850967102822 0.722463779055525 0.557731156732301 0.902850967102822 -0.0733109364039521 -0.238043558727176 0.107076251643346
"2" "AB" 2 10 1 0.795774715459477 0.795774715459477 112 7.45352828236804 7.38583228350477 7.51199202608399 1906.66666666667 1.09478565075991 1.04028582154005 1.15403687872617 1.48544613552436 13.6181214045933 10.51298462801 17.01833979322 0.722463779055525 0.557731156732301 0.902850967102822 0.722463779055525 0.557731156732301 0.902850967102822 -0.0733109364039521 -0.238043558727176 0.107076251643346
"3" "AB" 2 10 2 0.795774715459477 1.59154943091895 56 6.69501968792891 6.63029455724922 6.74435830847598 956.666666666667 1.15501409493172 1.11227805640769 1.20797352748714 0.742723067762178 15.5297506417167 14.239018415665 16.80516128075 0.823878859871247 0.755403388543204 0.89154149576263 0.823878859871247 0.755403388543204 0.89154149576263 0.0281041444117703 -0.0403713269162724 0.0957667803031531
"4" "AB" 2 10 2 0.795774715459477 1.59154943091895 112 7.48407971272106 7.44052138445802 7.53035424332799 1906.66666666667 1.06670326334703 1.02250055253673 1.10648344049048 1.48544613552436 15.5297506417167 14.239018415665 16.80516128075 0.823878859871247 0.755403388543204 0.89154149576263 0.823878859871247 0.755403388543204 0.89154149576263 0.0281041444117703 -0.0403713269162724 0.0957667803031531
"5" "AB" 2 15.849 1 1.26122334653172 1.26122334653172 56 6.73450033076566 6.66034509572322 6.79597966245017 956.666666666667 1.12098620664394 1.06524924519886 1.18381148250806 1.17714179009628 22.30949759475 19.1711305772 25.25841195285 1.1835556067004 1.01706006534052 1.34000037231583 1.1835556067004 1.01706006534052 1.34000037231583 -0.0776677398313206 -0.244163281191204 0.0787770257841056
"6" "AB" 2 15.849 1 1.26122334653172 1.26122334653172 112 7.38343687725693 7.31577846026983 7.43771589367203 1906.66666666667 1.15606087895311 1.10898667991587 1.21127166690877 2.35428358019255 22.30949759475 19.1711305772 25.25841195285 1.1835556067004 1.01706006534052 1.34000037231583 1.1835556067004 1.01706006534052 1.34000037231583 -0.0776677398313206 -0.244163281191204 0.0787770257841056
"7" "AB" 2 15.849 2 1.26122334653172 2.52244669306345 112 7.41176536640781 7.34509782359121 7.46794417670285 1906.66666666667 1.13181150633574 1.0816416628092 1.18780431145851 2.35428358019255 25.3741361855333 22.875117212085 27.6394019985367 1.34613973353819 1.21356265936994 1.46631581739037 1.34613973353819 1.21356265936994 1.46631581739037 0.084916387006462 -0.0476606871617833 0.205092470858649
"8" "AB" 2 15.849 2 1.26122334653172 2.52244669306345 56 6.62406509864692 6.55899500944364 6.67171482294691 956.666666666667 1.21289208772005 1.17447868656689 1.26247847934291 1.17714179009628 25.3741361855333 22.875117212085 27.6394019985367 1.34613973353819 1.21356265936994 1.46631581739037 1.34613973353819 1.21356265936994 1.46631581739037 0.084916387006462 -0.0476606871617833 0.205092470858649
"9" "AB" 2 25.119 1 1.99890650776266 1.99890650776266 56 6.7052231509049 6.64212469161192 6.75581439822055 956.666666666667 1.14634817652974 1.10204975786561 1.19854810582149 1.86564607391182 36.07858123625 30.9693039154667 41.40712406465 1.9140281811639 1.6429726007539 2.19671615803614 1.9140281811639 1.6429726007539 2.19671615803614 -0.084878326598762 -0.355933907008757 0.197809650273481
"10" "AB" 2 25.119 1 1.99890650776266 1.99890650776266 112 7.27555506963338 7.16257659466828 7.35103039984928 1906.66666666667 1.24236741413691 1.18297157749256 1.32330539009264 3.73129214782363 36.07858123625 30.9693039154667 41.40712406465 1.9140281811639 1.6429726007539 2.19671615803614 1.9140281811639 1.6429726007539 2.19671615803614 -0.084878326598762 -0.355933907008757 0.197809650273481
"11" "AB" 2 25.119 2 1.99890650776266 3.99781301552532 56 6.58123803748217 6.44998823458913 6.65244862809988 956.666666666667 1.24588996197978 1.19023110916642 1.33864649945615 1.86564607391182 44.1290435065833 42.400256851655 46.3006784434667 2.34111846933001 2.24940348876897 2.45632728092869 2.34111846933001 2.24940348876897 2.45632728092869 0.342211961567355 0.250496981006306 0.457420773166034
"12" "AB" 2 25.119 2 1.99890650776266 3.99781301552532 112 7.42632872808213 7.35254461298983 7.48315329626694 1906.66666666667 1.11907524702927 1.06756748442432 1.18173348518774 3.73129214782363 44.1290435065833 42.400256851655 46.3006784434667 2.34111846933001 2.24940348876897 2.45632728092869 2.34111846933001 2.24940348876897 2.45632728092869 0.342211961567355 0.250496981006306 0.457420773166034
"13" "AB" 2 3.981 1 0.316797914224418 0.316797914224418 112 7.66524859610812 7.60859044426738 7.72983703117319 1906.66666666667 0.881334115878951 0.806696829309404 0.94295355263058 0.591356106552246 5.15555667439167 4.05485366629 6.25269627459325 0.273510776373282 0.215116668168116 0.331715839917932 0.273510776373282 0.215116668168116 0.331715839917932 -0.0432871378511354 -0.101681246056302 0.0149179256935139
"14" "AB" 2 3.981 1 0.316797914224418 0.316797914224418 56 6.92080948416796 6.87084300953353 6.97101545311462 956.666666666667 0.940968867628942 0.886441845594556 0.992584652024653 0.295678053276123 5.15555667439167 4.05485366629 6.25269627459325 0.273510776373282 0.215116668168116 0.331715839917932 0.273510776373282 0.215116668168116 0.331715839917932 -0.0432871378511354 -0.101681246056302 0.0149179256935139
