"subject" "durationTest" "radius" "speed" "number" "x" "xmin" "xmax" "meandur" "pse" "psemin" "psemax" "freq" "tf" "angle"
"1" "AB" 112 2 10 1 7.45352828236804 7.38583228350477 7.51199202608399 1906.66666666667 1.09478565075991 1.04028582154005 1.15403687872617 0.795774715459477 0.795774715459477 1.48544613552436
"2" "AB" 112 2 10 2 7.48407971272106 7.44052138445802 7.53035424332799 1906.66666666667 1.06670326334703 1.02250055253673 1.10648344049048 0.795774715459477 1.59154943091895 1.48544613552436
"3" "AB" 112 2 15.849 1 7.38343687725693 7.31577846026983 7.43771589367203 1906.66666666667 1.15606087895311 1.10898667991587 1.21127166690877 1.26122334653172 1.26122334653172 2.35428358019255
"4" "AB" 112 2 3.981 1 7.66524859610812 7.60859044426738 7.72983703117319 1906.66666666667 0.881334115878951 0.806696829309404 0.94295355263058 0.316797914224418 0.316797914224418 0.591356106552246
"5" "AB" 112 2 15.849 2 7.41176536640781 7.34509782359121 7.46794417670285 1906.66666666667 1.13181150633574 1.0816416628092 1.18780431145851 1.26122334653172 2.52244669306345 2.35428358019255
"6" "AB" 112 2 3.981 2 7.62566459020982 7.57625643479308 7.6847221603549 1906.66666666667 0.924750428140408 0.859336210265243 0.976585445410263 0.316797914224418 0.633595828448835 0.591356106552246
"7" "AB" 112 2 25.119 1 7.27555506963338 7.16257659466828 7.35103039984928 1906.66666666667 1.24236741413691 1.18297157749256 1.32330539009264 1.99890650776266 1.99890650776266 3.73129214782363
"8" "AB" 112 2 6.31 1 7.57500038629882 7.51734303715718 7.63329593364159 1906.66666666667 0.97787009675947 0.916513439713946 1.03513661590238 0.50213384545493 0.50213384545493 0.937316511515869
"9" "AB" 112 2 25.119 2 7.42632872808213 7.35254461298983 7.48315329626694 1906.66666666667 1.11907524702927 1.06756748442432 1.18173348518774 1.99890650776266 3.99781301552532 3.73129214782363
"10" "AB" 112 2 6.31 2 7.55958880753918 7.51243541993085 7.60637601006083 1906.66666666667 0.993501966965055 0.945291722624267 1.03986019582564 0.50213384545493 1.00426769090986 0.937316511515869
"11" "AB" 112 2 39.182 1 7.44018059708326 7.37660008813167 7.50238945090364 1906.66666666667 1.10678788777426 1.04945744302221 1.16181103406165 3.11800449011332 3.11800449011332 5.82027504821153
"12" "AB" 112 4 10 2 7.55482651654975 7.50974630381911 7.59850803221821 1906.66666666667 0.998283808181547 0.95355758353432 1.04243865480097 0.397887357729738 0.795774715459477 0.742723067762178
"13" "AB" 112 2 39.182 2 7.4794871664918 7.43224974144307 7.52459370606399 1906.66666666667 1.07097964450039 1.02811528705916 1.1138438073687 3.11800449011332 6.23600898022664 5.82027504821153
"14" "AB" 112 4 15.849 1 7.52777653736126 7.48088216502168 7.57763456457675 1906.66666666667 1.02501701395273 0.975174075029149 1.06968275810325 0.630611673265862 0.630611673265862 1.17714179009628
"15" "AB" 112 4 3.981 1 7.72777199484965 7.67431623000727 7.79750572415866 1906.66666666667 0.809158501106242 0.723152782118711 0.87114433440087 0.158398957112209 0.158398957112209 0.295678053276123
"16" "AB" 112 4 15.849 2 7.4996365556999 7.44359111498233 7.55199022153757 1906.66666666667 1.05207058856007 1.00112094543894 1.10373637120975 0.630611673265862 1.26122334653172 1.17714179009628
"17" "AB" 112 4 3.981 2 7.68370841926239 7.63791847527501 7.73232671991325 1906.66666666667 0.860491962106093 0.803722174395976 0.911493384210985 0.158398957112209 0.316797914224418 0.295678053276123
"18" "AB" 112 4 25.119 1 7.42600308079393 7.36340136062297 7.47756143734692 1906.66666666667 1.11936207108191 1.07276696457563 1.17280137303074 0.99945325388133 0.99945325388133 1.86564607391182
"19" "AB" 112 4 6.31 1 7.68039381233424 7.62334998961515 7.75312777730446 1906.66666666667 0.86426273058319 0.778577721715082 0.927236323401705 0.251066922727465 0.251066922727465 0.468658255757934
"20" "AB" 112 4 25.119 2 7.46132827171412 7.40349655607167 7.51328270175234 1906.66666666667 1.0876973801999 1.03904634209042 1.13896079354096 0.99945325388133 1.99890650776266 1.86564607391182
"21" "AB" 112 4 6.31 2 7.64129278272331 7.59333419609005 7.69261818863628 1906.66666666667 0.907814224412544 0.850293844313833 0.95895772334927 0.251066922727465 0.50213384545493 0.468658255757934
