"subject" "radius" "speed" "number" "speedMatch" "speedMatchMin" "speedMatchMax" "freq" "tf"
"43" "MA" 4 15.849 1 16.1076791402996 12.5579223566615 19.550002433428 0.630611673265862 0.630611673265862
"44" "MA" 4 15.849 2 14.1954933202497 10.0730829874518 19.412234368142 0.630611673265862 1.26122334653172
"45" "MA" 4 25.119 1 21.8531479781055 18.12805483188 27.7406392516012 0.99945325388133 0.99945325388133
"46" "MA" 4 25.119 2 22.2811268093619 17.8979202865459 26.5797723323082 0.99945325388133 1.99890650776266
"47" "MA" 4 39.182 1 34.2615292062405 31.3298755245191 37.7318860089868 1.55900224505666 1.55900224505666
"48" "MA" 4 39.182 2 31.8319976411639 28.1986637332097 35.4528853782189 1.55900224505666 3.11800449011332
"49" "MP" 2 3.981 1 3.06693235292892 2.4064578174583 4.24502491848501 0.316797914224418 0.316797914224418
"50" "MP" 2 3.981 2 3.92170437570779 3.2205374170763 4.7827982559627 0.316797914224418 0.633595828448835
"51" "MP" 2 6.31 1 5.69220034625091 5.44921599070598 5.95413925594179 0.50213384545493 0.50213384545493
"52" "MP" 2 6.31 2 6.06525559148159 5.66738951511902 6.8363426763162 0.50213384545493 1.00426769090986
"53" "MP" 2 10 1 8.9404973966165 7.92903107194933 10.0809913561425 0.795774715459477 0.795774715459477
"54" "MP" 2 10 2 8.66663620185264 7.57522750845329 9.91429132481451 0.795774715459477 1.59154943091895
"55" "MP" 2 15.849 1 15.7255965861081 13.956275277337 17.7192254433808 1.26122334653172 1.26122334653172
"56" "MP" 2 15.849 2 15.4359414251913 14.06658127384 17.1495893494874 1.26122334653172 2.52244669306345
"57" "MP" 2 25.119 1 20.5618707512775 16.1954724634755 25.9585185124506 1.99890650776266 1.99890650776266
"58" "MP" 2 25.119 2 22.3557817221364 18.6599922571964 26.7835575448893 1.99890650776266 3.99781301552532
"59" "MP" 2 39.182 1 33.312408944368 31.1627870817109 35.7920059019872 3.11800449011332 3.11800449011332
"60" "MP" 2 39.182 2 34.6628274310807 29.0707906871489 39.0390580454452 3.11800449011332 6.23600898022664
"61" "MP" 4 3.981 1 3.13697800358115 2.48827816698344 3.99379976922794 0.158398957112209 0.158398957112209
"62" "MP" 4 3.981 2 3.05988572094951 2.62160189551903 3.75859608355064 0.158398957112209 0.316797914224418
"63" "MP" 4 6.31 1 4.56699442793573 3.97363031090244 5.49497676784119 0.251066922727465 0.251066922727465
"64" "MP" 4 6.31 2 5.2376425674387 4.308338219748 6.20934351936748 0.251066922727465 0.50213384545493
"65" "MP" 4 10 1 7.26274243659078 6.11258305773345 8.76532349196906 0.397887357729738 0.397887357729738
"66" "MP" 4 10 2 8.33355939409299 6.96582483723647 10.0923840783963 0.397887357729738 0.795774715459477
"67" "MP" 4 15.849 1 10.8966959379421 9.70812143384399 12.2307887445685 0.630611673265862 0.630611673265862
"68" "MP" 4 15.849 2 10.698457486517 9.2184766276404 12.4160419572609 0.630611673265862 1.26122334653172
"69" "MP" 4 25.119 1 17.7089978970712 16.9236690700231 18.5307692570027 0.99945325388133 0.99945325388133
"70" "MP" 4 25.119 2 18.0996288728952 15.6243600713165 20.7750513913576 0.99945325388133 1.99890650776266
"71" "MP" 4 39.182 1 27.1266998401599 25.6062981024072 28.8834298917439 1.55900224505666 1.55900224505666
"72" "MP" 4 39.182 2 25.1087211522822 21.948265246602 28.4777896691593 1.55900224505666 3.11800449011332
