"subject" "radius" "speed" "number" "speedMatch" "speedMatchMin" "speedMatchMax" "freq" "tf"
"1" "AD" 2 3.981 1 6.35047956679012 5.49651123855768 7.33926388761415 0.316797914224418 0.316797914224418
"2" "AD" 2 3.981 2 6.18968998899636 4.79648494960487 8.23352953715812 0.316797914224418 0.633595828448835
"3" "AD" 2 6.31 1 9.41942172137319 8.63350678688767 10.3894294096759 0.50213384545493 0.50213384545493
"4" "AD" 2 6.31 2 9.83001827909247 7.58930008888519 12.2362454331954 0.50213384545493 1.00426769090986
"5" "AD" 2 10 1 11.7287285173508 8.2629377281233 15.8991209782387 0.795774715459477 0.795774715459477
"6" "AD" 2 10 2 13.1570635459449 10.8391018566439 15.9767147568263 0.795774715459477 1.59154943091895
"7" "AD" 2 15.849 1 18.5854147142509 12.4023101501249 25.8186824706812 1.26122334653172 1.26122334653172
"8" "AD" 2 15.849 2 19.0310357475796 15.3431624722722 22.154622300585 1.26122334653172 2.52244669306345
"9" "AD" 2 25.119 1 25.1957377491615 19.5874446647126 32.4098018700814 1.99890650776266 1.99890650776266
"10" "AD" 2 25.119 2 26.5522810575907 23.1149770156319 30.5007281159961 1.99890650776266 3.99781301552532
"11" "AD" 2 39.182 1 48.726871185387 39.8933660842641 63.2908574452911 3.11800449011332 3.11800449011332
"12" "AD" 2 39.182 2 54.743895310075 41.1917613353932 79.0638802814341 3.11800449011332 6.23600898022664
"13" "AD" 4 3.981 1 6.25453770348259 4.76757584592937 8.20526891411406 0.158398957112209 0.158398957112209
"14" "AD" 4 3.981 2 5.66541125646452 4.72265468406896 6.59874957313026 0.158398957112209 0.316797914224418
"15" "AD" 4 6.31 1 6.54211143092642 6.20172776432535 7.02638481447396 0.251066922727465 0.251066922727465
"16" "AD" 4 6.31 2 8.34885492331197 7.02944598020804 9.96351204118479 0.251066922727465 0.50213384545493
"17" "AD" 4 10 1 10.9441230559268 8.55476420717332 14.6249251158705 0.397887357729738 0.397887357729738
"18" "AD" 4 10 2 7.95121465293476 6.43034742932743 9.56431263077728 0.397887357729738 0.795774715459477
"19" "AD" 4 15.849 1 12.5850580011662 11.6841749801486 13.504520211136 0.630611673265862 0.630611673265862
"20" "AD" 4 15.849 2 14.7304958999504 12.3054467684029 17.63345236807 0.630611673265862 1.26122334653172
"21" "AD" 4 25.119 1 21.7042552225016 17.5055465269516 29.0567467686956 0.99945325388133 0.99945325388133
"22" "AD" 4 25.119 2 21.9397672931848 19.9023909108434 24.2958285382479 0.99945325388133 1.99890650776266
"23" "AD" 4 39.182 1 30.9498493296375 22.7650145113091 42.088323449399 1.55900224505666 1.55900224505666
"24" "AD" 4 39.182 2 40.2655481919691 31.1445885989157 51.9778187995213 1.55900224505666 3.11800449011332
"25" "MA" 2 3.981 1 3.51015079720055 2.69483304330464 4.60877009972475 0.316797914224418 0.316797914224418
