"radius" "number" "durationTest" "freq" "pse"
"1" 2 1 56 0.316797914224418 0.848396811594722
"2" 2 1 56 0.397887357729738 0.887111991016856
"3" 2 1 56 0.50213384545493 0.936883222658659
"4" 2 1 56 0.630611673265862 0.967495138059308
"5" 2 1 56 0.795774715459477 1.00684789768399
"6" 2 1 56 0.99945325388133 1.02619102593527
"7" 2 1 56 1.26122334653172 1.05105104561981
"8" 2 1 56 1.55900224505666 1.0782202619401
"9" 2 1 56 1.99890650776266 1.11835693425933
"10" 2 1 56 3.11800449011332 1.13335237618783
"11" 2 1 112 0.316797914224418 0.882788936070579
"12" 2 1 112 0.397887357729738 0.914338399912055
"13" 2 1 112 0.50213384545493 0.95489757325095
"14" 2 1 112 0.630611673265862 0.974416583790481
"15" 2 1 112 0.795774715459477 0.99950900025056
"16" 2 1 112 0.99945325388133 1.02368968860171
"17" 2 1 112 1.26122334653172 1.05476699836187
"18" 2 1 112 1.55900224505666 1.08499451404884
"19" 2 1 112 1.99890650776266 1.12964916576385
"20" 2 1 112 3.11800449011332 1.11617218011211
"21" 2 2 56 0.316797914224418 0.919263293792656
"22" 2 2 56 0.397887357729738 0.944573087498047
"23" 2 2 56 0.50213384545493 0.977110702565823
"24" 2 2 56 0.630611673265862 1.01250178971158
"25" 2 2 56 0.795774715459477 1.057998352964
"26" 2 2 56 0.99945325388133 1.08345558228311
"27" 2 2 56 1.26122334653172 1.11617351775692
"28" 2 2 56 1.55900224505666 1.12307869702276
"29" 2 2 56 1.99890650776266 1.1332796139072
"30" 2 2 56 3.11800449011332 1.16074354184901
"31" 2 2 112 0.316797914224418 0.932723148360742
"32" 2 2 112 0.397887357729738 0.953529603500391
"33" 2 2 112 0.50213384545493 0.98027784317943
"34" 2 2 112 0.630611673265862 1.00722196916015
"35" 2 2 112 0.795774715459477 1.04185964861075
"36" 2 2 112 0.99945325388133 1.06538255969611
"37" 2 2 112 1.26122334653172 1.09561448625023
"38" 2 2 112 1.55900224505666 1.10261038734842
"39" 2 2 112 1.99890650776266 1.11294532622357
"40" 2 2 112 3.11800449011332 1.12183264939373
"41" 4 1 56 0.158398957112209 0.836328149390008
"42" 4 1 56 0.251066922727465 0.919657526225201
"43" 4 1 56 0.316797914224418 0.942044595434267
"44" 4 1 56 0.397887357729738 0.969662541589277
"45" 4 1 56 0.50213384545493 0.982320222313736
"46" 4 1 56 0.630611673265862 0.997920089130253
"47" 4 1 56 0.795774715459477 1.00788370708478
"48" 4 1 56 0.99945325388133 1.02017080906244
"49" 4 1 56 1.26122334653172 1.051115843358
"50" 4 1 56 1.55900224505666 1.08631764251715
"51" 4 1 112 0.158398957112209 0.903830418776793
"52" 4 1 112 0.251066922727465 0.906107997253673
"53" 4 1 112 0.316797914224418 0.918174543414463
"54" 4 1 112 0.397887357729738 0.933060512588609
"55" 4 1 112 0.50213384545493 0.957297553132813
"56" 4 1 112 0.630611673265862 0.987168317986719
"57" 4 1 112 0.795774715459477 1.0087369361307
"58" 4 1 112 0.99945325388133 1.03533528743858
"59" 4 1 112 1.26122334653172 1.06063243336021
"60" 4 1 112 1.55900224505666 1.08940942683604
"61" 4 2 56 0.158398957112209 0.873560217908616
"62" 4 2 56 0.251066922727465 0.940940546335083
"63" 4 2 56 0.316797914224418 0.970557781515134
"64" 4 2 56 0.397887357729738 1.00709526656171
"65" 4 2 56 0.50213384545493 1.02498226070941
"66" 4 2 56 0.630611673265862 1.04702695693191
"67" 4 2 56 0.795774715459477 1.06283006369973
"68" 4 2 56 0.99945325388133 1.08231840471261
"69" 4 2 56 1.26122334653172 1.09493059130806
"70" 4 2 56 1.55900224505666 1.10927769641223
"71" 4 2 112 0.158398957112209 0.911898187469279
"72" 4 2 112 0.251066922727465 0.944331250719319
"73" 4 2 112 0.316797914224418 0.95797648962047
"74" 4 2 112 0.397887357729738 0.97481002284114
"75" 4 2 112 0.50213384545493 0.999196670290142
"76" 4 2 112 0.630611673265862 1.02925181708893
"77" 4 2 112 0.795774715459477 1.0440150666282
"78" 4 2 112 0.99945325388133 1.06222105901353
"79" 4 2 112 1.26122334653172 1.07927869068982
"80" 4 2 112 1.55900224505666 1.09868275140806
