"freq" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" 0.251066922727465 4 112 0.00346967644348027 0.0759651939583663 1
"2" 0.316797914224418 2 56 0.0493164532966571 0.0942520473629037 1
"3" 0.316797914224418 2 112 0.0152567123516285 0.111128047545353 1
"4" 0.316797914224418 4 56 0.00576073085827406 0.0609495364773632 1
"5" 0.316797914224418 4 112 0.0174539472608476 0.0672578364214594 1
"6" 0.397887357729738 2 56 0.0369848350797342 0.0850258783359913 1
"7" 0.397887357729738 2 112 0.0203372734469245 0.0747684295449708 1
"8" 0.397887357729738 4 56 0.0107000718213749 0.0750275521650865 1
"9" 0.397887357729738 4 112 0.0154990770171039 0.0650642830393587 1
"10" 0.50213384545493 2 56 0.0127592216966592 0.0855787648966864 1
"11" 0.50213384545493 2 112 0.00524228632275229 0.0615150053821952 1
"12" 0.50213384545493 4 56 0.0283499624676055 0.0673395178241742 1
"13" 0.50213384545493 4 112 0.0253355023594508 0.0635165430597423 1
"14" 0.630611673265862 2 56 0.0267972951167875 0.0771917741637432 1
"15" 0.630611673265862 2 112 0.0153496092669334 0.0567660584571607 1
"16" 0.630611673265862 4 56 0.0222585564873898 0.0767793810872371 1
"17" 0.630611673265862 4 112 0.0208938248242803 0.0792442083618792 1
"18" 0.795774715459477 2 56 0.0309439223127095 0.0959930062324338 1
"19" 0.795774715459477 2 112 0.0211939271102177 0.0800584191559325 1
"20" 0.795774715459477 4 56 0.0405818580600495 0.0713453041574025 1
"21" 0.795774715459477 4 112 0.0194009886747399 0.058468665713021 1
"22" 0.99945325388133 2 56 0.0374469327670569 0.085330504002476 1
"23" 0.99945325388133 2 112 0.026040951652479 0.0663046491986805 1
"24" 0.99945325388133 4 56 0.0327768761336817 0.0923212571781307 1
"25" 0.99945325388133 4 112 0.00774316105170194 0.0468894924807923 1
"26" 1.26122334653172 2 56 0.0419653481021749 0.110546498454375 1
"27" 1.26122334653172 2 112 0.0115706064698443 0.0634974522905182 1
"28" 1.26122334653172 4 56 0.0148982025359478 0.0663634887588669 1
"29" 1.26122334653172 4 112 0.00488270595619484 0.0328805646743884 1
"30" 1.55900224505666 2 56 0.0269913949099556 0.0746193251788694 1
"31" 3.11800449011332 2 56 0.00421992229614456 0.0548177040607072 1
