"subject" "speedMatch" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 5.1927872837084 2 56 0.000645645801222066 0.171345684944021 1
"2" "AB" 7.36779560647782 2 56 0.0109905866026019 0.137898533281203 1
"3" "AB" 7.54338467319236 4 56 0.0178576390452578 0.172263523350234 1
"4" "AB" 9.28422893381118 4 56 0.0382205026342491 0.20542165961054 1
"5" "AB" 10.6411956689465 4 56 0.0352687832324806 0.185710497194856 1
"6" "AB" 13.2218567334743 4 56 0.000387162589611616 0.140819197779374 1
"7" "AB" 15.4435040064337 2 56 0.0130762157888385 0.167969773406844 1
"8" "AB" 25.1740189959826 2 56 0.00663856469733055 0.176592262054641 1
"9" "AB" 35.4227991719645 2 56 0.00824446136594745 0.179422550351041 1
"10" "AB" 35.4227991719645 2 112 -0.248358546556246 -0.0294960542071052 1
"11" "AD" 10.9441230559268 4 112 0.0293841069751139 0.311081423013412 1
"12" "AD" 12.5850580011662 4 112 0.0059997483062542 0.290761892118305 1
"13" "AD" 18.5854147142509 2 112 0.00312340930329134 0.158150362208909 1
"14" "AD" 19.0310357475796 2 112 0.00716268844327509 0.161670851948167 1
"15" "AD" 21.7042552225016 4 112 0.00736653475344564 0.193038033052405 1
"16" "AD" 21.9397672931848 4 112 0.00465885961566561 0.190871613683144 1
"17" "AD" 48.726871185387 2 112 0.0126924161798275 0.221470454782385 1
"18" "FE" 39.4570205743145 2 56 0.0160049990918531 0.192295427083936 1
"19" "FE" 39.4570205743145 2 112 0.00285876551868294 0.208530796145578 1
"20" "MC" 5.69647348576017 2 56 0.0176254063958639 0.346485529189143 1
"21" "MC" 8.14991363647719 4 56 0.00171523378875615 0.275168828972689 1
"22" "MC" 8.78962527343434 2 56 0.148507279758848 0.435518768416673 1
"23" "MC" 8.95285532412459 2 56 0.145372846426896 0.444342832262613 1
"24" "MC" 10.4833093453556 4 56 0.129851919903138 0.295092741079941 1
"25" "MC" 12.452797065191 4 56 0.0811694910019592 0.267509441522538 1
"26" "MC" 12.9294821194041 2 56 0.00726198849269438 0.286330823538906 1
"27" "MC" 13.5077616914474 2 56 0.0121143264427914 0.280596091272636 1
"28" "MC" 13.5077616914474 2 112 0.00772735473394123 0.194670973157304 1
"29" "MC" 16.3917406893154 4 56 0.0210940991360488 0.184813974708554 1
"30" "MC" 16.5594764468921 4 56 0.0180460217867991 0.182047039629031 1
