"radius" "number" "durationTest" "tf" "pse"
"1" 2 1 56 0.316797914224418 0.848396811594722
"2" 2 1 56 0.397887357729738 0.887111991016856
"3" 2 1 56 0.50213384545493 0.936883222658659
"4" 2 1 56 0.630611673265862 0.967495138059308
"5" 2 1 56 0.633595828448835 0.968206161179485
"6" 2 1 56 0.795774715459477 1.00684789768399
"7" 2 1 56 0.99945325388133 1.02619102593527
"8" 2 1 56 1.00426769090986 1.02664824775953
"9" 2 1 56 1.26122334653172 1.05105104561981
"10" 2 1 56 1.55900224505666 1.0782202619401
"11" 2 1 56 1.59154943091895 1.08118985292754
"12" 2 1 56 1.99890650776266 1.11835693425933
"13" 2 1 56 2.52244669306345 1.12537215238118
"14" 2 1 56 3.11800449011332 1.13335237618783
"15" 2 1 112 0.316797914224418 0.882788936070579
"16" 2 1 112 0.397887357729738 0.914338399912055
"17" 2 1 112 0.50213384545493 0.95489757325095
"18" 2 1 112 0.630611673265862 0.974416583790481
"19" 2 1 112 0.633595828448835 0.974869951951046
"20" 2 1 112 0.795774715459477 0.99950900025056
"21" 2 1 112 0.99945325388133 1.02368968860171
"22" 2 1 112 1.00426769090986 1.02426125791027
"23" 2 1 112 1.26122334653172 1.05476699836187
"24" 2 1 112 1.55900224505666 1.08499451404884
"25" 2 1 112 1.59154943091895 1.08829837666668
"26" 2 1 112 1.99890650776266 1.12964916576385
"27" 2 1 112 2.52244669306345 1.12334431696894
"28" 2 1 112 3.11800449011332 1.11617218011211
"29" 2 2 56 0.633595828448835 0.919263293792656
"30" 2 2 56 0.795774715459477 0.944573087498048
"31" 2 2 56 0.99945325388133 0.976359356874372
"32" 2 2 56 1.00426769090986 0.977110702565823
"33" 2 2 56 1.26122334653172 1.01250178971158
"34" 2 2 56 1.55900224505666 1.05351555499478
"35" 2 2 56 1.59154943091895 1.057998352964
"36" 2 2 56 1.99890650776266 1.08345558228311
"37" 2 2 56 2.52244669306345 1.11617351775692
"38" 2 2 56 3.11800449011332 1.12307869702276
"39" 2 2 56 3.99781301552532 1.1332796139072
"40" 2 2 56 6.23600898022664 1.16074354184901
"41" 2 2 112 0.633595828448835 0.932723148360742
"42" 2 2 112 0.795774715459477 0.953529603500391
"43" 2 2 112 0.99945325388133 0.979660183446384
"44" 2 2 112 1.00426769090986 0.98027784317943
"45" 2 2 112 1.26122334653172 1.00722196916015
"46" 2 2 112 1.55900224505666 1.03844678161598
"47" 2 2 112 1.59154943091895 1.04185964861075
"48" 2 2 112 1.99890650776266 1.06538255969611
"49" 2 2 112 2.52244669306345 1.09561448625023
"50" 2 2 112 3.11800449011332 1.10261038734842
"51" 2 2 112 3.99781301552532 1.11294532622357
"52" 2 2 112 6.23600898022664 1.12183264939373
"53" 4 1 56 0.158398957112209 0.836328149390008
"54" 4 1 56 0.251066922727465 0.919657526225201
"55" 4 1 56 0.316797914224418 0.942044595434267
"56" 4 1 56 0.397887357729738 0.969662541589277
"57" 4 1 56 0.50213384545493 0.982320222313736
"58" 4 1 56 0.630611673265862 0.997920089130253
"59" 4 1 56 0.633595828448835 0.998100111136177
"60" 4 1 56 0.795774715459477 1.00788370708478
"61" 4 1 56 0.99945325388133 1.02017080906244
"62" 4 1 56 1.00426769090986 1.02073994558011
"63" 4 1 56 1.26122334653172 1.051115843358
"64" 4 1 56 1.55900224505666 1.08631764251715
"65" 4 1 112 0.158398957112209 0.903830418776793
"66" 4 1 112 0.251066922727465 0.906107997253673
"67" 4 1 112 0.316797914224418 0.918174543414463
"68" 4 1 112 0.397887357729738 0.933060512588609
"69" 4 1 112 0.50213384545493 0.957297553132813
"70" 4 1 112 0.630611673265862 0.987168317986719
"71" 4 1 112 0.633595828448835 0.987558018386815
"72" 4 1 112 0.795774715459477 1.0087369361307
"73" 4 1 112 0.99945325388133 1.03533528743858
"74" 4 1 112 1.00426769090986 1.03580054882428
"75" 4 1 112 1.26122334653172 1.06063243336021
"76" 4 1 112 1.55900224505666 1.08940942683604
"77" 4 2 56 0.316797914224418 0.873560217908616
"78" 4 2 56 0.397887357729738 0.903040919783485
"79" 4 2 56 0.50213384545493 0.940940546335083
"80" 4 2 56 0.630611673265862 0.96988547744779
"81" 4 2 56 0.633595828448835 0.970557781515134
"82" 4 2 56 0.795774715459477 1.00709526656171
"83" 4 2 56 0.99945325388133 1.02456922134074
"84" 4 2 56 1.00426769090986 1.02498226070941
"85" 4 2 56 1.26122334653172 1.04702695693191
"86" 4 2 56 1.55900224505666 1.06127297608999
"87" 4 2 56 1.59154943091895 1.06283006369973
"88" 4 2 56 1.99890650776266 1.08231840471261
"89" 4 2 56 2.52244669306345 1.09493059130806
"90" 4 2 56 3.11800449011332 1.10927769641223
"91" 4 2 112 0.316797914224418 0.911898187469279
"92" 4 2 112 0.397887357729738 0.926088523000318
"93" 4 2 112 0.50213384545493 0.944331250719319
"94" 4 2 112 0.630611673265862 0.957666746001346
"95" 4 2 112 0.633595828448835 0.95797648962047
"96" 4 2 112 0.795774715459477 0.97481002284114
"97" 4 2 112 0.99945325388133 0.998633543507445
"98" 4 2 112 1.00426769090986 0.999196670290142
"99" 4 2 112 1.26122334653172 1.02925181708893
"100" 4 2 112 1.55900224505666 1.04256043664469
"101" 4 2 112 1.59154943091895 1.0440150666282
"102" 4 2 112 1.99890650776266 1.06222105901353
"103" 4 2 112 2.52244669306345 1.07927869068982
"104" 4 2 112 3.11800449011332 1.09868275140806
