"subject" "speed" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"50" "AD" 31.6243011303319 1 56 -0.121802829679316 -0.0265249128313926 1
"51" "AD" 31.6243011303319 1 112 -0.172088972976291 -0.0590049320885755 1
"52" "AD" 31.6243011303319 2 56 -0.113734339240628 -0.0110516914877668 1
"53" "AD" 31.6243011303319 2 112 -0.172567318807029 -0.0649110442226623 1
"54" "AD" 39.182 2 112 -0.23779745506823 -0.0468287030411864 1
"55" "FE" 6.31 1 112 -0.655102762970062 -0.124576215170319 1
"56" "FE" 7.94415940652074 1 112 -0.388429456452887 -0.0870055630749087 1
"57" "FE" 7.94415940652074 2 112 -0.181899874230908 -0.0379799545487102 1
"58" "FE" 10 2 112 -0.208130680326552 -0.0578790530613115 1
"59" "FE" 12.5897930372753 1 112 -0.131239080597728 -0.00433820614385996 1
"60" "FE" 12.5897930372753 2 56 -0.157990003786767 -0.0140908707088273 1
"61" "FE" 12.5897930372753 2 112 -0.142693262328481 -0.0378583322349009 1
"62" "FE" 15.849 2 56 -0.273592603658234 -0.0459090880928201 1
"63" "FE" 19.9535629847777 1 112 -0.126715068817301 -0.00838696132405161 1
"64" "FE" 19.9535629847777 2 112 -0.126766670189714 -0.012754271968406 1
"65" "FE" 25.119 2 112 -0.215214829993379 -0.0242363054833657 1
"66" "FE" 31.6243011303319 2 112 -0.136875369064189 -0.00379725179854498 1
"67" "MA" 5.01199660813932 2 56 -0.174860301474916 -0.00143751056720781 1
"68" "MA" 6.31 2 56 -0.252541652984279 -0.00698438552139581 1
"69" "MA" 7.94415940652074 2 56 -0.197423904896653 -0.033296164837819 1
"70" "MA" 7.94415940652074 2 112 -0.169691495519159 -0.0409713649073579 1
"71" "MA" 10 2 56 -0.219727267742405 -0.00461382895911064 1
"72" "MA" 10 2 112 -0.222734057629774 -0.0613444396004698 1
"73" "MA" 12.5897930372753 2 56 -0.155895289287951 -0.00773268730693346 1
"74" "MA" 12.5897930372753 2 112 -0.167277747216183 -0.0522282424755541 1
"75" "MA" 19.9535629847777 1 56 -0.175553531142932 -0.0249987855523227 1
"76" "MA" 25.119 1 56 -0.323428818173159 -0.0745985603458622 1
"77" "MA" 31.6243011303319 1 56 -0.187373581826016 -0.0307218132404171 1
"78" "MC" 3.981 2 112 -0.211535026618417 -0.0202795869551257 1
"79" "MC" 5.01199660813932 2 56 -0.327458350100007 -0.0697325107389223 1
"80" "MC" 5.01199660813932 2 112 -0.129468873778709 -0.00416591826760601 1
"81" "MC" 6.31 2 56 -0.361556157208909 -0.0746344321769984 1
"82" "MC" 7.94415940652074 2 56 -0.291604509279316 -0.103690280784679 1
"83" "MC" 10 1 56 -0.254578652554203 -0.0178663824955165 1
"84" "MC" 10 2 56 -0.25496924666906 -0.07193744448524 1
"85" "MC" 10 2 112 -0.150888243610633 -0.0165537097459384 1
"86" "MC" 12.5897930372753 1 56 -0.239817020753806 -0.0927664790477412 1
"87" "MC" 12.5897930372753 2 56 -0.192387836564944 -0.0722011406504491 1
"88" "MC" 12.5897930372753 2 112 -0.13046010448611 -0.0370482965721957 1
"89" "MC" 15.849 1 56 -0.272880322343437 -0.123459026818778 1
"90" "MC" 15.849 2 56 -0.17278060854582 -0.0226969004954569 1
"91" "MC" 15.849 2 112 -0.145798644301396 -0.0259104498837255 1
"92" "MC" 19.9535629847777 1 56 -0.251836867503793 -0.13819083145498 1
"93" "MC" 19.9535629847777 1 112 -0.155508661942657 -0.0619989998482467 1
"94" "MC" 19.9535629847777 2 56 -0.180623424359489 -0.083618344896596 1
"95" "MC" 19.9535629847777 2 112 -0.112327407408093 -0.0251695661339101 1
"96" "MC" 25.119 1 56 -0.285286180736634 -0.106470012700515 1
"97" "MC" 25.119 1 112 -0.231147289152441 -0.103433292776863 1
"98" "MC" 25.119 2 56 -0.235473304193052 -0.114456854067019 1
"99" "MC" 31.6243011303319 1 56 -0.233612997406149 -0.107492480819715 1
"100" "MC" 31.6243011303319 1 112 -0.167072140615992 -0.0701451112752806 1
"101" "MC" 31.6243011303319 2 56 -0.171350894310845 -0.0588708024899905 1
"102" "MC" 39.182 1 56 -0.225830999075498 -0.0394813868003575 1
"103" "MP" 6.31 2 112 -0.158153699232241 -0.00930395771252026 1
"104" "MP" 7.94415940652074 1 56 -0.117080037581828 -0.000935772960113936 1
"105" "MP" 7.94415940652074 2 56 -0.129755968318339 -0.00346473378119527 1
"106" "MP" 7.94415940652074 2 112 -0.129574216565014 -0.0333367748098086 1
"107" "MP" 10 1 112 -0.137288445635265 -0.0188259603129662 1
"108" "MP" 10 2 112 -0.135351343061248 -0.0250193320064548 1
"109" "MP" 12.5897930372753 1 56 -0.110050026415123 -0.00145151346154835 1
"110" "MP" 12.5897930372753 1 112 -0.0986424167280493 -0.0148965430926812 1
"111" "MP" 12.5897930372753 2 56 -0.13384345436017 -0.0185658071002641 1
"112" "MP" 12.5897930372753 2 112 -0.12428562107902 -0.0349821864577999 1
"113" "MP" 15.849 1 56 -0.160386982553602 -0.00702659607736153 1
"114" "MP" 15.849 2 112 -0.158179632829028 -0.00739981500023265 1
"115" "MP" 19.9535629847777 1 56 -0.138908180301075 -0.0282753070424705 1
"116" "MP" 19.9535629847777 1 112 -0.10940558876396 -0.0212925117115556 1
"117" "MP" 25.119 1 56 -0.162375232337418 -0.0222118643637428 1
"118" "MP" 25.119 1 112 -0.179748172843384 -0.0351565210625149 1
"119" "MP" 31.6243011303319 1 56 -0.137783453365484 -0.0396422703009513 1
"120" "MP" 31.6243011303319 1 112 -0.137773491940914 -0.0369383518056064 1
"121" "MP" 31.6243011303319 2 56 -0.117736371145307 -0.0248616091439777 1
"122" "MP" 39.182 1 56 -0.152878378682506 -0.0198392621534214 1
"123" "MP" 39.182 2 56 -0.204442444869348 -0.0715375505851971 1
"124" "SY" 5.01199660813932 1 56 -0.232203005714373 -0.000119758168298986 1
"125" "SY" 6.31 1 56 -0.295050079179333 -0.025219240523201 1
"126" "SY" 6.31 2 56 0.0169137183684446 0.27639345500757 1
"127" "SY" 7.94415940652074 1 56 -0.187756579569922 -0.00755211698674372 1
"128" "SY" 7.94415940652074 2 56 0.0178885030954451 0.192684782484906 1
