"subject" "tf" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"41" "FE" 0.99945325388133 2 112 -0.179307992882907 -0.0274229490077392 1
"42" "FE" 0.99945325388133 4 112 -0.164491409095668 -0.0407271008411272 1
"43" "FE" 1.00426769090986 2 56 -0.221043891106785 -0.0573377213196733 1
"44" "FE" 1.00426769090986 2 112 -0.17954690081122 -0.0264653251609215 1
"45" "FE" 1.00426769090986 4 112 -0.163062033705109 -0.0398626835562196 1
"46" "FE" 1.26122334653172 2 56 -0.184911465081221 -0.0440594275660546 1
"47" "FE" 1.26122334653172 2 112 -0.141803627381081 -0.018291396244152 1
"48" "FE" 1.99890650776266 2 112 -0.150951808603069 -0.0126387247885769 1
"49" "FE" 2.52244669306345 2 56 0.0473866547718886 0.258146882261539 1
"50" "FE" 3.11800449011332 2 56 0.0647525167584128 0.236278761952383 1
"51" "MA" 1.55900224505666 4 112 -0.13215528305112 -0.00664579339513904 1
"52" "MC" 0.316797914224418 4 56 -0.379566064785666 -0.0110456934673308 1
"53" "MC" 0.316797914224418 4 112 -0.209820550825744 -0.0244683516327599 1
"54" "MC" 0.397887357729738 4 56 -0.311221011435969 -0.0422411377433746 1
"55" "MC" 0.397887357729738 4 112 -0.154789862765345 -0.00245650213103747 1
"56" "MC" 0.50213384545493 4 56 -0.282340756250183 -0.00282269536678257 1
"57" "MC" 0.630611673265862 4 56 -0.244105217380182 -0.0358582198437608 1
"58" "MC" 0.633595828448835 4 56 -0.242131197690015 -0.0360866768181513 1
"59" "MC" 0.795774715459477 2 56 -0.218511056594216 -0.0149284085900106 1
"60" "MC" 0.99945325388133 2 56 -0.166541974481905 -0.00736677343938236 1
"61" "MC" 0.99945325388133 4 56 -0.14071464733017 -0.00864445796226919 1
"62" "MC" 1.00426769090986 2 56 -0.16622415856707 -0.0069399825889551 1
"63" "MC" 1.00426769090986 4 56 -0.139348363930979 -0.00901705327085045 1
"64" "MC" 1.26122334653172 2 56 -0.199054970692003 -0.0831950336516167 1
"65" "MC" 1.55900224505666 2 56 -0.185644149725397 -0.0479837680764207 1
"66" "MC" 1.55900224505666 4 56 -0.153096431462571 -0.0226363381914243 1
"67" "MC" 1.55900224505666 4 112 -0.126466356126729 -0.030975217684487 1
"68" "MC" 1.59154943091895 2 56 -0.186688730718372 -0.0426272111186882 1
"69" "MC" 1.99890650776266 2 56 -0.229667177530587 -0.0544799501387553 1
"70" "MC" 1.99890650776266 2 112 -0.135944141270514 -0.0351973958612087 1
"71" "MC" 2.52244669306345 2 56 -0.192004691289072 -0.041452651005545 1
"72" "MC" 2.52244669306345 2 112 -0.119778770153632 -0.0173652599743276 1
"73" "MC" 3.11800449011332 2 56 -0.172647279603048 -0.0194978162501794 1
"74" "MC" 3.11800449011332 2 112 -0.143554493415995 -0.00810620386251403 1
"75" "MP" 0.795774715459477 4 56 -0.180565318296332 -0.00918339258490593 1
"76" "MP" 0.99945325388133 4 112 -0.097124372443702 -0.00197393312039799 1
"77" "MP" 1.00426769090986 4 112 -0.0966449160908431 -0.00209535070866715 1
"78" "MP" 1.26122334653172 2 56 -0.136734089287317 -0.00293682715323275 1
"79" "MP" 1.55900224505666 2 56 -0.143105120241361 -0.0321469152265899 1
"80" "MP" 1.59154943091895 2 56 -0.143905775248474 -0.0318155854782251 1
"81" "MP" 1.99890650776266 2 56 -0.138292408538929 -0.0300564991852305 1
"82" "MP" 1.99890650776266 2 112 -0.147227362953412 -0.0067159907933436 1
"83" "SY" 0.316797914224418 4 56 -0.313383184279513 -0.0373886421248969 1
"84" "SY" 0.397887357729738 4 56 -0.308617566929952 -0.0832101517681732 1
"85" "SY" 0.633595828448835 2 56 -0.325256899662262 -0.110719923760311 1
"86" "SY" 0.633595828448835 2 112 -0.225956963804151 -0.0399250056513358 1
"87" "SY" 0.795774715459477 2 56 -0.367287466289591 -0.148862552585656 1
"88" "SY" 0.99945325388133 2 56 -0.313531410858211 -0.0769996799093381 1
"89" "SY" 1.00426769090986 2 56 -0.312945144730897 -0.0737731091146071 1
