"tf" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" 0.316797914224418 4 56 -0.102578434954652 -0.0303251808360997 1
"2" 0.397887357729738 4 56 -0.0937051153813801 -0.0352820856800758 1
"3" 0.50213384545493 4 56 -0.0663111506419101 -0.00165619331933609 1
"4" 0.630611673265862 4 112 -0.0590976717559268 -0.00149684937108718 1
"5" 0.633595828448835 2 56 -0.0713414212868043 -0.00711808765402632 1
"6" 0.633595828448835 2 112 -0.0628893075878245 -0.00843411422957384 1
"7" 0.633595828448835 4 112 -0.059140899991371 -0.00166475355440977 1
"8" 0.795774715459477 2 56 -0.0828953716347348 -0.00675301910213948 1
"9" 0.795774715459477 2 112 -0.0645740180205577 -0.0129474877782944 1
"10" 0.795774715459477 4 112 -0.0621231749716936 -0.0108501785064483 1
"11" 0.99945325388133 2 56 -0.0755020647741529 -0.0191394866757637 1
"12" 0.99945325388133 2 112 -0.0663178055338518 -0.0225911914778096 1
"13" 0.99945325388133 4 112 -0.0579287593548429 -0.0190085806002536 1
"14" 1.00426769090986 2 56 -0.0755074459192918 -0.0191623017459895 1
"15" 1.00426769090986 2 112 -0.0663777181144977 -0.0225104102352394 1
"16" 1.00426769090986 4 112 -0.0577455582602674 -0.0189731659042553 1
"17" 1.26122334653172 2 56 -0.0530384452863839 -0.00721218924403862 1
"18" 1.26122334653172 2 112 -0.0655501972742647 -0.0210000433747416 1
"19" 1.26122334653172 4 112 -0.0520712727860429 -0.0151801776679234 1
"20" 1.55900224505666 2 112 -0.0726881947197066 -0.0203958459530567 1
"21" 1.55900224505666 4 56 -0.0501244142727536 -0.00927078252354196 1
"22" 1.55900224505666 4 112 -0.0714829870724373 -0.0312915989488725 1
"23" 1.59154943091895 2 112 -0.0733696567618947 -0.0203298072717436 1
"24" 1.99890650776266 2 56 -0.0562819897837564 -0.00511618249063439 1
"25" 1.99890650776266 2 112 -0.0897163015278832 -0.0368704521966621 1
"26" 2.52244669306345 2 112 -0.0555252773897587 -0.00051320727562723 1
