"tf" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" 0.316797914224418 4 56 -0.103126240247439 -0.0301146373644865 1
"2" 0.397887357729738 4 56 -0.103795992498989 -0.0349438454083442 1
"3" 0.633595828448835 2 56 -0.0714249939017937 -0.00297018284758882 1
"4" 0.633595828448835 2 112 -0.0679674429763577 -0.00493062923361706 1
"5" 0.795774715459477 2 56 -0.0831787820016836 -0.00612273561832812 1
"6" 0.795774715459477 2 112 -0.0648562887274082 -0.0114138913236911 1
"7" 0.795774715459477 4 112 -0.0690346516114492 -0.0107723395818813 1
"8" 0.99945325388133 2 56 -0.0766387754979254 -0.0138152404153329 1
"9" 0.99945325388133 2 112 -0.0696049343663948 -0.0210431801294149 1
"10" 0.99945325388133 4 112 -0.0604023116961046 -0.0129722140490965 1
"11" 1.00426769090986 2 56 -0.0765202145398214 -0.0131577127297583 1
"12" 1.00426769090986 2 112 -0.06977530125924 -0.0211553802198751 1
"13" 1.00426769090986 4 112 -0.060158406427892 -0.0130687612925981 1
"14" 1.26122334653172 2 112 -0.0678532921002482 -0.0207638444987974 1
"15" 1.26122334653172 4 112 -0.0526790911222863 -0.0128809713848533 1
"16" 1.55900224505666 2 112 -0.0750068519535075 -0.0203465014712729 1
"17" 1.55900224505666 4 56 -0.0554602660339537 -0.00837629276109396 1
"18" 1.55900224505666 4 112 -0.0733232815323762 -0.0303187354689102 1
"19" 1.59154943091895 2 112 -0.0763971798132186 -0.0203008859452807 1
"20" 1.99890650776266 2 56 -0.0586158627070339 -0.003122257459303 1
"21" 1.99890650776266 2 112 -0.0959626097632326 -0.0345990901461323 1
