"speed" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" 3.981 2 56 -0.0883463431129252 -0.0112560298675328 1
"2" 5.01199660813932 2 56 -0.07015225658963 -0.0161363453433187 1
"3" 6.31 1 112 -0.0775069520708243 -0.00095601822985564 1
"4" 6.31 2 112 -0.0691811082140522 -0.00391547924055214 1
"5" 7.94415940652074 1 56 -0.0542293200138589 -0.00137825820178532 1
"6" 7.94415940652074 1 112 -0.0781937363728201 -0.0245588484373448 1
"7" 7.94415940652074 2 56 -0.0638491432598962 -0.0175063583789839 1
"8" 7.94415940652074 2 112 -0.0774780195406407 -0.0217284477839216 1
"9" 10 1 112 -0.100490276909015 -0.0290871421090843 1
"10" 10 2 56 -0.0806633890773027 -0.0272818673497182 1
"11" 10 2 112 -0.0933788629870661 -0.0431604508955478 1
"12" 12.5897930372753 1 56 -0.0669345389603079 -0.0119573024577153 1
"13" 12.5897930372753 1 112 -0.0934865096171358 -0.0491983291906879 1
"14" 12.5897930372753 2 56 -0.0894386942351198 -0.0385240190022907 1
"15" 12.5897930372753 2 112 -0.0889875055146861 -0.0499373313071912 1
"16" 15.849 1 56 -0.0847315605671857 -0.0258351337183847 1
"17" 15.849 1 112 -0.105275709851181 -0.0441772233091661 1
"18" 15.849 2 56 -0.10335201048516 -0.037017963826695 1
"19" 15.849 2 112 -0.0961362308366753 -0.0435926424528882 1
"20" 19.9535629847777 1 56 -0.098361723547469 -0.0513301024730962 1
"21" 19.9535629847777 1 112 -0.103986062231704 -0.0628971161849582 1
"22" 19.9535629847777 2 56 -0.0900174857544641 -0.0434265199840988 1
"23" 19.9535629847777 2 112 -0.0840040440519658 -0.03865596288476 1
"24" 25.119 1 56 -0.129122620731742 -0.0700891043896683 1
"25" 25.119 1 112 -0.130591753547332 -0.0711692642487725 1
"26" 25.119 2 56 -0.0770489396562419 -0.0185904361703003 1
"27" 25.119 2 112 -0.0810771697088756 -0.0143440425555759 1
"28" 31.6243011303319 1 56 -0.0950887477947627 -0.0447625635978438 1
"29" 31.6243011303319 1 112 -0.0817556962031215 -0.046776531125749 1
"30" 31.6243011303319 2 56 -0.0741298632502704 -0.0288421167518901 1
"31" 31.6243011303319 2 112 -0.0589823535043521 -0.0160254652932785 1
"32" 39.182 1 56 -0.0680089442412955 -0.00868090423142427 1
"33" 39.182 2 56 -0.0830233413599463 -0.0243389237599672 1
