"freq" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" 0.251066922727465 4 112 0.00285933371274016 0.0822411125137447 1
"2" 0.316797914224418 2 56 0.0343510233863976 0.100681519708177 1
"3" 0.316797914224418 2 112 0.0143365959073216 0.130850799033186 1
"4" 0.316797914224418 4 56 0.00396652429663425 0.0627091961600467 1
"5" 0.316797914224418 4 112 0.0165069763621242 0.0689579053864448 1
"6" 0.397887357729738 2 56 0.0257413127391857 0.0963646440979387 1
"7" 0.397887357729738 2 112 0.0184061652497344 0.0782132251376365 1
"8" 0.397887357729738 4 56 0.00990563181770425 0.0769940870325907 1
"9" 0.397887357729738 4 112 0.0135767145753372 0.0653399197142316 1
"10" 0.50213384545493 2 56 0.0121286320003719 0.0932977427404398 1
"11" 0.50213384545493 2 112 0.00327870825855639 0.0659926728364576 1
"12" 0.50213384545493 4 56 0.0263385166702371 0.0683260265026151 1
"13" 0.50213384545493 4 112 0.0200700163060792 0.0713853949090319 1
"14" 0.630611673265862 2 56 0.025716173899551 0.0772307229161508 1
"15" 0.630611673265862 2 112 0.0131911868769419 0.0595624375783817 1
"16" 0.630611673265862 4 56 0.016833585349767 0.08780197772126 1
"17" 0.630611673265862 4 112 0.0177504709423413 0.0913124467929452 1
"18" 0.795774715459477 2 56 0.0304691382664357 0.100360029075583 1
"19" 0.795774715459477 2 112 0.0210225153496891 0.0803670492477783 1
"20" 0.795774715459477 4 56 0.0389260093992368 0.0726124147499863 1
"21" 0.795774715459477 4 112 0.0144324594330686 0.0637403286787887 1
"22" 0.99945325388133 2 56 0.0367824682783111 0.091321361996079 1
"23" 0.99945325388133 2 112 0.0223299050964489 0.0672252471784641 1
"24" 0.99945325388133 4 56 0.0321271362057657 0.105636115285732 1
"25" 0.99945325388133 4 112 0.00607127474067783 0.0519510925757472 1
"26" 1.26122334653172 2 56 0.0407969108163989 0.110721478529488 1
"27" 1.26122334653172 2 112 0.00804229769869814 0.0695245882920489 1
"28" 1.26122334653172 4 56 0.0110035815443239 0.0672178312702074 1
"29" 1.26122334653172 4 112 0.00327044944293373 0.0342733722990876 1
"30" 1.55900224505666 2 56 0.0261687540553767 0.0776897285481423 1
"31" 3.11800449011332 2 56 0.00328928087259785 0.054994721314625 1
