"freq" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" 0.316797914224418 1 56 0.0654890210843643 0.133109894643555 1
"2" 0.316797914224418 2 56 0.0348741146218978 0.0867725754244155 1
"3" 0.316797914224418 2 112 0.00259966633108363 0.0593295461494655 1
"4" 0.397887357729738 1 56 0.0424424663800955 0.113746721381341 1
"5" 0.397887357729738 2 56 0.0294290396708034 0.0981123742357387 1
"6" 0.397887357729738 2 112 0.00293915991611588 0.0579461370353139 1
"7" 0.50213384545493 1 56 0.0184272469890955 0.0863916856770098 1
"8" 0.50213384545493 2 56 0.0212125020464014 0.0754326022225761 1
"9" 0.630611673265862 1 56 0.000872883703357871 0.0660072607716846 1
"10" 0.630611673265862 2 56 0.000250776460533626 0.0589109075689459 1
