"subject" "radius" "number" "durationTest" "sample" "freq" "psesample"
"35" "AB" 2 1 56 4 0.795774715459477 1.06147181386247
"36" "AB" 2 1 56 4 0.99945325388133 1.08655233339991
"37" "AB" 2 1 56 4 1.26122334653172 1.11878611695858
"38" "AB" 2 1 56 4 1.55900224505666 1.13014103999045
"39" "AB" 2 1 56 4 1.99890650776266 1.14691549603539
"40" "AB" 2 1 56 4 3.11800449011332 1.1855311162109
"41" "AB" 2 1 56 5 0.316797914224418 0.951557275582165
"42" "AB" 2 1 56 5 0.397887357729738 0.97611654514693
"43" "AB" 2 1 56 5 0.50213384545493 1.00768930582391
"44" "AB" 2 1 56 5 0.630611673265862 1.05032695028407
"45" "AB" 2 1 56 5 0.795774715459477 1.10513923339158
"46" "AB" 2 1 56 5 0.99945325388133 1.10204198871473
"47" "AB" 2 1 56 5 1.26122334653172 1.09806137282705
"48" "AB" 2 1 56 5 1.55900224505666 1.12048111261818
"49" "AB" 2 1 56 5 1.99890650776266 1.15360145509957
"50" "AB" 2 1 56 5 3.11800449011332 1.18650944589038
"51" "AB" 2 1 56 6 0.316797914224418 0.956916103743174
"52" "AB" 2 1 56 6 0.397887357729738 0.972366172528953
"53" "AB" 2 1 56 6 0.50213384545493 0.99222838068339
"54" "AB" 2 1 56 6 0.630611673265862 1.03126561374222
"55" "AB" 2 1 56 6 0.795774715459477 1.08144943363297
"56" "AB" 2 1 56 6 0.99945325388133 1.09741636873198
"57" "AB" 2 1 56 6 1.26122334653172 1.11793726461328
"58" "AB" 2 1 56 6 1.55900224505666 1.13093923338164
"59" "AB" 2 1 56 6 1.99890650776266 1.15014684518055
"60" "AB" 2 1 56 6 3.11800449011332 1.21496550098493
"61" "AB" 2 1 56 7 0.316797914224418 0.911077620006349
"62" "AB" 2 1 56 7 0.397887357729738 0.940838841673525
"63" "AB" 2 1 56 7 0.50213384545493 0.979099097202476
"64" "AB" 2 1 56 7 0.630611673265862 1.01266807898053
"65" "AB" 2 1 56 7 0.795774715459477 1.05582225778534
"66" "AB" 2 1 56 7 0.99945325388133 1.07718446925573
"67" "AB" 2 1 56 7 1.26122334653172 1.10463943883255
"68" "AB" 2 1 56 7 1.55900224505666 1.1143913171071
"69" "AB" 2 1 56 7 1.99890650776266 1.12879761937906
"70" "AB" 2 1 56 7 3.11800449011332 1.23545284499729
"71" "AB" 2 1 56 8 0.316797914224418 0.883727598103179
"72" "AB" 2 1 56 8 0.397887357729738 0.913847310541619
"73" "AB" 2 1 56 8 0.50213384545493 0.952568432518416
"74" "AB" 2 1 56 8 0.630611673265862 0.998704541639501
"75" "AB" 2 1 56 8 0.795774715459477 1.05801423162452
"76" "AB" 2 1 56 8 0.99945325388133 1.06981210558975
"77" "AB" 2 1 56 8 1.26122334653172 1.08497487425888
"78" "AB" 2 1 56 8 1.55900224505666 1.11049227312714
"79" "AB" 2 1 56 8 1.99890650776266 1.14818874050922
"80" "AB" 2 1 56 8 3.11800449011332 1.18279530798569
"81" "AB" 2 1 56 9 0.316797914224418 0.970785375876216
"82" "AB" 2 1 56 9 0.397887357729738 0.966742037592952
"83" "AB" 2 1 56 9 0.50213384545493 0.961544026649795
"84" "AB" 2 1 56 9 0.630611673265862 1.00941563834376
"85" "AB" 2 1 56 9 0.795774715459477 1.07095638165179
"86" "AB" 2 1 56 9 0.99945325388133 1.09610314142045
"87" "AB" 2 1 56 9 1.26122334653172 1.12842205771622
"88" "AB" 2 1 56 9 1.55900224505666 1.13513698426988
"89" "AB" 2 1 56 9 1.99890650776266 1.1450568437003
"90" "AB" 2 1 56 9 3.11800449011332 1.24367425772587
"91" "AB" 2 1 56 10 0.316797914224418 0.949409294597741
"92" "AB" 2 1 56 10 0.397887357729738 0.972490399300419
"93" "AB" 2 1 56 10 0.50213384545493 1.00216286952663
"94" "AB" 2 1 56 10 0.630611673265862 1.02988166025344
"95" "AB" 2 1 56 10 0.795774715459477 1.06551520014412
"96" "AB" 2 1 56 10 0.99945325388133 1.07153154249852
"97" "AB" 2 1 56 10 1.26122334653172 1.07926381762054
"98" "AB" 2 1 56 10 1.55900224505666 1.09862764487208
"99" "AB" 2 1 56 10 1.99890650776266 1.12723353398125
