"subject" "radius" "number" "durationTest" "sample" "freq" "psesample"
"100" "AB" 2 1 56 10 3.11800449011332 1.23076625550846
"101" "AB" 2 1 56 11 0.316797914224418 0.950248843479573
"102" "AB" 2 1 56 11 0.397887357729738 0.959795564760411
"103" "AB" 2 1 56 11 0.50213384545493 0.972068582304963
"104" "AB" 2 1 56 11 0.630611673265862 1.02044923487146
"105" "AB" 2 1 56 11 0.795774715459477 1.08264436921755
"106" "AB" 2 1 56 11 0.99945325388133 1.09445179908583
"107" "AB" 2 1 56 11 1.26122334653172 1.10962684911579
"108" "AB" 2 1 56 11 1.55900224505666 1.11844734217847
"109" "AB" 2 1 56 11 1.99890650776266 1.1314777231647
"110" "AB" 2 1 56 11 3.11800449011332 1.20484334977841
"111" "AB" 2 1 56 12 0.316797914224418 0.90227489493266
"112" "AB" 2 1 56 12 0.397887357729738 0.94737849515969
"113" "AB" 2 1 56 12 0.50213384545493 1.00536251507864
"114" "AB" 2 1 56 12 0.630611673265862 1.01662917831969
"115" "AB" 2 1 56 12 0.795774715459477 1.03111289436603
"116" "AB" 2 1 56 12 0.99945325388133 1.03490957132847
"117" "AB" 2 1 56 12 1.26122334653172 1.03978910595161
"118" "AB" 2 1 56 12 1.55900224505666 1.08684389174382
"119" "AB" 2 1 56 12 1.99890650776266 1.15635721506272
"120" "AB" 2 1 56 12 3.11800449011332 1.25570212018602
"121" "AB" 2 1 56 13 0.316797914224418 0.964831630679214
"122" "AB" 2 1 56 13 0.397887357729738 0.96483601792721
"123" "AB" 2 1 56 13 0.50213384545493 0.96484165805957
"124" "AB" 2 1 56 13 0.630611673265862 0.997228157808153
"125" "AB" 2 1 56 13 0.795774715459477 1.03886221183614
"126" "AB" 2 1 56 13 0.99945325388133 1.07267609092033
"127" "AB" 2 1 56 13 1.26122334653172 1.1161340925798
"128" "AB" 2 1 56 13 1.55900224505666 1.12564960575581
"129" "AB" 2 1 56 13 1.99890650776266 1.13970672944286
"130" "AB" 2 1 56 13 3.11800449011332 1.28865458475219
"131" "AB" 2 1 56 14 0.316797914224418 0.924115053830357
"132" "AB" 2 1 56 14 0.397887357729738 0.949540881983882
"133" "AB" 2 1 56 14 0.50213384545493 0.982227667931987
"134" "AB" 2 1 56 14 0.630611673265862 1.01304261489086
"135" "AB" 2 1 56 14 0.795774715459477 1.05265637916037
"136" "AB" 2 1 56 14 0.99945325388133 1.08664065816233
"137" "AB" 2 1 56 14 1.26122334653172 1.13031765983333
"138" "AB" 2 1 56 14 1.55900224505666 1.13384052919861
"139" "AB" 2 1 56 14 1.99890650776266 1.13904481082641
"140" "AB" 2 1 56 14 3.11800449011332 1.21753070021478
"141" "AB" 2 1 56 15 0.316797914224418 0.971578785502354
"142" "AB" 2 1 56 15 0.397887357729738 0.969144078889175
"143" "AB" 2 1 56 15 0.50213384545493 0.966014083145049
"144" "AB" 2 1 56 15 0.630611673265862 0.989591399922841
"145" "AB" 2 1 56 15 0.795774715459477 1.0199009205003
"146" "AB" 2 1 56 15 0.99945325388133 1.04788198605542
"147" "AB" 2 1 56 15 1.26122334653172 1.08384358603336
"148" "AB" 2 1 56 15 1.55900224505666 1.12528482300566
"149" "AB" 2 1 56 15 1.99890650776266 1.18650533556122
"150" "AB" 2 1 56 15 3.11800449011332 1.19780251893385
"151" "AB" 2 1 56 16 0.316797914224418 0.953615620370345
"152" "AB" 2 1 56 16 0.397887357729738 0.9631095419449
"153" "AB" 2 1 56 16 0.50213384545493 0.975314681554975
"154" "AB" 2 1 56 16 0.630611673265862 1.01875272790704
"155" "AB" 2 1 56 16 0.795774715459477 1.07459395751602
"156" "AB" 2 1 56 16 0.99945325388133 1.09362639863178
"157" "AB" 2 1 56 16 1.26122334653172 1.11808711949535
"158" "AB" 2 1 56 16 1.55900224505666 1.13514395261266
"159" "AB" 2 1 56 16 1.99890650776266 1.160341754182
"160" "AB" 2 1 56 16 3.11800449011332 1.164447293458
"161" "AB" 2 1 56 17 0.316797914224418 0.947574987315414
"162" "AB" 2 1 56 17 0.397887357729738 0.952064502459081
"163" "AB" 2 1 56 17 0.50213384545493 0.957836106814532
"164" "AB" 2 1 56 17 0.630611673265862 0.994984057653631
"165" "AB" 2 1 56 17 0.795774715459477 1.04273913474657
"166" "AB" 2 1 56 17 0.99945325388133 1.07307003434385
"167" "AB" 2 1 56 17 1.26122334653172 1.11205166912614
"168" "AB" 2 1 56 17 1.55900224505666 1.11801077347432
"169" "AB" 2 1 56 17 1.99890650776266 1.12681406819284
"170" "AB" 2 1 56 17 3.11800449011332 1.2031900873526
"171" "AB" 2 1 56 18 0.316797914224418 0.922133673922303
"172" "AB" 2 1 56 18 0.397887357729738 0.939818280232609
"173" "AB" 2 1 56 18 0.50213384545493 0.962553151936732
"174" "AB" 2 1 56 18 0.630611673265862 0.999184041613655
"175" "AB" 2 1 56 18 0.795774715459477 1.0462744172869
"176" "AB" 2 1 56 18 0.99945325388133 1.06985001815831
"177" "AB" 2 1 56 18 1.26122334653172 1.10014966225541
"178" "AB" 2 1 56 18 1.55900224505666 1.1105105239204
"179" "AB" 2 1 56 18 1.99890650776266 1.12581646814383
"180" "AB" 2 1 56 18 3.11800449011332 1.21702725947876
"181" "AB" 2 1 56 19 0.316797914224418 0.911820250675483
"182" "AB" 2 1 56 19 0.397887357729738 0.939367303100585
"183" "AB" 2 1 56 19 0.50213384545493 0.974781080016075
"184" "AB" 2 1 56 19 0.630611673265862 1.01748027569188
"185" "AB" 2 1 56 19 0.795774715459477 1.07237168518406
"186" "AB" 2 1 56 19 0.99945325388133 1.09985968627264
"187" "AB" 2 1 56 19 1.26122334653172 1.13518759390338
"188" "AB" 2 1 56 19 1.55900224505666 1.14227790597923
"189" "AB" 2 1 56 19 1.99890650776266 1.15275231676364
"190" "AB" 2 1 56 19 3.11800449011332 1.21096623759506
"191" "AB" 2 1 56 20 0.316797914224418 0.973269421969303
"192" "AB" 2 1 56 20 0.397887357729738 0.982864884690001
"193" "AB" 2 1 56 20 0.50213384545493 0.995200562966856
"194" "AB" 2 1 56 20 0.630611673265862 1.02008270819152
"195" "AB" 2 1 56 20 0.795774715459477 1.05206963443109
"196" "AB" 2 1 56 20 0.99945325388133 1.07405023200895
"197" "AB" 2 1 56 20 1.26122334653172 1.10229995880416
"198" "AB" 2 1 56 20 1.55900224505666 1.13400931768828
"199" "AB" 2 1 56 20 1.99890650776266 1.18085307394468
"200" "AB" 2 1 56 20 3.11800449011332 1.20097811860146
"201" "AB" 2 1 56 21 0.316797914224418 0.935178429585872
"202" "AB" 2 1 56 21 0.397887357729738 0.962109390787891
"203" "AB" 2 1 56 21 0.50213384545493 0.996731136788525
"204" "AB" 2 1 56 21 0.630611673265862 1.01705328865096
"205" "AB" 2 1 56 21 0.795774715459477 1.0431781732533
"206" "AB" 2 1 56 21 0.99945325388133 1.07147767400631
"207" "AB" 2 1 56 21 1.26122334653172 1.10784853070764
"208" "AB" 2 1 56 21 1.55900224505666 1.1184222604139
"209" "AB" 2 1 56 21 1.99890650776266 1.13404267137494
"210" "AB" 2 1 56 21 3.11800449011332 1.23086165899358
"211" "AB" 2 1 56 22 0.316797914224418 0.917747102221591
"212" "AB" 2 1 56 22 0.397887357729738 0.951313390841364
"213" "AB" 2 1 56 22 0.50213384545493 0.994465341863841
"214" "AB" 2 1 56 22 0.630611673265862 1.01643453413341
"215" "AB" 2 1 56 22 0.795774715459477 1.04467675064347
"216" "AB" 2 1 56 22 0.99945325388133 1.0803403416764
"217" "AB" 2 1 56 22 1.26122334653172 1.12617561524655
"218" "AB" 2 1 56 22 1.55900224505666 1.13524181878525
"219" "AB" 2 1 56 22 1.99890650776266 1.14863518414119
"220" "AB" 2 1 56 22 3.11800449011332 1.19322042617428
"221" "AB" 2 1 56 23 0.316797914224418 0.936291511821388
"222" "AB" 2 1 56 23 0.397887357729738 0.931391919633325
"223" "AB" 2 1 56 23 0.50213384545493 0.925093130853773
"224" "AB" 2 1 56 23 0.630611673265862 0.96021297042482
"225" "AB" 2 1 56 23 0.795774715459477 1.00536083479751
"226" "AB" 2 1 56 23 0.99945325388133 1.03262695633033
"227" "AB" 2 1 56 23 1.26122334653172 1.06766970170333
"228" "AB" 2 1 56 23 1.55900224505666 1.09073058074075
"229" "AB" 2 1 56 23 1.99890650776266 1.12479806853306
"230" "AB" 2 1 56 23 3.11800449011332 1.19684962741601
"231" "AB" 2 1 56 24 0.316797914224418 0.938774840810516
"232" "AB" 2 1 56 24 0.397887357729738 0.967523457241024
"233" "AB" 2 1 56 24 0.50213384545493 1.00448193371204
"234" "AB" 2 1 56 24 0.630611673265862 1.03496856294312
"235" "AB" 2 1 56 24 0.795774715459477 1.07416026252138
"236" "AB" 2 1 56 24 0.99945325388133 1.10694226454052
"237" "AB" 2 1 56 24 1.26122334653172 1.14907408545943
"238" "AB" 2 1 56 24 1.55900224505666 1.16159191513557
"239" "AB" 2 1 56 24 1.99890650776266 1.18008431557642
"240" "AB" 2 1 56 24 3.11800449011332 1.24432296780679
"241" "AB" 2 1 56 25 0.316797914224418 0.909389447203025
"242" "AB" 2 1 56 25 0.397887357729738 0.930551485048057
"243" "AB" 2 1 56 25 0.50213384545493 0.957756852640787
"244" "AB" 2 1 56 25 0.630611673265862 0.974651221130137
"245" "AB" 2 1 56 25 0.795774715459477 0.996369562288171
"246" "AB" 2 1 56 25 0.99945325388133 1.04784550401063
"247" "AB" 2 1 56 25 1.26122334653172 1.11400299973089
"248" "AB" 2 1 56 25 1.55900224505666 1.12242032811548
"249" "AB" 2 1 56 25 1.99890650776266 1.13485512002087
"250" "AB" 2 1 56 25 3.11800449011332 1.23941885063961
"251" "AB" 2 1 56 26 0.316797914224418 0.936782202486721
"252" "AB" 2 1 56 26 0.397887357729738 0.950610138560023
"253" "AB" 2 1 56 26 0.50213384545493 0.968386974925111
"254" "AB" 2 1 56 26 0.630611673265862 0.998916189855749
"255" "AB" 2 1 56 26 0.795774715459477 1.03816263494001
"256" "AB" 2 1 56 26 0.99945325388133 1.0638045057656
"257" "AB" 2 1 56 26 1.26122334653172 1.09675974471102
"258" "AB" 2 1 56 26 1.55900224505666 1.12524436157434
"259" "AB" 2 1 56 26 1.99890650776266 1.16732425521956
"260" "AB" 2 1 56 26 3.11800449011332 1.19633190052196
"261" "AB" 2 1 56 27 0.316797914224418 0.94179274069961
"262" "AB" 2 1 56 27 0.397887357729738 0.964074137704215
"263" "AB" 2 1 56 27 0.50213384545493 0.992718524432413
"264" "AB" 2 1 56 27 0.630611673265862 1.01769868311456
"265" "AB" 2 1 56 27 0.795774715459477 1.04981160931139
"266" "AB" 2 1 56 27 0.99945325388133 1.07528454599149
"267" "AB" 2 1 56 27 1.26122334653172 1.10802266875342
"268" "AB" 2 1 56 27 1.55900224505666 1.11747817554723
"269" "AB" 2 1 56 27 1.99890650776266 1.13144665271351
"270" "AB" 2 1 56 27 3.11800449011332 1.22915065506778
"271" "AB" 2 1 56 28 0.316797914224418 0.921710063617801
"272" "AB" 2 1 56 28 0.397887357729738 0.944488073460183
"273" "AB" 2 1 56 28 0.50213384545493 0.973770892786503
"274" "AB" 2 1 56 28 0.630611673265862 1.00578607922144
"275" "AB" 2 1 56 28 0.795774715459477 1.04694279612804
"276" "AB" 2 1 56 28 0.99945325388133 1.08795666464226
"277" "AB" 2 1 56 28 1.26122334653172 1.14066817879641
"278" "AB" 2 1 56 28 1.55900224505666 1.15154149871841
"279" "AB" 2 1 56 28 1.99890650776266 1.16760448977368
"280" "AB" 2 1 56 28 3.11800449011332 1.20799024538833
"281" "AB" 2 1 56 29 0.316797914224418 0.925527952611194
"282" "AB" 2 1 56 29 0.397887357729738 0.947751880237554
"283" "AB" 2 1 56 29 0.50213384545493 0.976322385821982
"284" "AB" 2 1 56 29 0.630611673265862 1.00216290708791
"285" "AB" 2 1 56 29 0.795774715459477 1.03538186149326
"286" "AB" 2 1 56 29 0.99945325388133 1.06304528184303
"287" "AB" 2 1 56 29 1.26122334653172 1.09859864040546
"288" "AB" 2 1 56 29 1.55900224505666 1.11652920857997
"289" "AB" 2 1 56 29 1.99890650776266 1.14301776573354
"290" "AB" 2 1 56 29 3.11800449011332 1.22547575546234
"291" "AB" 2 1 56 30 0.316797914224418 0.951932709516819
"292" "AB" 2 1 56 30 0.397887357729738 0.956151667160301
"293" "AB" 2 1 56 30 0.50213384545493 0.961575449803051
"294" "AB" 2 1 56 30 0.630611673265862 0.993401356224039
"295" "AB" 2 1 56 30 0.795774715459477 1.03431474660915
"296" "AB" 2 1 56 30 0.99945325388133 1.07839496191018
"297" "AB" 2 1 56 30 1.26122334653172 1.13504738161432
"298" "AB" 2 1 56 30 1.55900224505666 1.14086684777077
"299" "AB" 2 1 56 30 1.99890650776266 1.14946385710076
"300" "AB" 2 1 56 30 3.11800449011332 1.19798044360069
"301" "AB" 2 1 112 1 0.316797914224418 0.884384599884585
"302" "AB" 2 1 112 1 0.397887357729738 0.924977803948282
"303" "AB" 2 1 112 1 0.50213384545493 0.97716337541388
"304" "AB" 2 1 112 1 0.630611673265862 1.02799928390527
"305" "AB" 2 1 112 1 0.795774715459477 1.09335074136818
"306" "AB" 2 1 112 1 0.99945325388133 1.1166887787496
"307" "AB" 2 1 112 1 1.26122334653172 1.14668310340918
"308" "AB" 2 1 112 1 1.55900224505666 1.18406089157315
"309" "AB" 2 1 112 1 1.99890650776266 1.23927853266627
"310" "AB" 2 1 112 1 3.11800449011332 1.09081279287146
"311" "AB" 2 1 112 2 0.316797914224418 0.882262738006361
"312" "AB" 2 1 112 2 0.397887357729738 0.936144040635037
"313" "AB" 2 1 112 2 0.50213384545493 1.005412447351
"314" "AB" 2 1 112 2 0.630611673265862 1.04987267688138
"315" "AB" 2 1 112 2 0.795774715459477 1.10702796111199
"316" "AB" 2 1 112 2 0.99945325388133 1.1318431572094
"317" "AB" 2 1 112 2 1.26122334653172 1.16373594391087
"318" "AB" 2 1 112 2 1.55900224505666 1.19859085037489
"319" "AB" 2 1 112 2 1.99890650776266 1.25008147649276
"320" "AB" 2 1 112 2 3.11800449011332 1.09733979001102
"321" "AB" 2 1 112 3 0.316797914224418 0.847385614056652
"322" "AB" 2 1 112 3 0.397887357729738 0.884996116283187
"323" "AB" 2 1 112 3 0.50213384545493 0.93334720354203
"324" "AB" 2 1 112 3 0.630611673265862 0.990074727018784
"325" "AB" 2 1 112 3 0.795774715459477 1.063000075409
"326" "AB" 2 1 112 3 0.99945325388133 1.09923291807547
"327" "AB" 2 1 112 3 1.26122334653172 1.14579980065073
"328" "AB" 2 1 112 3 1.55900224505666 1.18961894181827
"329" "AB" 2 1 112 3 1.99890650776266 1.25435229627421
"330" "AB" 2 1 112 3 3.11800449011332 1.11220893367048
"331" "AB" 2 1 112 4 0.316797914224418 0.828216092078
"332" "AB" 2 1 112 4 0.397887357729738 0.919945860914071
"333" "AB" 2 1 112 4 0.50213384545493 1.03787127521756
"334" "AB" 2 1 112 4 0.630611673265862 1.0563042531194
"335" "AB" 2 1 112 4 0.795774715459477 1.08000053409509
"336" "AB" 2 1 112 4 0.99945325388133 1.10625522578154
"337" "AB" 2 1 112 4 1.26122334653172 1.13999806942389
"338" "AB" 2 1 112 4 1.55900224505666 1.16920533699829
"339" "AB" 2 1 112 4 1.99890650776266 1.21235279160846
"340" "AB" 2 1 112 4 3.11800449011332 1.11276752539448
"341" "AB" 2 1 112 5 0.316797914224418 0.900183388740777
"342" "AB" 2 1 112 5 0.397887357729738 0.935113585467621
"343" "AB" 2 1 112 5 0.50213384545493 0.980018941416753
"344" "AB" 2 1 112 5 0.630611673265862 1.02338172051782
"345" "AB" 2 1 112 5 0.795774715459477 1.07912619126683
"346" "AB" 2 1 112 5 0.99945325388133 1.09709894681707
"347" "AB" 2 1 112 5 1.26122334653172 1.12019774712279
"348" "AB" 2 1 112 5 1.55900224505666 1.17879386449342
"349" "AB" 2 1 112 5 1.99890650776266 1.26535702238354
"350" "AB" 2 1 112 5 3.11800449011332 1.13006433729215
"351" "AB" 2 1 112 6 0.316797914224418 0.920974504746863
"352" "AB" 2 1 112 6 0.397887357729738 0.947759379712189
"353" "AB" 2 1 112 6 0.50213384545493 0.982193321031697
"354" "AB" 2 1 112 6 0.630611673265862 1.03670962536463
"355" "AB" 2 1 112 6 0.795774715459477 1.10679236902706
"356" "AB" 2 1 112 6 0.99945325388133 1.17184580531705
"357" "AB" 2 1 112 6 1.26122334653172 1.25545325938071
"358" "AB" 2 1 112 6 1.55900224505666 1.22982082643261
"359" "AB" 2 1 112 6 1.99890650776266 1.19195442094435
"360" "AB" 2 1 112 6 3.11800449011332 1.04928250155163
"361" "AB" 2 1 112 7 0.316797914224418 0.837288932882377
"362" "AB" 2 1 112 7 0.397887357729738 0.896855614728378
"363" "AB" 2 1 112 7 0.50213384545493 0.973432997670736
"364" "AB" 2 1 112 7 0.630611673265862 1.02288046608458
"365" "AB" 2 1 112 7 0.795774715459477 1.08644703201394
"366" "AB" 2 1 112 7 0.99945325388133 1.12416555980847
"367" "AB" 2 1 112 7 1.26122334653172 1.17264186267234
"368" "AB" 2 1 112 7 1.55900224505666 1.19141585586378
"369" "AB" 2 1 112 7 1.99890650776266 1.21915039203757
"370" "AB" 2 1 112 7 3.11800449011332 1.0839452667688
"371" "AB" 2 1 112 8 0.316797914224418 0.854331847343937
"372" "AB" 2 1 112 8 0.397887357729738 0.899853782366547
"373" "AB" 2 1 112 8 0.50213384545493 0.95837560266058
"374" "AB" 2 1 112 8 0.630611673265862 1.01831075787085
"375" "AB" 2 1 112 8 0.795774715459477 1.09535963655707
"376" "AB" 2 1 112 8 0.99945325388133 1.11669291346414
"377" "AB" 2 1 112 8 1.26122334653172 1.14411069599425
"378" "AB" 2 1 112 8 1.55900224505666 1.18515935122986
"379" "AB" 2 1 112 8 1.99890650776266 1.24579990872383
"380" "AB" 2 1 112 8 3.11800449011332 1.10256545978256
"381" "AB" 2 1 112 9 0.316797914224418 0.933629521035535
"382" "AB" 2 1 112 9 0.397887357729738 0.964864905980317
"383" "AB" 2 1 112 9 0.50213384545493 1.0050203076267
"384" "AB" 2 1 112 9 0.630611673265862 1.04709920750122
"385" "AB" 2 1 112 9 0.795774715459477 1.10119320359261
"386" "AB" 2 1 112 9 0.99945325388133 1.10821598725924
"387" "AB" 2 1 112 9 1.26122334653172 1.1172417527882
"388" "AB" 2 1 112 9 1.55900224505666 1.15404699875201
"389" "AB" 2 1 112 9 1.99890650776266 1.20841883191286
"390" "AB" 2 1 112 9 3.11800449011332 1.10233690088398
"391" "AB" 2 1 112 10 0.316797914224418 0.839826951710717
"392" "AB" 2 1 112 10 0.397887357729738 0.907313207327353
"393" "AB" 2 1 112 10 0.50213384545493 0.994071789130881
"394" "AB" 2 1 112 10 0.630611673265862 1.04846841571796
"395" "AB" 2 1 112 10 0.795774715459477 1.11839730917197
"396" "AB" 2 1 112 10 0.99945325388133 1.13505959671353
"397" "AB" 2 1 112 10 1.26122334653172 1.15647416786725
"398" "AB" 2 1 112 10 1.55900224505666 1.21560409878824
"399" "AB" 2 1 112 10 1.99890650776266 1.30295585136205
"400" "AB" 2 1 112 10 3.11800449011332 1.13013526615082
"401" "AB" 2 1 112 11 0.316797914224418 0.817035528397907
"402" "AB" 2 1 112 11 0.397887357729738 0.909645905800815
"403" "AB" 2 1 112 11 0.50213384545493 1.02870340766324
"404" "AB" 2 1 112 11 0.630611673265862 1.02199058697657
"405" "AB" 2 1 112 11 0.795774715459477 1.01336100547444
"406" "AB" 2 1 112 11 0.99945325388133 1.07568536315739
"407" "AB" 2 1 112 11 1.26122334653172 1.15578537276789
"408" "AB" 2 1 112 11 1.55900224505666 1.18846440627505
"409" "AB" 2 1 112 11 1.99890650776266 1.23674064818515
"410" "AB" 2 1 112 11 3.11800449011332 1.07984502682727
"411" "AB" 2 1 112 12 0.316797914224418 0.865829615007746
"412" "AB" 2 1 112 12 0.397887357729738 0.916147444707634
"413" "AB" 2 1 112 12 0.50213384545493 0.980834742947922
"414" "AB" 2 1 112 12 0.630611673265862 1.0260737818717
"415" "AB" 2 1 112 12 0.795774715459477 1.08423025464117
"416" "AB" 2 1 112 12 0.99945325388133 1.11097757940841
"417" "AB" 2 1 112 12 1.26122334653172 1.14535356097585
"418" "AB" 2 1 112 12 1.55900224505666 1.19705714134334
"419" "AB" 2 1 112 12 1.99890650776266 1.27343805857249
"420" "AB" 2 1 112 12 3.11800449011332 1.11009958212961
"421" "AB" 2 1 112 13 0.316797914224418 0.8771750865228
"422" "AB" 2 1 112 13 0.397887357729738 0.898332539100978
"423" "AB" 2 1 112 13 0.50213384545493 0.925532011993436
"424" "AB" 2 1 112 13 0.630611673265862 1.01050644618553
"425" "AB" 2 1 112 13 0.795774715459477 1.11974425242008
"426" "AB" 2 1 112 13 0.99945325388133 1.14009706506218
"427" "AB" 2 1 112 13 1.26122334653172 1.16625474319704
"428" "AB" 2 1 112 13 1.55900224505666 1.17758508316653
"429" "AB" 2 1 112 13 1.99890650776266 1.19432322302525
"430" "AB" 2 1 112 13 3.11800449011332 1.0863751293953
"431" "AB" 2 1 112 14 0.316797914224418 0.845456841996299
"432" "AB" 2 1 112 14 0.397887357729738 0.908043273682792
"433" "AB" 2 1 112 14 0.50213384545493 0.988502768785155
"434" "AB" 2 1 112 14 0.630611673265862 1.04892109778273
