"radius" "number" "durationTest" "speed" "pse"
"1" 2 1 56 3.981 0.848396811594722
"2" 2 1 56 6.31 0.936883222658659
"3" 2 1 56 10 1.00684789768399
"4" 2 1 56 15.849 1.05105104561981
"5" 2 1 56 25.119 1.11835693425933
"6" 2 1 56 39.182 1.13335237618783
"7" 2 1 56 5.01199660813932 0.887567781828015
"8" 2 1 56 7.94415940652074 0.967867892527714
"9" 2 1 56 12.5897930372753 1.02641996209668
"10" 2 1 56 19.9535629847777 1.08085269170043
"11" 2 1 56 31.6243011303319 1.12529356693566
"12" 2 1 112 3.981 0.882788936070579
"13" 2 1 112 6.31 0.95489757325095
"14" 2 1 112 10 0.99950900025056
"15" 2 1 112 15.849 1.05476699836187
"16" 2 1 112 25.119 1.12964916576385
"17" 2 1 112 39.182 1.11617218011211
"18" 2 1 112 5.01199660813932 0.914709829308239
"19" 2 1 112 7.94415940652074 0.974654262429738
"20" 2 1 112 12.5897930372753 1.02397587984749
"21" 2 1 112 19.9535629847777 1.08792326292909
"22" 2 1 112 31.6243011303319 1.12341494475882
"23" 2 2 56 3.981 0.919263293792656
"24" 2 2 56 6.31 0.977110702565823
"25" 2 2 56 10 1.057998352964
"26" 2 2 56 15.849 1.11617351775692
"27" 2 2 56 25.119 1.1332796139072
"28" 2 2 56 39.182 1.16074354184901
"29" 2 2 56 5.01199660813932 0.94487105774061
"30" 2 2 56 7.94415940652074 1.01293273908873
"31" 2 2 56 12.5897930372753 1.08375688206693
"32" 2 2 56 19.9535629847777 1.12374774095784
"33" 2 2 56 31.6243011303319 1.14598395305839
"34" 2 2 112 3.981 0.932723148360742
"35" 2 2 112 6.31 0.98027784317943
"36" 2 2 112 10 1.04185964861075
"37" 2 2 112 15.849 1.09561448625023
"38" 2 2 112 25.119 1.11294532622357
"39" 2 2 112 39.182 1.12183264939373
"40" 2 2 112 5.01199660813932 0.953774556286533
"41" 2 2 112 7.94415940652074 1.00755006177458
"42" 2 2 112 12.5897930372753 1.06566096579977
"43" 2 2 112 19.9535629847777 1.10328822133649
"44" 2 2 112 31.6243011303319 1.11705644856336
"45" 4 1 56 3.981 0.836328149390008
"46" 4 1 56 6.31 0.919657526225201
"47" 4 1 56 10 0.969662541589277
"48" 4 1 56 15.849 0.997920089130253
"49" 4 1 56 25.119 1.02017080906244
"50" 4 1 56 39.182 1.08631764251715
"51" 4 1 56 5.01199660813932 0.873216215029959
"52" 4 1 56 7.94415940652074 0.94180282872667
"53" 4 1 56 12.5897930372753 0.982174287164947
"54" 4 1 56 19.9535629847777 1.00777224462306
"55" 4 1 56 31.6243011303319 1.0507691927957
"56" 4 1 112 3.981 0.903830418776793
"57" 4 1 112 6.31 0.906107997253673
"58" 4 1 112 10 0.933060512588609
"59" 4 1 112 15.849 0.987168317986719
"60" 4 1 112 25.119 1.03533528743858
"61" 4 1 112 39.182 1.08940942683604
"62" 4 1 112 5.01199660813932 0.904838652217941
"63" 4 1 112 7.94415940652074 0.91804423206776
"64" 4 1 112 12.5897930372753 0.95701811520141
"65" 4 1 112 19.9535629847777 1.00849564915188
"66" 4 1 112 31.6243011303319 1.06034905122611
"67" 4 2 56 3.981 0.873560217908616
"68" 4 2 56 6.31 0.940940546335083
"69" 4 2 56 10 1.00709526656171
"70" 4 2 56 15.849 1.04702695693191
"71" 4 2 56 25.119 1.08231840471261
"72" 4 2 56 39.182 1.10927769641223
"73" 4 2 56 5.01199660813932 0.903387993805138
"74" 4 2 56 7.94415940652074 0.970237933420202
"75" 4 2 56 12.5897930372753 1.02477603484473
"76" 4 2 56 19.9535629847777 1.06265327518864
"77" 4 2 56 31.6243011303319 1.09478930784612
"78" 4 2 112 3.981 0.911898187469279
"79" 4 2 112 6.31 0.944331250719319
"80" 4 2 112 10 0.97481002284114
"81" 4 2 112 15.849 1.02925181708893
"82" 4 2 112 25.119 1.06222105901353
"83" 4 2 112 39.182 1.09868275140806
"84" 4 2 112 5.01199660813932 0.926255584722331
"85" 4 2 112 7.94415940652074 0.957829129354028
"86" 4 2 112 12.5897930372753 0.998915507484618
"87" 4 2 112 19.9535629847777 1.04384991094437
"88" 4 2 112 31.6243011303319 1.07908760873606
