"subject" "speedMatch" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 5.1927872837084 2 56 0.0200664365694185 0.152662950947973 1
"2" "AB" 7.36779560647782 2 56 0.0217477539315664 0.119831157047076 1
"3" "AB" 7.54338467319236 4 56 0.0364519154993924 0.157742980620067 1
"4" "AB" 9.28422893381118 4 56 0.0539249257867875 0.178093624160174 1
"5" "AB" 9.28422893381118 4 112 0.00719289473648998 0.146534064042017 1
"6" "AB" 10.6411956689465 4 56 0.0501325001070829 0.169343491918815 1
"7" "AB" 10.6411956689465 4 112 0.00447211587846555 0.131710694971691 1
"8" "AB" 11.42507822732 2 56 0.0158640620304684 0.121448310475491 1
"9" "AB" 11.42507822732 2 112 -0.13542584926234 -0.00696493997237346 1
"10" "AB" 13.0706377281482 2 56 0.0133247834401006 0.131658785598095 1
"11" "AB" 13.0706377281482 2 112 -0.138862368129783 -0.00870392501904334 1
"12" "AB" 13.2218567334743 4 56 0.0137258868478003 0.124547387680694 1
"13" "AB" 15.2255952017002 4 56 0.00684038450577374 0.1279849458905 1
"14" "AB" 15.4435040064337 2 56 0.0291275640772804 0.14319154056733 1
"15" "AB" 21.983668118443 2 56 0.0101331733097999 0.135220596017167 1
"16" "AB" 24.2081940952454 4 56 0.000475118951575604 0.124469385077503 1
"17" "AB" 25.1740189959826 2 56 0.0272258468869423 0.156375073463883 1
"18" "AB" 35.4227991719645 2 56 0.0277866377950849 0.153535234953624 1
"19" "AB" 35.4227991719645 2 112 -0.203898689720228 -0.0444624053097119 1
"20" "AD" 9.41942172137319 2 112 0.0136529923729117 0.324598537405967 1
"21" "AD" 9.83001827909247 2 112 0.00828346131922839 0.28147398118269 1
"22" "AD" 10.9441230559268 4 112 0.0528091823879859 0.254528787537871 1
"23" "AD" 11.7287285173508 2 56 0.00875537673201708 0.143224044176146 1
"24" "AD" 12.5850580011662 4 112 0.0297414861311637 0.218131435123008 1
"25" "AD" 14.7304958999504 4 112 0.00868045218787097 0.182222278727205 1
"26" "AD" 18.5854147142509 2 112 0.0176190839808444 0.139338364241237 1
"27" "AD" 19.0310357475796 2 112 0.0197954410811024 0.144622147508054 1
"28" "AD" 21.7042552225016 4 112 0.0286211501281925 0.175190381871253 1
"29" "AD" 21.9397672931848 4 112 0.0269700262617617 0.174849186730883 1
"30" "AD" 48.726871185387 2 112 0.0303281317171682 0.193752966176457 1
"31" "FE" 6.03873573726337 2 112 -0.175360424967281 -0.00681533976396761 1
"32" "FE" 8.00086154871768 4 56 -0.234313250396136 -0.0339187974539305 1
"33" "FE" 8.62894005884073 2 56 -0.178054104578458 -0.00437209767282981 1
"34" "FE" 10.9924287796544 4 56 -0.216109145252249 -0.0112073426780991 1
"35" "FE" 11.3756102478905 4 56 -0.213273758697756 -0.00304308038118598 1
"36" "FE" 19.821424767496 2 56 0.00715418906416824 0.219218231403207 1
"37" "FE" 29.0197851515178 4 56 0.00146246451965753 0.154650409619214 1
"38" "FE" 39.4570205743145 2 56 0.0330631791054625 0.172664454183186 1
"39" "FE" 39.4570205743145 2 112 0.022273852310641 0.178598322848422 1
"40" "FE" 39.9943359200526 4 112 0.0142990287831916 0.136602373375574 1
"41" "MA" 6.49136095865141 2 56 0.00037200713010876 0.173024955770734 1
"42" "MA" 12.0594885349691 2 56 0.024395862907756 0.213728793925842 1
"43" "MA" 12.0594885349691 2 112 0.00779344869120097 0.130411144223289 1
"44" "MA" 14.6431857206676 2 56 0.0198475056485636 0.206443084432819 1
"45" "MA" 27.2285284872824 2 56 -0.235516900560877 -0.00823843819218679 1
"46" "MA" 31.1668224818146 2 56 -0.225516829000065 -0.00879745215287586 1
"47" "MC" 5.69647348576017 2 56 0.0476920203556366 0.296779885518267 1
"48" "MC" 5.69647348576017 2 112 0.00638962324778676 0.15907321483609 1
"49" "MC" 8.02629013448469 4 56 0.0285999452479352 0.236411902139372 1
"50" "MC" 8.14991363647719 4 56 0.0307752052937042 0.239910365848234 1
"51" "MC" 8.78962527343434 2 56 0.160959612418353 0.392443417453671 1
"52" "MC" 8.95285532412459 2 56 0.159412085690635 0.39500721046293 1
"53" "MC" 10.4833093453556 4 56 0.147910029579506 0.277934698041657 1
"54" "MC" 12.452797065191 4 56 0.101623662224683 0.242760835033035 1
"55" "MC" 12.452797065191 4 112 0.0136471463369986 0.129853316291916 1
"56" "MC" 12.9294821194041 2 56 0.0384362894432525 0.23777695298165 1
"57" "MC" 12.9294821194041 2 112 0.0199306934862235 0.160426241881078 1
"58" "MC" 13.5077616914474 2 56 0.0471904083365479 0.238703659081602 1
"59" "MC" 13.5077616914474 2 112 0.0248204832032516 0.164671122620567 1
"60" "MC" 16.3917406893154 4 56 0.0407031570534606 0.164867161996656 1
"61" "MC" 16.3917406893154 4 112 0.00810079076327987 0.137500452642912 1
"62" "MC" 16.5594764468921 4 56 0.0365046195410905 0.162493576691636 1
"63" "MC" 16.5594764468921 4 112 0.00749088189903862 0.138467310265833 1
"64" "MC" 22.2002837818154 2 112 0.00597963932272824 0.117255021197196 1
"65" "MC" 27.0575110634895 4 56 0.00149899983991132 0.183493533395136 1
"66" "MC" 40.4482036315304 2 112 -0.101084025927327 -0.00227076626790083 1
"67" "MP" 22.3557817221364 2 112 -0.139609626072714 -0.00240608860347466 1
"68" "SY" 10.6128418682457 2 56 -0.281767264312078 -0.0246707759778943 1
"69" "SY" 10.7896091999187 2 56 -0.28539805103006 -0.0247582075284299 1
