"speed" "radius" "number" "durationTest" "pse" "psemin" "psemax" "subject" "freq" "tf" "angle"
"1" 10 2 1 112 0.99950900025056 0.974740323989439 1.02018324504671 "ALL" 0.795774715459477 0.795774715459477 1.48544613552436
"2" 10 2 1 56 1.00684789768399 0.979322402006301 1.02845979394667 "ALL" 0.795774715459477 0.795774715459477 0.742723067762178
"3" 10 2 2 112 1.04185964861075 1.02211263777532 1.06213451274529 "ALL" 0.795774715459477 1.59154943091895 1.48544613552436
"4" 10 2 2 56 1.057998352964 1.03433216326281 1.08216771642113 "ALL" 0.795774715459477 1.59154943091895 0.742723067762178
"5" 10 4 1 112 0.933060512588609 0.903413912742762 0.955684313472892 "ALL" 0.397887357729738 0.397887357729738 0.742723067762178
"6" 10 4 1 56 0.969662541589277 0.942184871701604 0.994780254897555 "ALL" 0.397887357729738 0.397887357729738 0.371361533881089
"7" 10 4 2 112 0.97481002284114 0.952062397645718 0.993915608274405 "ALL" 0.397887357729738 0.795774715459477 0.742723067762178
"8" 10 4 2 56 1.00709526656171 0.982145650269422 1.02735521976314 "ALL" 0.397887357729738 0.795774715459477 0.371361533881089
"9" 15.849 2 1 112 1.05476699836187 1.03531738294952 1.07428360632423 "ALL" 1.26122334653172 1.26122334653172 2.35428358019255
"10" 15.849 2 1 56 1.05105104561981 1.02902192562688 1.07218802738349 "ALL" 1.26122334653172 1.26122334653172 1.17714179009628
"11" 15.849 2 2 112 1.09561448625023 1.07398583295552 1.118299433283 "ALL" 1.26122334653172 2.52244669306345 2.35428358019255
"12" 15.849 2 2 56 1.11617351775692 1.09228240609029 1.14259909452665 "ALL" 1.26122334653172 2.52244669306345 1.17714179009628
"13" 15.849 4 1 112 0.987168317986719 0.960470076675511 1.0082173473117 "ALL" 0.630611673265862 0.630611673265862 1.17714179009628
"14" 15.849 4 1 56 0.997920089130253 0.973717946104884 1.02067316760974 "ALL" 0.630611673265862 0.630611673265862 0.588570895048138
"15" 15.849 4 2 112 1.02925181708893 1.0078150631611 1.04712648573806 "ALL" 0.630611673265862 1.26122334653172 1.17714179009628
"16" 15.849 4 2 56 1.04702695693191 1.02434210327161 1.06685282146416 "ALL" 0.630611673265862 1.26122334653172 0.588570895048138
"17" 25.119 2 1 112 1.12964916576385 1.10863083010903 1.15397620042385 "ALL" 1.99890650776266 1.99890650776266 3.73129214782363
"18" 25.119 2 1 56 1.11835693425933 1.09715694165017 1.14463889750564 "ALL" 1.99890650776266 1.99890650776266 1.86564607391182
"19" 25.119 2 2 112 1.11294532622357 1.09269774742008 1.13469048227805 "ALL" 1.99890650776266 3.99781301552532 3.73129214782363
"20" 25.119 2 2 56 1.1332796139072 1.11131427570107 1.15884531903877 "ALL" 1.99890650776266 3.99781301552532 1.86564607391182
"21" 25.119 4 1 112 1.03533528743858 1.01414336503793 1.05539159981244 "ALL" 0.99945325388133 0.99945325388133 1.86564607391182
"22" 25.119 4 1 56 1.02017080906244 0.997945186917238 1.04282913980573 "ALL" 0.99945325388133 0.99945325388133 0.932823036955908
"23" 25.119 4 2 112 1.06222105901353 1.04243896562401 1.08470938667749 "ALL" 0.99945325388133 1.99890650776266 1.86564607391182
"24" 25.119 4 2 56 1.08231840471261 1.06181891193564 1.10192598131599 "ALL" 0.99945325388133 1.99890650776266 0.932823036955908
"25" 3.981 2 1 112 0.882788936070579 0.815028421677186 0.915527224086739 "ALL" 0.316797914224418 0.316797914224418 0.591356106552246
"26" 3.981 2 1 56 0.848396811594722 0.803997688638312 0.878830506566977 "ALL" 0.316797914224418 0.316797914224418 0.295678053276123
"27" 3.981 2 2 112 0.932723148360742 0.90405715534915 0.954729939031166 "ALL" 0.316797914224418 0.633595828448835 0.591356106552246
"28" 3.981 2 2 56 0.919263293792656 0.881973071329145 0.947226061077778 "ALL" 0.316797914224418 0.633595828448835 0.295678053276123
"29" 3.981 4 1 112 0.903830418776793 0.871004606438781 0.92789084410019 "ALL" 0.158398957112209 0.158398957112209 0.295678053276123
"30" 3.981 4 1 56 0.836328149390008 0.779300245664054 0.866371653111914 "ALL" 0.158398957112209 0.158398957112209 0.147839026638062
"31" 3.981 4 2 112 0.911898187469279 0.864064837666815 0.938764618645118 "ALL" 0.158398957112209 0.316797914224418 0.295678053276123
"32" 3.981 4 2 56 0.873560217908616 0.828814768328837 0.904017565638899 "ALL" 0.158398957112209 0.316797914224418 0.147839026638062
"33" 39.182 2 1 112 1.11617218011211 1.09370991664045 1.14148139196982 "ALL" 3.11800449011332 3.11800449011332 5.82027504821153
"34" 39.182 2 1 56 1.13335237618783 1.11291038890436 1.15580948393047 "ALL" 3.11800449011332 3.11800449011332 2.91013752410577
"35" 39.182 2 2 112 1.12183264939373 1.09769009805425 1.14716503411296 "ALL" 3.11800449011332 6.23600898022664 5.82027504821153
"36" 39.182 2 2 56 1.16074354184901 1.13831260066726 1.18510734686877 "ALL" 3.11800449011332 6.23600898022664 2.91013752410577
"37" 39.182 4 1 112 1.08940942683604 1.06653297381371 1.11059902548133 "ALL" 1.55900224505666 1.55900224505666 2.91013752410577
"38" 39.182 4 1 56 1.08631764251715 1.06408787564289 1.10835673771473 "ALL" 1.55900224505666 1.55900224505666 1.45506876205288
"39" 39.182 4 2 112 1.09868275140806 1.07495996328685 1.11946745480363 "ALL" 1.55900224505666 3.11800449011332 2.91013752410577
"40" 39.182 4 2 56 1.10927769641223 1.08727368314173 1.13263656147801 "ALL" 1.55900224505666 3.11800449011332 1.45506876205288
"41" 6.31 2 1 112 0.95489757325095 0.921708097678121 0.978745311344355 "ALL" 0.50213384545493 0.50213384545493 0.937316511515869
"42" 6.31 2 1 56 0.936883222658659 0.908563815221187 0.961499353399618 "ALL" 0.50213384545493 0.50213384545493 0.468658255757934
