"subject" "freq" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" "AB" 0.99945325388133 2 56 -0.127620320160024 -0.00891532921476179 1
"2" "AB" 1.26122334653172 2 56 -0.143062671329647 -0.0258067441220415 1
"3" "AB" 1.55900224505666 2 56 -0.137966224508167 -0.0115365364769527 1
"4" "FE" 0.316797914224418 1 56 0.0931783832137542 0.446511473723065 1
"5" "FE" 0.316797914224418 2 56 0.0175035556336187 0.265155732640359 1
"6" "FE" 0.397887357729738 1 56 0.0713243494043727 0.327341217793784 1
"7" "FE" 0.397887357729738 1 112 0.0369451117084425 0.347631518738733 1
"8" "FE" 0.397887357729738 2 56 0.05691342174845 0.229217942710076 1
"9" "FE" 0.50213384545493 2 56 0.0345266810546824 0.190926609901966 1
"10" "FE" 0.50213384545493 2 112 0.018923889343123 0.167828553337424 1
"11" "FE" 0.630611673265862 2 112 0.0406806992403277 0.175142960044175 1
"12" "FE" 0.99945325388133 1 112 0.0233992281689399 0.154626435352618 1
"13" "FE" 1.26122334653172 1 112 0.00458582960687357 0.11490995696791 1
"14" "FE" 1.55900224505666 2 56 -0.162703290155293 -0.00568259097601229 1
"15" "FE" 1.55900224505666 2 112 0.00756992528697744 0.148214796369518 1
"16" "MC" 0.316797914224418 1 56 0.0349037567889208 0.270667854142786 1
"17" "MC" 0.316797914224418 1 112 0.00845677657445575 0.161453655527526 1
"18" "MC" 0.397887357729738 1 56 0.0707094601112353 0.282443345913555 1
"19" "MC" 0.397887357729738 2 56 0.017256185633298 0.203943813995923 1
"20" "MC" 0.50213384545493 1 56 0.0753477505062555 0.309680921961364 1
"21" "MC" 0.630611673265862 1 56 0.0650335878172764 0.255058060549488 1
"22" "MC" 0.630611673265862 2 56 0.0259861132983857 0.14626684107835 1
"23" "MP" 0.316797914224418 1 112 -0.112818714621754 -0.00272544746232409 1
"24" "SY" 0.316797914224418 1 56 0.00163002885360399 0.304646232442456 1
"25" "SY" 0.316797914224418 2 56 0.0988822921889779 0.319501906284378 1
"26" "SY" 0.316797914224418 2 112 0.0410866037820848 0.236927310995225 1
"27" "SY" 0.397887357729738 1 56 0.070639206585824 0.304685143536834 1
"28" "SY" 0.397887357729738 2 56 0.136197029081058 0.340862520546964 1
"29" "SY" 0.397887357729738 2 112 0.00170425591121178 0.179781331757072 1
"30" "SY" 0.50213384545493 2 56 0.106392020435258 0.348367891669148 1
"31" "SY" 0.630611673265862 2 56 0.0394211208204856 0.24370086228942 1
