"subject" "radius" "number" "durationTest" "freqMatch" "pse"
"1" "AB" 2 1 56 0.390873696820565 0.9835635659155
"2" "AB" 2 1 56 0.693418867932734 1.04642178062931
"3" "AB" 2 1 56 1.16626981611397 1.11841350029175
"4" "AB" 2 1 56 1.87923786212321 1.1451402584577
"5" "AB" 2 1 56 2.68819625032426 1.21127103956332
"6" "AB" 2 1 56 0.319206506705091 0.957553286617916
"7" "AB" 2 1 56 0.492543642537615 1.00535118311315
"8" "AB" 2 1 56 0.701441285328431 1.04806203006931
"9" "AB" 2 1 56 1.28428458452878 1.12448351152796
"10" "AB" 2 1 56 1.73622821626358 1.14017497097331
"11" "AB" 2 1 112 0.390873696820565 0.972942837974929
"12" "AB" 2 1 112 0.693418867932734 1.08434594705284
"13" "AB" 2 1 112 1.16626981611397 1.15376374267964
"14" "AB" 2 1 112 1.87923786212321 1.23825688076535
"15" "AB" 2 1 112 2.68819625032426 1.10895538133506
"16" "AB" 2 1 112 0.319206506705091 0.917002344353376
"17" "AB" 2 1 112 0.492543642537615 1.01214473334105
"18" "AB" 2 1 112 0.701441285328431 1.08722946975571
"19" "AB" 2 1 112 1.28428458452878 1.16796217322875
"20" "AB" 2 1 112 1.73622821626358 1.22136005607474
"21" "AB" 2 2 56 0.606119225029857 1.10019464802753
"22" "AB" 2 2 56 0.819303333761138 1.15385713514425
"23" "AB" 2 2 56 1.33552318689997 1.21171554082415
"24" "AB" 2 2 56 2.33777721492897 1.24577915127737
"25" "AB" 2 2 56 3.1001833127749 1.20424328685238
"26" "AB" 2 2 56 0.400188986127402 1.05608135970534
"27" "AB" 2 2 56 0.564532963706969 1.09128625873145
"28" "AB" 2 2 56 0.807742912622275 1.15093398662275
"29" "AB" 2 2 56 1.10343337202688 1.18599488413939
"30" "AB" 2 2 56 1.73795491847492 1.22588640381999
"31" "AB" 2 2 112 0.606119225029857 0.992204553992611
"32" "AB" 2 2 112 0.819303333761138 1.0651194569172
"33" "AB" 2 2 112 1.33552318689997 1.13048798253169
"34" "AB" 2 2 112 2.33777721492897 1.1191180168704
"35" "AB" 2 2 112 3.1001833127749 1.07215702583054
"36" "AB" 2 2 112 0.400188986127402 0.949696254929265
"37" "AB" 2 2 112 0.564532963706969 0.983620281752354
"38" "AB" 2 2 112 0.807742912622275 1.06111784729008
"39" "AB" 2 2 112 1.10343337202688 1.10155424304655
"40" "AB" 2 2 112 1.73795491847492 1.12679606267242
"41" "AB" 4 1 56 0.262497554083628 0.946314285422279
"42" "AB" 4 1 56 0.390873696820565 0.966330289271588
"43" "AB" 4 1 56 0.693418867932734 1.01706240041351
"44" "AB" 4 1 56 1.16626981611397 1.05357810378335
"45" "AB" 4 1 56 0.319206506705091 0.968260112538443
"46" "AB" 4 1 56 0.492543642537615 0.960806849848735
"47" "AB" 4 1 56 0.701441285328431 1.0193556147092
"48" "AB" 4 1 56 1.28428458452878 1.06161573582737
"49" "AB" 4 1 56 1.73622821626358 1.10787832032611
"50" "AB" 4 1 112 0.262497554083628 0.835501765086622
"51" "AB" 4 1 112 0.390873696820565 0.871588674052713
"52" "AB" 4 1 112 0.693418867932734 1.0120778807081
"53" "AB" 4 1 112 1.16626981611397 1.09924355640652
"54" "AB" 4 1 112 0.319206506705091 0.862170257151669
"55" "AB" 4 1 112 0.492543642537615 0.882669514381686
"56" "AB" 4 1 112 0.701441285328431 1.01732056490873
"57" "AB" 4 1 112 1.28428458452878 1.1185787345028
"58" "AB" 4 1 112 1.73622821626358 1.13261555252419
"59" "AB" 4 2 56 0.606119225029857 1.09102646951573
"60" "AB" 4 2 56 0.819303333761138 1.09621156716865
"61" "AB" 4 2 56 1.33552318689997 1.12665567232276
"62" "AB" 4 2 56 0.400188986127402 1.05296953610144
"63" "AB" 4 2 56 0.564532963706969 1.08909117812926
"64" "AB" 4 2 56 0.807742912622275 1.09593039277498
"65" "AB" 4 2 56 1.10343337202688 1.11206395878176
"66" "AB" 4 2 56 1.73795491847492 1.15207586834532
"67" "AB" 4 2 112 0.606119225029857 1.00599603390395
"68" "AB" 4 2 112 0.819303333761138 1.05180997087534
"69" "AB" 4 2 112 1.33552318689997 1.09169604136786
"70" "AB" 4 2 112 0.400188986127402 0.904281455652995
"71" "AB" 4 2 112 0.564532963706969 0.995071915003669
"72" "AB" 4 2 112 0.807742912622275 1.04932559993151
"73" "AB" 4 2 112 1.10343337202688 1.08654297087335
"74" "AB" 4 2 112 1.73795491847492 1.09892459542861
"75" "FE" 2 1 56 0.320364880870382 0.948602690285582
"76" "FE" 2 1 56 0.498755452528444 1.02863308781416
"77" "FE" 2 1 56 0.91716794038165 1.09392890133664
"78" "FE" 2 1 56 1.2812022078712 1.09196941296711
"79" "FE" 2 1 56 2.09325995469359 1.01442811387924
