"tf" "number" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" 0.316797914224418 1 56 0.0654890210843643 0.133109894643555 1
"2" 0.397887357729738 1 56 0.0424424663800955 0.113746721381341 1
"3" 0.50213384545493 1 56 0.0184272469890955 0.0863916856770098 1
"4" 0.630611673265862 1 56 0.000872883703357871 0.0660072607716846 1
"5" 0.633595828448835 1 56 0.000511899869926366 0.065700728534505 1
"6" 0.633595828448835 2 56 0.0348741146218974 0.0867725754244152 1
"7" 0.633595828448835 2 112 0.00259966633108312 0.0593295461494656 1
"8" 0.795774715459477 2 56 0.0294290396708029 0.0981123742357386 1
"9" 0.795774715459477 2 112 0.00293915991611527 0.0579461370353137 1
"10" 0.99945325388133 2 56 0.0214556020688461 0.0754990250301446 1
"11" 1.00426769090986 2 56 0.0212125020464016 0.0754326022225762 1
"12" 1.26122334653172 2 56 0.000250776460533769 0.0589109075689461 1
