"speed" "radius" "durationTest" "psesamplemin" "psesamplemax" "signi"
"1" 3.981 2 56 0.0493164532966571 0.0942520473629037 1
"2" 3.981 2 112 0.0152567123516285 0.111128047545353 1
"3" 5.01199660813932 2 56 0.0368062289201417 0.0849467777637827 1
"4" 5.01199660813932 2 112 0.0202488729483535 0.0744789522721731 1
"5" 5.01199660813932 4 56 0.00123079556981424 0.0644730553281736 1
"6" 6.31 2 56 0.0127592216966592 0.0855787648966864 1
"7" 6.31 2 112 0.00524228632275229 0.0615150053821952 1
"8" 6.31 4 112 0.00346967644348027 0.0759651939583663 1
"9" 7.94415940652074 2 56 0.0269046206380388 0.0771264420589354 1
"10" 7.94415940652074 2 112 0.0154912347874601 0.0568426675247467 1
"11" 7.94415940652074 4 56 0.00542027781897715 0.0610294292500122 1
"12" 7.94415940652074 4 112 0.0172978116936334 0.0674044554802586 1
"13" 10 2 56 0.0309439223127095 0.0959930062324338 1
"14" 10 2 112 0.0211939271102177 0.0800584191559325 1
"15" 10 4 56 0.0107000718213749 0.0750275521650865 1
"16" 10 4 112 0.0154990770171039 0.0650642830393587 1
"17" 12.5897930372753 2 56 0.037525478595893 0.0852770893233935 1
"18" 12.5897930372753 2 112 0.0259941584199887 0.0662291979514256 1
"19" 12.5897930372753 4 56 0.0281960931894182 0.0672071328484544 1
"20" 12.5897930372753 4 112 0.025345125264035 0.0634435153247332 1
"21" 15.849 2 56 0.0419653481021749 0.110546498454375 1
"22" 15.849 2 112 0.0115706064698443 0.0634974522905182 1
"23" 15.849 4 56 0.0222585564873898 0.0767793810872371 1
"24" 15.849 4 112 0.0208938248242803 0.0792442083618792 1
"25" 19.9535629847777 2 56 0.0242515248413294 0.0716798006217067 1
"26" 19.9535629847777 4 56 0.0403579231948148 0.0713497031147885 1
"27" 19.9535629847777 4 112 0.0194289160982535 0.0587010805986489 1
"28" 25.119 4 56 0.0327768761336817 0.0923212571781307 1
"29" 25.119 4 112 0.00774316105170194 0.0468894924807923 1
"30" 31.6243011303319 2 56 0.00444791221255103 0.0443987371376074 1
"31" 31.6243011303319 4 56 0.0152125134182093 0.0667699948958645 1
"32" 31.6243011303319 4 112 0.00501804173599883 0.0330814865827676 1
"33" 39.182 2 56 0.00421992229614456 0.0548177040607072 1
