trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 56 -1 4.0 4 15.849 2 1.0 322 71 39 0
2 56 1 2.0 4 15.849 1 1.0 142 71 71 1
3 56 -1 2.0 4 6.31 1 1.0 8 71 50 1
4 56 1 2.0 5 10.0 2 1.0 358 89 62 1
5 56 1 2.0 3 3.981 2 1.0 79 56 81 0
6 56 -1 4.0 5 39.182 2 1.0 54 89 87 1
7 56 1 4.0 2 10.0 1 1.0 153 45 71 1
8 56 -1 2.0 1 25.119 1 1.0 143 35 90 0
9 56 1 2.0 3 15.849 1 1.0 266 56 65 1
10 56 1 2.0 5 25.119 1 1.0 319 89 75 1
11 56 1 4.0 5 39.182 2 1.0 75 89 71 1
12 56 -1 4.0 5 15.849 1 1.0 48 89 30 1
13 56 1 4.0 1 10.0 2 1.0 147 35 35 0
14 56 1 2.0 4 25.119 2 1.0 287 71 36 1
15 56 1 2.0 4 25.119 1 1.0 133 71 50 1
16 56 1 4.0 5 25.119 1 1.0 268 89 66 1
17 56 1 4.0 3 6.31 2 1.0 221 56 85 0
18 56 -1 4.0 5 10.0 1 1.0 38 89 66 1
19 56 -1 4.0 3 39.182 1 1.0 250 56 73 1
20 56 1 2.0 4 39.182 1 1.0 34 71 89 1
21 56 -1 4.0 3 10.0 2 1.0 51 56 34 1
22 56 -1 2.0 4 39.182 2 1.0 290 71 61 1
23 56 1 2.0 5 6.31 1 1.0 116 89 80 1
24 56 1 4.0 3 10.0 1 1.0 144 56 49 1
25 56 1 4.0 5 3.981 1 1.0 116 89 56 0
26 56 -1 4.0 1 39.182 1 1.0 158 35 32 1
27 56 -1 2.0 3 10.0 2 1.0 274 56 31 1
28 56 -1 4.0 5 15.849 2 1.0 339 89 64 1
29 56 -1 4.0 3 39.182 2 1.0 52 56 66 1
30 56 1 4.0 3 39.182 2 1.0 208 56 60 1
31 56 1 2.0 2 3.981 2 1.0 158 45 33 0
32 56 1 4.0 2 3.981 1 1.0 68 45 82 0
33 56 1 4.0 3 39.182 1 1.0 27 56 35 1
34 56 1 2.0 4 10.0 1 1.0 86 71 47 1
35 56 -1 4.0 4 10.0 1 1.0 307 71 80 1
36 56 1 4.0 3 15.849 2 1.0 348 56 86 1
37 56 -1 2.0 4 39.182 1 1.0 201 71 65 1
38 56 -1 4.0 4 3.981 1 1.0 29 71 83 0
39 56 -1 2.0 2 25.119 1 1.0 59 45 52 1
40 56 1 4.0 2 15.849 2 1.0 123 45 39 1
41 56 -1 2.0 1 15.849 2 1.0 259 35 80 0
42 56 -1 2.0 4 25.119 2 1.0 354 71 84 1
43 56 1 2.0 4 15.849 2 1.0 348 71 83 1
44 56 -1 4.0 4 25.119 2 1.0 190 71 43 1
45 56 1 2.0 2 25.119 1 1.0 132 45 36 1
46 56 -1 2.0 1 25.119 2 1.0 25 35 56 1
47 56 -1 4.0 1 15.849 2 1.0 37 35 41 0
48 56 -1 4.0 5 39.182 1 1.0 62 89 60 1
49 56 1 4.0 1 3.981 1 1.0 65 35 53 0
50 56 1 2.0 1 25.119 2 1.0 81 35 77 1
51 56 -1 4.0 4 6.31 1 1.0 227 71 83 0
52 56 -1 2.0 3 6.31 2 1.0 298 56 89 1
53 56 1 2.0 2 39.182 2 1.0 98 45 63 1
54 56 -1 4.0 2 6.31 1 1.0 146 45 58 0
55 56 -1 2.0 1 3.981 2 1.0 302 35 71 0
56 56 -1 4.0 3 15.849 2 1.0 120 56 80 1
57 56 1 2.0 1 10.0 2 1.0 83 35 33 0
58 56 -1 2.0 5 39.182 2 1.0 149 89 67 1
59 56 1 2.0 2 6.31 1 1.0 163 45 83 0
60 56 1 2.0 2 3.981 1 1.0 13 45 63 0
61 56 1 2.0 3 39.182 2 1.0 187 56 34 1
62 56 -1 2.0 3 15.849 1 1.0 261 56 59 1
63 56 1 2.0 3 39.182 1 1.0 167 56 40 1
64 56 -1 4.0 2 39.182 1 1.0 34 45 66 1
65 56 1 2.0 3 25.119 2 1.0 220 56 34 1
