trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset speedMatchIni response
1 112 0 4.0 3 3.981 2 1.0 210 112 72 60.0 3.40535695669
2 112 0 4.0 3 25.119 2 1.0 202 112 57 60.0 12.0769015638
3 112 0 4.0 3 10.0 1 1.0 130 112 73 60.0 6.73875948646
4 112 0 2.0 3 10.0 1 1.0 88 112 74 60.0 20.9826459226
5 112 0 4.0 3 15.849 1 1.0 237 112 68 0.1 12.4250801459
6 112 0 4.0 3 6.31 2 1.0 207 112 79 0.1 7.73441704985
7 112 0 4.0 3 3.981 1 1.0 111 112 55 60.0 2.72090539059
8 112 0 4.0 3 6.31 1 1.0 40 112 59 0.1 4.51654662146
9 112 0 4.0 3 10.0 2 1.0 0 112 42 60.0 6.77632664273
10 112 0 4.0 3 25.119 1 1.0 280 112 33 60.0 18.7706623364
11 112 0 4.0 3 15.849 2 1.0 161 112 73 0.1 13.8909617399
12 112 0 2.0 3 6.31 2 1.0 270 112 74 0.1 11.4351137486
13 112 0 4.0 3 39.182 2 1.0 221 112 78 0.1 27.5231824992
14 112 0 2.0 3 3.981 1 1.0 111 112 45 0.1 6.72447241984
15 112 0 4.0 3 39.182 1 1.0 53 112 45 60.0 26.5201460328
16 112 0 2.0 3 39.182 2 1.0 247 112 73 60.0 64.1400126716
17 112 0 2.0 3 25.119 2 1.0 224 112 79 0.1 43.1732357647
18 112 0 2.0 3 15.849 2 1.0 337 112 63 0.1 32.4079878891
19 112 0 2.0 3 15.849 1 1.0 229 112 70 0.1 25.5768286716
20 112 0 2.0 3 25.119 1 1.0 309 112 41 0.1 31.7293692596
21 112 0 2.0 3 39.182 1 1.0 355 112 68 0.1 59.8096682401
22 112 0 2.0 3 6.31 1 1.0 143 112 61 60.0 11.5929757087
23 112 0 2.0 3 3.981 2 1.0 4 112 75 0.1 7.92593959537
24 112 0 2.0 3 10.0 2 1.0 314 112 38 60.0 14.700356716
25 112 0 2.0 3 3.981 1 1.0 11 112 77 0.1 9.97683882488
26 112 0 2.0 3 10.0 1 1.0 82 112 78 0.1 19.4897493067
27 112 0 4.0 3 15.849 1 1.0 327 112 31 0.1 9.09417605555
28 112 0 4.0 3 25.119 2 1.0 338 112 43 60.0 15.3168604665
29 112 0 4.0 3 6.31 2 1.0 92 112 79 0.1 8.81208677758
30 112 0 4.0 3 3.981 1 1.0 66 112 66 0.1 3.11606076374
31 112 0 4.0 3 39.182 1 1.0 137 112 64 0.1 27.5191834181
32 112 0 4.0 3 39.182 2 1.0 334 112 59 60.0 23.9385345347
33 112 0 2.0 3 39.182 1 1.0 300 112 88 0.1 64.6329677379
34 112 0 2.0 3 6.31 2 1.0 0 112 88 60.0 13.3494235271
35 112 0 4.0 3 10.0 1 1.0 302 112 55 60.0 6.7633781634
36 112 0 2.0 3 15.849 2 1.0 18 112 63 0.1 29.9664344221
37 112 0 2.0 3 25.119 1 1.0 281 112 50 60.0 46.7140608
38 112 0 2.0 3 3.981 2 1.0 73 112 55 60.0 6.79398871149
39 112 0 4.0 3 15.849 2 1.0 100 112 77 60.0 7.81611290364
40 112 0 2.0 3 25.119 2 1.0 126 112 61 0.1 59.0855542734
41 112 0 2.0 3 10.0 2 1.0 103 112 68 0.1 19.8468148445
42 112 0 4.0 3 25.119 1 1.0 148 112 82 0.1 17.0843395015
43 112 0 2.0 3 15.849 1 1.0 255 112 53 60.0 27.3012812302
44 112 0 2.0 3 6.31 1 1.0 40 112 75 60.0 10.5130091094
45 112 0 2.0 3 39.182 2 1.0 90 112 49 60.0 81.6964828554
46 112 0 4.0 3 3.981 2 1.0 285 112 55 60.0 3.05623084292
47 112 0 4.0 3 10.0 2 1.0 259 112 53 60.0 6.93577374099
48 112 0 4.0 3 6.31 1 1.0 105 112 49 60.0 4.7009980218
