trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 112 1 2.0 3 3.981 1 1.0 311 112 48 0
2 112 -1 2.0 4 15.849 1 1.0 243 129 56 1
3 112 1 4.0 2 6.31 1 1.0 285 98 30 0
4 112 1 2.0 3 25.119 2 1.0 24 112 68 0
5 112 1 2.0 2 6.31 1 1.0 250 98 50 0
6 112 -1 2.0 3 10.0 1 1.0 17 112 58 1
7 112 -1 4.0 4 39.182 2 1.0 18 129 53 1
8 112 -1 4.0 1 39.182 2 1.0 87 85 30 1
9 112 -1 4.0 1 6.31 2 1.0 130 85 62 0
10 112 -1 2.0 4 6.31 2 1.0 53 129 78 1
11 112 -1 2.0 4 25.119 2 1.0 317 129 45 1
12 112 1 2.0 1 39.182 1 1.0 26 85 75 0
13 112 1 4.0 2 15.849 1 1.0 335 98 40 1
14 112 1 2.0 5 6.31 2 1.0 335 148 37 1
15 112 -1 4.0 5 39.182 2 1.0 55 148 62 1
16 112 -1 4.0 3 3.981 2 1.0 298 112 68 0
17 112 1 4.0 1 10.0 2 1.0 221 85 77 0
18 112 -1 4.0 3 15.849 2 1.0 37 112 43 0
19 112 -1 2.0 3 39.182 1 1.0 351 112 74 0
20 112 -1 4.0 3 10.0 2 1.0 86 112 60 0
21 112 1 2.0 2 39.182 1 1.0 282 98 55 0
22 112 1 4.0 5 10.0 1 1.0 295 148 75 1
23 112 1 2.0 3 6.31 2 1.0 90 112 56 1
24 112 1 4.0 2 15.849 2 1.0 231 98 72 0
25 112 1 2.0 5 39.182 2 1.0 296 148 50 1
26 112 -1 2.0 2 15.849 1 1.0 98 98 30 0
27 112 1 4.0 5 6.31 1 1.0 165 148 74 1
28 112 -1 4.0 4 3.981 1 1.0 170 129 41 0
29 112 1 4.0 3 10.0 1 1.0 239 112 88 0
30 112 1 4.0 1 10.0 1 1.0 52 85 79 0
31 112 -1 4.0 2 10.0 1 1.0 177 98 54 0
32 112 1 4.0 4 6.31 2 1.0 23 129 41 0
33 112 1 2.0 2 25.119 1 1.0 246 98 51 0
34 112 -1 2.0 3 15.849 1 1.0 114 112 38 0
35 112 1 2.0 4 15.849 2 1.0 172 129 90 1
36 112 1 2.0 4 15.849 1 1.0 114 129 67 1
37 112 -1 2.0 1 15.849 1 1.0 328 85 70 0
38 112 1 2.0 4 10.0 2 1.0 43 129 67 1
39 112 -1 2.0 4 10.0 1 1.0 173 129 49 1
40 112 1 4.0 5 15.849 2 1.0 36 148 81 1
41 112 -1 2.0 3 25.119 1 1.0 26 112 76 1
42 112 -1 2.0 5 10.0 2 1.0 317 148 64 1
43 112 -1 2.0 3 39.182 2 1.0 127 112 61 0
44 112 1 4.0 1 15.849 1 1.0 192 85 36 0
45 112 -1 4.0 4 25.119 1 1.0 262 129 87 1
46 112 1 2.0 5 3.981 1 1.0 245 148 87 1
47 112 1 4.0 3 3.981 1 1.0 99 112 83 0
48 112 1 2.0 1 3.981 2 1.0 75 85 68 0
49 112 1 2.0 4 39.182 2 1.0 244 129 48 1
50 112 1 4.0 3 10.0 2 1.0 94 112 74 0
51 112 -1 4.0 3 39.182 2 1.0 36 112 66 1
52 112 1 4.0 5 6.31 2 1.0 215 148 59 1
53 112 -1 2.0 1 39.182 2 1.0 212 85 76 0
54 112 -1 2.0 1 25.119 2 1.0 261 85 87 0
55 112 -1 2.0 4 3.981 1 1.0 46 129 30 0
56 112 1 4.0 4 6.31 1 1.0 340 129 82 0
57 112 1 4.0 2 10.0 1 1.0 51 98 82 0
58 112 -1 2.0 2 25.119 2 1.0 253 98 47 0
59 112 1 4.0 1 15.849 2 1.0 353 85 71 0
60 112 1 2.0 3 15.849 1 1.0 164 112 35 1
61 112 -1 4.0 2 6.31 2 1.0 229 98 45 0
62 112 -1 2.0 1 6.31 1 1.0 322 85 83 0
63 112 -1 4.0 2 15.849 1 1.0 52 98 63 0
64 112 1 2.0 5 15.849 1 1.0 301 148 59 1
