trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 112 -1 4.0 4 10.0 2 1.0 164 129 82 1
2 112 1 2.0 3 15.849 1 1.0 131 112 57 1
3 112 1 4.0 1 6.31 1 1.0 290 85 36 0
4 112 1 4.0 1 10.0 1 1.0 176 85 42 0
5 112 -1 2.0 4 3.981 1 1.0 270 129 68 1
6 112 1 4.0 4 39.182 2 1.0 245 129 67 0
7 112 1 2.0 3 6.31 2 1.0 14 112 82 0
8 112 -1 4.0 1 6.31 2 1.0 54 85 35 0
9 112 -1 4.0 4 15.849 2 1.0 27 129 69 1
10 112 1 4.0 3 6.31 1 1.0 276 112 33 0
11 112 -1 2.0 3 39.182 2 1.0 149 112 65 0
12 112 -1 4.0 3 15.849 1 1.0 154 112 68 0
13 112 -1 4.0 2 25.119 2 1.0 237 98 62 0
14 112 1 2.0 5 3.981 2 1.0 253 148 35 0
15 112 -1 4.0 4 3.981 1 1.0 190 129 58 0
16 112 -1 2.0 3 10.0 2 1.0 309 112 54 0
17 112 1 2.0 1 10.0 1 1.0 183 85 73 0
18 112 1 2.0 2 15.849 2 1.0 296 98 52 1
19 112 -1 2.0 2 3.981 2 1.0 261 98 85 0
20 112 1 4.0 2 10.0 1 1.0 99 98 88 0
21 112 1 4.0 3 10.0 1 1.0 341 112 43 0
22 112 -1 4.0 4 25.119 1 1.0 110 129 35 1
23 112 1 4.0 1 15.849 2 1.0 247 85 39 0
24 112 -1 4.0 5 25.119 1 1.0 345 148 43 1
25 112 1 4.0 2 15.849 1 1.0 138 98 73 0
26 112 -1 4.0 1 10.0 1 1.0 332 85 65 0
27 112 1 2.0 2 3.981 2 1.0 4 98 79 0
28 112 -1 4.0 2 10.0 1 1.0 20 98 43 0
29 112 -1 4.0 1 15.849 1 1.0 37 85 34 0
30 112 -1 2.0 1 39.182 2 1.0 164 85 61 0
31 112 1 4.0 3 39.182 1 1.0 282 112 72 0
32 112 -1 2.0 3 25.119 1 1.0 66 112 74 0
33 112 -1 2.0 3 6.31 1 1.0 215 112 57 0
34 112 -1 4.0 4 15.849 1 1.0 8 129 57 0
35 112 1 2.0 5 15.849 1 1.0 262 148 44 0
36 112 -1 4.0 3 3.981 2 1.0 114 112 36 0
37 112 1 2.0 4 6.31 2 1.0 201 129 35 1
38 112 -1 2.0 2 25.119 2 1.0 139 98 52 0
39 112 1 4.0 1 6.31 2 1.0 313 85 85 0
40 112 -1 2.0 1 15.849 1 1.0 220 85 39 0
41 112 -1 4.0 3 39.182 1 1.0 97 112 40 0
42 112 1 4.0 3 15.849 1 1.0 198 112 74 0
43 112 1 2.0 2 6.31 2 1.0 171 98 39 0
44 112 -1 4.0 1 39.182 1 1.0 87 85 61 0
45 112 -1 4.0 2 15.849 1 1.0 64 98 63 1
46 112 -1 2.0 1 3.981 2 1.0 148 85 37 0
47 112 -1 4.0 4 39.182 2 1.0 180 129 79 1
48 112 -1 2.0 5 15.849 2 1.0 243 148 71 1
49 112 -1 2.0 4 25.119 2 1.0 31 129 55 1
50 112 1 2.0 3 6.31 1 1.0 220 112 36 0
51 112 1 2.0 4 3.981 1 1.0 169 129 82 0
52 112 1 4.0 1 39.182 2 1.0 288 85 46 0
53 112 -1 4.0 2 39.182 1 1.0 31 98 49 0
54 112 1 4.0 1 25.119 1 1.0 41 85 72 0
55 112 1 2.0 5 10.0 2 1.0 156 148 59 0
56 112 -1 4.0 1 6.31 1 1.0 216 85 69 0
57 112 1 4.0 4 15.849 1 1.0 5 129 52 1
58 112 -1 2.0 3 25.119 2 1.0 275 112 35 0
59 112 1 2.0 5 25.119 1 1.0 60 148 43 1
60 112 -1 4.0 5 25.119 2 1.0 2 148 76 1
61 112 1 4.0 5 15.849 1 1.0 173 148 64 0
62 112 1 4.0 4 6.31 2 1.0 22 129 77 0
63 112 1 2.0 2 39.182 1 1.0 17 98 53 0
64 112 -1 2.0 4 15.849 1 1.0 126 129 70 0
65 112 1 4.0 4 3.981 2 1.0 150 129 59 1
66 112 -1 2.0 2 39.182 2 1.0 87 98 78 0
67 112 1 4.0 2 3.981 1 1.0 31 98 42 0
68 112 -1 2.0 2 10.0 2 1.0 272 98 75 0
69 112 1 2.0 5 25.119 2 1.0 85 148 46 1
70 112 1 4.0 1 3.981 2 1.0 331 85 76 0
71 112 -1 4.0 3 25.119 2 1.0 8 112 79 1
72 112 -1 2.0 1 10.0 1 1.0 343 85 41 0
73 112 1 4.0 1 25.119 2 1.0 286 85 47 0
74 112 1 2.0 1 25.119 2 1.0 238 85 82 0
75 112 -1 4.0 1 25.119 2 1.0 51 85 78 0
76 112 1 2.0 2 39.182 2 1.0 75 98 87 0
77 112 -1 2.0 1 15.849 2 1.0 230 85 84 0
78 112 1 4.0 2 6.31 1 1.0 229 98 88 0
79 112 -1 2.0 4 39.182 1 1.0 108 129 85 0
80 112 1 4.0 3 39.182 2 1.0 359 112 77 0
81 112 1 2.0 3 10.0 2 1.0 258 112 65 0
82 112 -1 2.0 4 10.0 2 1.0 179 129 58 1
83 112 1 4.0 2 10.0 2 1.0 125 98 87 0
84 112 1 4.0 2 6.31 2 1.0 282 98 59 0
85 112 1 2.0 4 3.981 2 1.0 60 129 89 1
86 112 -1 2.0 5 25.119 1 1.0 22 148 70 1
87 112 -1 2.0 5 3.981 1 1.0 224 148 49 0
88 112 -1 4.0 1 15.849 2 1.0 236 85 51 0
89 112 1 4.0 1 39.182 1 1.0 356 85 58 0
90 112 -1 2.0 2 15.849 2 1.0 225 98 48 0
91 112 -1 2.0 2 3.981 1 1.0 27 98 67 0
92 112 1 4.0 3 3.981 2 1.0 123 112 34 0
93 112 1 4.0 5 10.0 1 1.0 73 148 71 1
94 112 1 2.0 3 39.182 1 1.0 301 112 57 0
95 112 1 2.0 5 39.182 2 1.0 52 148 64 1
96 112 -1 2.0 2 6.31 1 1.0 335 98 41 0
