trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 112 1 2.0 4 15.849 2 1.0 69 129 65 1
2 112 -1 4.0 5 6.31 1 1.0 186 148 34 0
3 112 -1 2.0 2 10.0 1 1.0 223 98 45 0
4 112 1 2.0 5 39.182 2 1.0 339 148 88 1
5 112 1 4.0 1 10.0 1 1.0 354 85 61 0
6 112 -1 2.0 5 15.849 1 1.0 131 148 33 1
7 112 1 4.0 1 3.981 2 1.0 180 85 66 0
8 112 -1 2.0 5 3.981 1 1.0 87 148 89 0
9 112 -1 4.0 5 15.849 2 1.0 231 148 41 1
10 112 1 4.0 3 6.31 1 1.0 117 112 54 0
11 112 -1 2.0 3 3.981 1 1.0 94 112 86 0
12 112 1 2.0 1 15.849 2 1.0 81 85 84 0
13 112 -1 2.0 4 6.31 1 1.0 359 129 75 1
14 112 -1 4.0 3 6.31 1 1.0 233 112 89 0
15 112 -1 2.0 3 25.119 1 1.0 315 112 45 0
16 112 -1 4.0 5 3.981 1 1.0 6 148 63 0
17 112 1 4.0 1 6.31 2 1.0 197 85 84 0
18 112 -1 4.0 2 3.981 2 1.0 73 98 77 1
19 112 1 4.0 3 3.981 2 1.0 150 112 37 1
20 112 1 2.0 3 39.182 2 1.0 140 112 47 1
21 112 1 2.0 4 39.182 1 1.0 322 129 31 0
22 112 1 2.0 3 6.31 1 1.0 269 112 53 0
23 112 1 2.0 2 25.119 2 1.0 312 98 47 0
24 112 1 4.0 2 6.31 2 1.0 229 98 79 1
25 112 -1 4.0 4 39.182 1 1.0 275 129 37 1
26 112 -1 4.0 3 10.0 2 1.0 191 112 65 0
27 112 1 2.0 4 10.0 2 1.0 76 129 56 1
28 112 -1 4.0 2 39.182 1 1.0 355 98 53 1
29 112 1 4.0 1 15.849 1 1.0 243 85 33 0
30 112 -1 4.0 4 25.119 1 1.0 159 129 40 1
31 112 1 4.0 1 25.119 2 1.0 13 85 41 1
32 112 -1 2.0 4 25.119 1 1.0 14 129 46 1
33 112 -1 2.0 1 15.849 2 1.0 301 85 71 1
34 112 1 4.0 3 39.182 1 1.0 37 112 40 1
35 112 -1 2.0 4 39.182 2 1.0 253 129 55 1
36 112 -1 2.0 2 25.119 1 1.0 174 98 73 0
37 112 -1 4.0 1 3.981 1 1.0 268 85 75 0
38 112 -1 2.0 1 39.182 1 1.0 113 85 47 0
39 112 -1 4.0 1 39.182 1 1.0 48 85 55 0
40 112 -1 2.0 1 25.119 1 1.0 66 85 87 1
41 112 1 2.0 1 10.0 2 1.0 62 85 82 1
42 112 1 2.0 2 25.119 1 1.0 141 98 68 1
43 112 1 4.0 4 10.0 2 1.0 193 129 56 0
44 112 1 2.0 1 3.981 1 1.0 304 85 49 0
45 112 -1 2.0 4 6.31 2 1.0 86 129 49 1
46 112 1 2.0 5 6.31 1 1.0 337 148 78 1
47 112 -1 2.0 3 10.0 1 1.0 80 112 57 0
48 112 -1 4.0 3 39.182 1 1.0 252 112 64 1
49 112 1 2.0 3 25.119 2 1.0 85 112 61 1
50 112 -1 4.0 3 3.981 2 1.0 121 112 77 1
51 112 1 2.0 4 3.981 1 1.0 257 129 44 0
52 112 -1 2.0 4 39.182 1 1.0 255 129 88 1
53 112 1 4.0 2 15.849 1 1.0 217 98 63 0
54 112 -1 4.0 1 10.0 1 1.0 240 85 54 0
55 112 1 4.0 4 6.31 1 1.0 90 129 58 1
56 112 -1 2.0 5 6.31 2 1.0 80 148 69 0
57 112 -1 2.0 1 6.31 1 1.0 220 85 52 0
58 112 1 4.0 2 25.119 1 1.0 245 98 52 1
59 112 1 2.0 5 3.981 2 1.0 239 148 76 1
60 112 -1 2.0 3 6.31 2 1.0 73 112 59 1
61 112 1 4.0 4 39.182 1 1.0 138 129 49 1
62 112 1 2.0 2 6.31 2 1.0 142 98 61 0
63 112 -1 2.0 5 6.31 1 1.0 263 148 53 1
64 112 -1 2.0 2 3.981 1 1.0 320 98 66 1
65 112 -1 4.0 2 25.119 2 1.0 97 98 67 1
66 112 1 4.0 3 6.31 2 1.0 45 112 33 0
67 112 -1 2.0 4 25.119 2 1.0 83 129 90 1
68 112 1 2.0 5 39.182 1 1.0 232 148 39 1
69 112 1 4.0 1 39.182 1 1.0 314 85 78 0
70 112 -1 4.0 2 10.0 1 1.0 222 98 63 0
71 112 1 4.0 3 3.981 1 1.0 250 112 60 0
72 112 1 2.0 1 6.31 2 1.0 300 85 36 1
73 112 -1 2.0 3 15.849 2 1.0 39 112 57 1
74 112 1 4.0 1 10.0 2 1.0 332 85 89 0
75 112 1 4.0 2 25.119 2 1.0 168 98 84 0
76 112 1 2.0 2 39.182 1 1.0 51 98 89 0
77 112 1 4.0 5 25.119 1 1.0 353 148 77 1
78 112 1 4.0 5 3.981 1 1.0 333 148 56 1
79 112 -1 2.0 1 6.31 2 1.0 139 85 79 0
80 112 1 2.0 1 15.849 1 1.0 215 85 34 0
81 112 -1 4.0 3 25.119 1 1.0 176 112 58 1
82 112 -1 2.0 3 3.981 2 1.0 312 112 66 0
83 112 -1 2.0 5 39.182 1 1.0 7 148 65 1
84 112 -1 4.0 1 10.0 2 1.0 132 85 51 0
85 112 1 2.0 3 15.849 1 1.0 261 112 65 0
86 112 1 4.0 1 25.119 1 1.0 265 85 79 0
87 112 1 4.0 1 39.182 2 1.0 123 85 54 0
88 112 -1 2.0 4 3.981 2 1.0 103 129 35 1
89 112 -1 4.0 4 39.182 2 1.0 189 129 81 1
90 112 -1 2.0 2 15.849 1 1.0 202 98 40 0
91 112 1 4.0 5 10.0 1 1.0 129 148 37 1
92 112 -1 2.0 5 25.119 1 1.0 95 148 39 1
93 112 -1 2.0 1 15.849 1 1.0 98 85 66 0
94 112 -1 4.0 2 3.981 1 1.0 19 98 68 0
95 112 -1 4.0 5 15.849 1 1.0 143 148 40 1
