trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 56 -1 4.0 2 10.0 1 1.0 155 45 40 0
2 56 -1 2.0 2 3.981 1 1.0 355 45 58 0
3 56 -1 4.0 5 15.849 2 1.0 230 89 45 1
4 56 -1 4.0 2 6.31 1 1.0 179 45 46 0
5 56 1 2.0 3 3.981 2 1.0 173 56 56 1
6 56 1 4.0 2 3.981 2 1.0 54 45 62 1
7 56 1 4.0 5 3.981 2 1.0 275 89 39 1
8 56 1 4.0 3 25.119 2 1.0 173 56 60 0
9 56 1 4.0 2 15.849 1 1.0 309 45 62 0
10 56 -1 2.0 5 6.31 1 1.0 259 89 77 1
11 56 -1 2.0 4 3.981 1 1.0 180 71 31 0
12 56 1 2.0 1 10.0 2 1.0 165 35 88 0
13 56 1 4.0 2 39.182 1 1.0 275 45 57 0
14 56 1 2.0 4 10.0 1 1.0 262 71 75 1
15 56 1 2.0 1 6.31 2 1.0 236 35 82 0
16 56 -1 4.0 3 3.981 2 1.0 356 56 50 1
17 56 1 4.0 4 6.31 1 1.0 244 71 62 1
18 56 -1 4.0 5 3.981 2 1.0 13 89 42 1
19 56 1 4.0 3 10.0 1 1.0 119 56 73 1
20 56 1 2.0 5 15.849 2 1.0 322 89 51 1
21 56 -1 2.0 1 39.182 1 1.0 266 35 80 0
22 56 1 2.0 2 10.0 2 1.0 275 45 90 1
23 56 1 2.0 5 10.0 2 1.0 198 89 51 1
24 56 -1 2.0 4 6.31 2 1.0 216 71 45 0
25 56 1 2.0 1 25.119 1 1.0 84 35 49 0
26 56 -1 2.0 3 15.849 1 1.0 229 56 72 0
27 56 -1 2.0 1 3.981 2 1.0 358 35 58 0
28 56 1 4.0 3 3.981 2 1.0 210 56 80 0
29 56 1 2.0 4 39.182 2 1.0 61 71 73 1
30 56 -1 2.0 3 39.182 1 1.0 234 56 58 0
31 56 1 4.0 4 25.119 1 1.0 287 71 74 1
32 56 1 2.0 5 39.182 2 1.0 30 89 83 1
33 56 1 4.0 5 10.0 1 1.0 197 89 79 1
34 56 -1 4.0 4 15.849 2 1.0 305 71 68 1
35 56 -1 4.0 4 6.31 2 1.0 359 71 38 1
