trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset speedMatchIni response
1 112 0 2.0 3 10.0 1 1.0 84 112 65 0.1 15.0515647672
2 112 0 2.0 3 39.182 1 1.0 150 112 43 60.0 72.999174144
3 112 0 4.0 3 10.0 2 1.0 203 112 40 0.1 7.58071626518
4 112 0 4.0 3 10.0 1 1.0 116 112 74 0.1 6.13292706469
5 112 0 2.0 3 15.849 2 1.0 337 112 47 60.0 22.0962638861
6 112 0 2.0 3 39.182 2 1.0 173 112 53 60.0 85.3987087453
7 112 0 4.0 3 6.31 2 1.0 287 112 79 60.0 4.30181748145
8 112 0 2.0 3 25.119 1 1.0 34 112 38 60.0 50.4450866762
9 112 0 4.0 3 15.849 2 1.0 295 112 35 0.1 8.96522653569
10 112 0 2.0 3 10.0 2 1.0 230 112 70 60.0 15.9695729299
11 112 0 4.0 3 3.981 2 1.0 349 112 42 60.0 2.73518754314
12 112 0 4.0 3 39.182 2 1.0 285 112 50 60.0 26.5933054397
13 112 0 2.0 3 6.31 1 1.0 4 112 32 0.1 10.0172203742
14 112 0 2.0 3 6.31 2 1.0 208 112 66 60.0 11.9484872894
15 112 0 4.0 3 25.119 1 1.0 300 112 34 0.1 17.7098843429
16 112 0 2.0 3 3.981 2 1.0 109 112 74 60.0 6.0425857509
17 112 0 2.0 3 15.849 1 1.0 277 112 49 0.1 22.6314201676
18 112 0 4.0 3 6.31 1 1.0 161 112 54 0.1 5.08921565197
19 112 0 2.0 3 3.981 1 1.0 248 112 45 0.1 8.19443177834
20 112 0 4.0 3 3.981 1 1.0 65 112 88 60.0 3.36485621858
21 112 0 4.0 3 39.182 1 1.0 274 112 61 60.0 27.390495112
22 112 0 4.0 3 25.119 2 1.0 163 112 46 0.1 19.1526340605
23 112 0 2.0 3 25.119 2 1.0 0 112 89 60.0 40.1798313491
24 112 0 4.0 3 15.849 1 1.0 161 112 76 0.1 11.4916981965
25 112 0 2.0 3 25.119 1 1.0 296 112 67 0.1 48.8938143135
26 112 0 4.0 3 25.119 2 1.0 279 112 38 60.0 19.6408201519
27 112 0 4.0 3 3.981 2 1.0 200 112 48 60.0 3.2637946733
28 112 0 2.0 3 6.31 1 1.0 103 112 58 0.1 9.5312316753
29 112 0 2.0 3 25.119 2 1.0 119 112 50 60.0 59.5215335444
30 112 0 4.0 3 6.31 1 1.0 174 112 78 60.0 4.15906296655
31 112 0 2.0 3 6.31 2 1.0 105 112 57 0.1 9.31137273501
32 112 0 2.0 3 10.0 1 1.0 128 112 60 0.1 15.2048014329
33 112 0 2.0 3 39.182 1 1.0 72 112 78 0.1 54.8998018544
34 112 0 4.0 3 3.981 1 1.0 96 112 30 0.1 3.53320068484
35 112 0 4.0 3 25.119 1 1.0 108 112 77 60.0 14.8442975275
36 112 0 4.0 3 15.849 1 1.0 90 112 87 60.0 11.5325076069
37 112 0 2.0 3 3.981 2 1.0 230 112 84 60.0 7.24644323277
38 112 0 4.0 3 6.31 2 1.0 17 112 59 0.1 3.54542897287
39 112 0 4.0 3 10.0 1 1.0 299 112 38 0.1 7.21290998861
40 112 0 4.0 3 39.182 1 1.0 281 112 81 0.1 28.6547777035
41 112 0 4.0 3 39.182 2 1.0 259 112 66 60.0 22.100121694
42 112 0 4.0 3 10.0 2 1.0 57 112 80 60.0 6.65206205441
43 112 0 2.0 3 10.0 2 1.0 256 112 45 60.0 15.0800296459
44 112 0 2.0 3 39.182 2 1.0 260 112 75 0.1 0.346200207365
45 112 0 2.0 3 3.981 1 1.0 178 112 39 60.0 630.130833839
46 112 0 2.0 3 15.849 2 1.0 266 112 64 60.0 16.3724996765
47 112 0 4.0 3 15.849 2 1.0 297 112 80 0.1 10.9356459908
48 112 0 2.0 3 15.849 1 1.0 122 112 62 60.0 22.3648642154
