trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset speedMatchIni response
1 112 0 4.0 3 10.0 2 1.0 352 112 31 60.0 8.26003315471
2 112 0 2.0 3 39.182 1 1.0 24 112 38 0.1 47.5093752202
3 112 0 4.0 3 25.119 2 1.0 5 112 46 60.0 22.644422062
4 112 0 4.0 3 15.849 2 1.0 113 112 84 60.0 13.2041633277
5 112 0 2.0 3 25.119 2 1.0 326 112 79 0.1 30.8505002408
6 112 0 2.0 3 6.31 1 1.0 45 112 86 0.1 9.46722462719
7 112 0 2.0 3 6.31 2 1.0 131 112 60 60.0 10.375954095
8 112 0 2.0 3 25.119 1 1.0 313 112 70 60.0 32.5251827917
9 112 0 2.0 3 3.981 1 1.0 109 112 56 0.1 4.31900461541
10 112 0 2.0 3 15.849 1 1.0 203 112 51 60.0 24.4706449337
11 112 0 2.0 3 3.981 2 1.0 23 112 49 60.0 5.60212189379
12 112 0 2.0 3 39.182 2 1.0 85 112 74 0.1 46.2713934837
13 112 0 4.0 3 39.182 1 1.0 172 112 61 0.1 37.0219206578
14 112 0 4.0 3 6.31 1 1.0 31 112 88 0.1 6.61054651532
15 112 0 4.0 3 25.119 1 1.0 333 112 69 0.1 25.4452011439
16 112 0 4.0 3 39.182 2 1.0 267 112 58 0.1 38.9140438814
17 112 0 2.0 3 10.0 2 1.0 348 112 49 0.1 11.0404914497
18 112 0 4.0 3 15.849 1 1.0 162 112 34 0.1 16.1989746883
19 112 0 4.0 3 3.981 2 1.0 256 112 58 0.1 6.56529407256
20 112 0 2.0 3 15.849 2 1.0 327 112 58 60.0 21.7628200484
21 112 0 4.0 3 10.0 1 1.0 113 112 50 60.0 10.7051279064
22 112 0 4.0 3 3.981 1 1.0 332 112 90 0.1 4.73418696359
23 112 0 2.0 3 10.0 1 1.0 148 112 70 60.0 10.9472105507
24 112 0 4.0 3 6.31 2 1.0 357 112 78 60.0 10.1270169402
25 112 0 2.0 3 25.119 1 1.0 332 112 45 0.1 24.6077116847
26 112 0 4.0 3 3.981 2 1.0 297 112 69 0.1 6.99850064146
27 112 0 2.0 3 6.31 1 1.0 19 112 90 60.0 7.43507131703
28 112 0 4.0 3 6.31 2 1.0 230 112 50 60.0 9.29911971785
29 112 0 2.0 3 25.119 2 1.0 177 112 50 60.0 29.9793730294
30 112 0 2.0 3 10.0 1 1.0 352 112 59 60.0 8.04556501318
31 112 0 4.0 3 3.981 1 1.0 263 112 78 0.1 5.08328791693
32 112 0 4.0 3 10.0 2 1.0 54 112 34 0.1 14.2917681405
33 112 0 2.0 3 3.981 2 1.0 268 112 51 60.0 3.92146100189
34 112 0 4.0 3 10.0 1 1.0 101 112 64 0.1 11.298032151
35 112 0 4.0 3 15.849 2 1.0 320 112 86 0.1 18.7772742173
36 112 0 4.0 3 39.182 2 1.0 271 112 63 60.0 45.0629548431
37 112 0 4.0 3 25.119 1 1.0 17 112 35 60.0 27.8102224591
38 112 0 2.0 3 15.849 2 1.0 341 112 75 60.0 24.1681649904
39 112 0 2.0 3 39.182 2 1.0 252 112 39 0.1 44.8807386748
40 112 0 4.0 3 25.119 2 1.0 218 112 33 0.1 33.2676807862
41 112 0 4.0 3 15.849 1 1.0 79 112 61 60.0 15.2735093631
42 112 0 2.0 3 6.31 2 1.0 338 112 49 0.1 9.23528278159
43 112 0 2.0 3 3.981 1 1.0 210 112 75 60.0 2.27364852966
44 112 0 4.0 3 6.31 1 1.0 294 112 54 60.0 9.6629046172
45 112 0 2.0 3 15.849 1 1.0 85 112 59 0.1 19.3445341639
46 112 0 4.0 3 39.182 1 1.0 38 112 86 60.0 46.3007483203
47 112 0 2.0 3 10.0 2 1.0 39 112 69 0.1 13.8045413566
48 112 0 2.0 3 39.182 1 1.0 150 112 49 0.1 34.3242614395
