trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset speedMatchIni response
1 112 0 2.0 3 15.849 2 1.0 326 112 50 0.1 28.7546954212
2 112 0 4.0 3 39.182 1 1.0 103 112 56 0.1 32.1225267993
3 112 0 4.0 3 25.119 2 1.0 249 112 87 60.0 19.6758713699
4 112 0 4.0 3 15.849 1 1.0 274 112 65 60.0 13.1581459207
5 112 0 4.0 3 6.31 2 1.0 98 112 43 60.0 8.74576732691
6 112 0 4.0 3 39.182 2 1.0 7 112 88 60.0 28.5768852002
7 112 0 4.0 3 10.0 2 1.0 39 112 44 0.1 7.75126775527
8 112 0 2.0 3 25.119 2 1.0 220 112 54 0.1 31.7094560309
9 112 0 2.0 3 6.31 2 1.0 335 112 74 60.0 8.5581815791
10 112 0 2.0 3 3.981 2 1.0 16 112 65 60.0 7.66162038918
11 112 0 4.0 3 3.981 1 1.0 349 112 85 0.1 2.96670903166
12 112 0 4.0 3 6.31 1 1.0 111 112 40 0.1 4.06933340703
13 112 0 2.0 3 3.981 1 1.0 357 112 42 0.1 5.78690085488
14 112 0 4.0 3 3.981 2 1.0 130 112 73 60.0 3.61230741561
15 112 0 2.0 3 6.31 1 1.0 248 112 90 0.1 11.7894850852
16 112 0 4.0 3 15.849 2 1.0 101 112 63 0.1 11.9457572806
17 112 0 2.0 3 39.182 1 1.0 58 112 41 60.0 41.9514550296
18 112 0 2.0 3 39.182 2 1.0 276 112 87 60.0 50.379025992
19 112 0 4.0 3 10.0 1 1.0 63 112 72 0.1 7.00070532577
20 112 0 2.0 3 10.0 1 1.0 214 112 59 60.0 13.0564382381
21 112 0 2.0 3 25.119 1 1.0 337 112 36 60.0 34.1127737528
22 112 0 2.0 3 10.0 2 1.0 122 112 70 0.1 14.7502258884
23 112 0 4.0 3 25.119 1 1.0 340 112 79 60.0 16.1796095928
24 112 0 2.0 3 15.849 1 1.0 291 112 33 60.0 22.918886266
25 112 0 2.0 3 3.981 2 1.0 60 112 75 0.1 5.42057943646
26 112 0 4.0 3 6.31 2 1.0 67 112 77 0.1 4.14885873239
27 112 0 2.0 3 15.849 2 1.0 306 112 44 0.1 23.0541291116
28 112 0 4.0 3 39.182 2 1.0 307 112 59 0.1 29.7902573564
29 112 0 2.0 3 10.0 1 1.0 204 112 90 60.0 13.4861269042
30 112 0 4.0 3 3.981 2 1.0 85 112 45 60.0 3.70954431338
31 112 0 2.0 3 6.31 1 1.0 289 112 32 60.0 8.52717789288
32 112 0 2.0 3 39.182 2 1.0 161 112 65 0.1 37.9442511322
33 112 0 2.0 3 25.119 2 1.0 136 112 87 60.0 35.3304259863
34 112 0 2.0 3 3.981 1 1.0 355 112 84 0.1 6.04800950301
35 112 0 2.0 3 10.0 2 1.0 339 112 58 0.1 13.429361975
36 112 0 2.0 3 39.182 1 1.0 117 112 44 0.1 47.355120843
37 112 0 4.0 3 3.981 1 1.0 217 112 34 0.1 2.95873504586
38 112 0 4.0 3 15.849 1 1.0 44 112 41 60.0 13.2917445936
39 112 0 2.0 3 25.119 1 1.0 21 112 85 60.0 32.131379765
40 112 0 4.0 3 10.0 2 1.0 6 112 66 0.1 8.63462878136
41 112 0 4.0 3 25.119 2 1.0 221 112 76 60.0 14.241585653
42 112 0 4.0 3 6.31 1 1.0 59 112 50 0.1 5.54588954721
43 112 0 2.0 3 6.31 2 1.0 342 112 87 0.1 8.39304253175
44 112 0 4.0 3 25.119 1 1.0 228 112 88 60.0 16.7047690528
45 112 0 4.0 3 10.0 1 1.0 337 112 67 60.0 9.29768846237
46 112 0 4.0 3 39.182 1 1.0 210 112 81 0.1 26.0428258907
47 112 0 2.0 3 15.849 1 1.0 274 112 67 60.0 24.1483364169
48 112 0 4.0 3 15.849 2 1.0 284 112 74 60.0 11.111228798
