trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 112 1 2.0 5 3.981 1 1.0 4 148 58 1
2 112 1 2.0 1 15.849 2 1.0 240 85 83 0
3 112 -1 2.0 2 3.981 1 1.0 197 98 74 0
4 112 -1 2.0 1 15.849 1 1.0 295 85 33 0
5 112 1 2.0 1 39.182 1 1.0 18 85 78 0
6 112 1 4.0 2 6.31 2 1.0 201 98 46 0
7 112 1 4.0 4 6.31 2 1.0 201 129 90 1
8 112 1 2.0 2 15.849 1 1.0 192 98 30 0
9 112 1 4.0 3 15.849 2 1.0 252 112 46 0
10 112 -1 4.0 1 39.182 1 1.0 209 85 87 0
11 112 -1 4.0 5 39.182 2 1.0 276 148 65 1
12 112 1 4.0 2 10.0 1 1.0 315 98 39 1
13 112 -1 2.0 2 6.31 1 1.0 70 98 45 0
14 112 1 2.0 1 3.981 1 1.0 286 85 73 0
15 112 1 2.0 2 39.182 2 1.0 128 98 72 1
16 112 1 2.0 5 6.31 2 1.0 292 148 36 1
17 112 1 2.0 5 3.981 2 1.0 333 148 40 1
18 112 -1 2.0 1 15.849 2 1.0 160 85 48 0
19 112 -1 2.0 1 3.981 1 1.0 212 85 71 0
20 112 -1 2.0 2 6.31 2 1.0 134 98 59 0
21 112 1 4.0 2 10.0 2 1.0 176 98 83 1
22 112 -1 4.0 1 3.981 1 1.0 227 85 44 0
23 112 1 2.0 5 15.849 2 1.0 271 148 64 1
24 112 -1 2.0 4 6.31 2 1.0 130 129 83 0
25 112 -1 2.0 5 25.119 1 1.0 101 148 41 0
26 112 -1 4.0 5 25.119 2 1.0 230 148 47 0
27 112 -1 4.0 3 25.119 1 1.0 163 112 75 0
28 112 -1 2.0 5 6.31 2 1.0 354 148 80 0
29 112 -1 4.0 1 6.31 1 1.0 317 85 56 0
30 112 -1 4.0 4 15.849 2 1.0 252 129 62 0
31 112 -1 2.0 5 15.849 1 1.0 255 148 78 0
32 112 -1 4.0 4 6.31 2 1.0 269 129 38 0
33 112 1 2.0 3 3.981 1 1.0 276 112 40 0
34 112 1 2.0 5 10.0 1 1.0 125 148 71 1
35 112 1 2.0 1 10.0 2 1.0 220 85 70 0
36 112 1 2.0 5 6.31 1 1.0 172 148 82 0
37 112 -1 2.0 3 15.849 2 1.0 356 112 51 1
38 112 -1 2.0 3 39.182 1 1.0 132 112 82 0
39 112 1 2.0 1 25.119 1 1.0 170 85 40 0
40 112 1 4.0 5 25.119 1 1.0 72 148 80 1
41 112 -1 4.0 4 25.119 2 1.0 278 129 55 1
42 112 -1 4.0 2 25.119 1 1.0 118 98 89 0
43 112 1 2.0 5 15.849 1 1.0 207 148 41 1
44 112 1 2.0 3 10.0 1 1.0 194 112 75 1
45 112 1 4.0 2 6.31 1 1.0 347 98 62 0
46 112 -1 4.0 3 3.981 1 1.0 26 112 78 1
47 112 1 4.0 2 15.849 2 1.0 293 98 74 0
48 112 -1 4.0 1 10.0 2 1.0 30 85 44 1
49 112 1 4.0 2 3.981 2 1.0 71 98 86 0
50 112 1 2.0 4 6.31 2 1.0 185 129 32 1
51 112 -1 4.0 2 25.119 2 1.0 107 98 34 0
52 112 -1 2.0 2 10.0 2 1.0 249 98 53 1
53 112 1 4.0 1 25.119 2 1.0 288 85 53 0
54 112 -1 4.0 2 39.182 2 1.0 108 98 72 0
55 112 1 4.0 3 6.31 2 1.0 255 112 62 1
56 112 -1 2.0 4 25.119 2 1.0 252 129 76 1
57 112 1 2.0 5 39.182 2 1.0 292 148 88 1
58 112 1 2.0 5 10.0 2 1.0 228 148 40 1
59 112 -1 4.0 1 25.119 1 1.0 7 85 35 0
60 112 1 4.0 1 6.31 1 1.0 336 85 54 0
61 112 1 2.0 4 10.0 1 1.0 356 129 33 0
62 112 1 2.0 4 3.981 2 1.0 130 129 56 0
63 112 1 2.0 5 25.119 2 1.0 261 148 56 1
64 112 -1 4.0 2 15.849 1 1.0 334 98 35 0
65 112 1 4.0 3 39.182 2 1.0 200 112 58 1
66 112 -1 4.0 1 15.849 1 1.0 204 85 52 0
67 112 1 2.0 2 3.981 2 1.0 208 98 32 0
68 112 1 2.0 4 3.981 1 1.0 291 129 46 0
69 112 -1 2.0 2 15.849 1 1.0 190 98 84 0
70 112 1 2.0 4 25.119 1 1.0 182 129 30 1
71 112 1 2.0 4 25.119 2 1.0 355 129 56 0
72 112 -1 2.0 5 39.182 1 1.0 162 148 55 1
73 112 -1 2.0 3 3.981 2 1.0 261 112 30 0
74 112 1 4.0 1 25.119 1 1.0 343 85 76 0
75 112 1 4.0 2 3.981 1 1.0 85 98 45 1
76 112 -1 2.0 3 10.0 2 1.0 348 112 46 0
77 112 -1 4.0 2 15.849 2 1.0 185 98 86 0
78 112 1 4.0 5 10.0 2 1.0 155 148 37 1
79 112 1 2.0 1 10.0 1 1.0 270 85 33 0
80 112 1 2.0 3 25.119 2 1.0 337 112 90 0
81 112 -1 4.0 2 6.31 1 1.0 290 98 56 0
82 112 1 4.0 3 3.981 2 1.0 43 112 81 1
83 112 1 4.0 5 39.182 2 1.0 203 148 64 1
84 112 1 4.0 4 15.849 2 1.0 198 129 72 0
85 112 -1 2.0 3 15.849 1 1.0 218 112 59 1
86 112 -1 2.0 5 3.981 1 1.0 271 148 50 1
87 112 -1 4.0 3 10.0 1 1.0 341 112 88 0
88 112 -1 4.0 3 15.849 2 1.0 114 112 36 0
89 112 1 2.0 2 10.0 2 1.0 341 98 81 0
90 112 -1 4.0 5 15.849 2 1.0 229 148 53 1
91 112 1 4.0 5 6.31 2 1.0 307 148 66 1
92 112 1 2.0 4 39.182 1 1.0 180 129 85 0
93 112 -1 4.0 1 15.849 2 1.0 284 85 86 0
94 112 1 2.0 3 39.182 1 1.0 289 112 81 1
95 112 1 2.0 2 39.182 1 1.0 224 98 65 0
96 112 -1 4.0 1 10.0 1 1.0 141 85 85 0
97 112 1 4.0 5 15.849 2 1.0 183 148 86 1
98 112 -1 2.0 1 6.31 2 1.0 250 85 66 0
99 112 -1 2.0 3 25.119 2 1.0 258 112 40 1
100 112 1 2.0 4 15.849 1 1.0 10 129 32 1
101 112 -1 2.0 4 10.0 2 1.0 184 129 50 1
102 112 1 2.0 2 25.119 1 1.0 236 98 85 0
103 112 -1 4.0 1 3.981 2 1.0 101 85 41 0
104 112 -1 2.0 3 3.981 1 1.0 192 112 62 1
105 112 -1 4.0 4 15.849 1 1.0 189 129 41 0
106 112 1 4.0 4 39.182 2 1.0 146 129 30 0
107 112 1 2.0 3 15.849 2 1.0 152 112 63 1
108 112 1 2.0 4 15.849 2 1.0 87 129 58 1
109 112 -1 4.0 2 10.0 2 1.0 350 98 53 0
110 112 -1 4.0 2 39.182 1 1.0 118 98 74 1
111 112 1 4.0 4 3.981 2 1.0 283 129 73 0
112 112 1 4.0 1 15.849 1 1.0 150 85 82 0
113 112 1 4.0 1 3.981 2 1.0 324 85 56 0
114 112 -1 4.0 2 6.31 2 1.0 93 98 50 0
115 112 -1 4.0 2 3.981 2 1.0 344 98 70 0
116 112 -1 2.0 4 15.849 1 1.0 69 129 38 0
117 112 -1 4.0 5 6.31 1 1.0 227 148 78 0
118 112 -1 4.0 5 15.849 1 1.0 245 148 64 0
119 112 1 2.0 4 39.182 2 1.0 221 129 54 0
120 112 1 2.0 2 15.849 2 1.0 140 98 78 0
121 112 1 4.0 5 15.849 1 1.0 107 148 84 1
122 112 1 2.0 5 39.182 1 1.0 238 148 43 1
123 112 1 4.0 5 25.119 2 1.0 17 148 71 1
124 112 1 4.0 3 3.981 1 1.0 70 112 85 0
125 112 -1 2.0 1 6.31 1 1.0 210 85 80 0
126 112 1 4.0 5 3.981 2 1.0 332 148 31 0
127 112 -1 4.0 3 15.849 1 1.0 42 112 48 1
128 112 -1 2.0 2 10.0 1 1.0 222 98 51 1
