trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
104 56 1 4.0 3 10.0 2 1.0 292 56 44 0
105 56 1 2.0 3 3.981 1 1.0 5 56 49 0
106 56 1 4.0 1 3.981 2 1.0 108 43 71 0
107 56 1 2.0 5 6.31 2 1.0 336 74 88 1
108 56 -1 2.0 2 10.0 1 1.0 313 49 34 0
109 56 1 4.0 2 6.31 2 1.0 16 49 68 0
110 56 -1 4.0 3 39.182 2 1.0 221 56 83 1
111 56 1 2.0 2 6.31 2 1.0 211 49 70 0
112 56 1 2.0 5 15.849 1 1.0 21 74 46 1
113 56 1 2.0 1 6.31 2 1.0 34 43 56 0
114 56 -1 2.0 2 15.849 1 1.0 263 49 41 1
115 56 1 4.0 1 10.0 2 1.0 178 43 31 0
116 56 -1 2.0 5 39.182 2 1.0 281 74 88 1
117 56 1 4.0 4 25.119 1 1.0 210 65 62 1
118 56 -1 2.0 1 25.119 2 1.0 210 43 30 0
119 56 1 4.0 2 3.981 2 1.0 155 49 59 0
120 56 -1 2.0 2 3.981 1 1.0 276 49 83 0
121 56 1 2.0 1 10.0 1 1.0 209 43 31 0
122 56 -1 4.0 1 15.849 1 1.0 290 43 78 0
123 56 1 4.0 4 39.182 1 1.0 91 65 52 1
124 56 -1 2.0 3 39.182 2 1.0 265 56 35 1
125 56 -1 4.0 5 25.119 2 1.0 166 74 70 1
126 56 1 4.0 4 15.849 2 1.0 120 65 79 0
127 56 -1 4.0 1 6.31 1 1.0 333 43 81 0
128 56 -1 2.0 3 25.119 2 1.0 158 56 79 1
129 56 -1 2.0 3 3.981 1 1.0 326 56 55 0
130 56 1 4.0 5 25.119 1 1.0 67 74 46 1
131 56 -1 2.0 4 15.849 1 1.0 213 65 81 1
132 56 -1 2.0 5 6.31 1 1.0 140 74 70 1
133 56 -1 2.0 4 15.849 2 1.0 333 65 75 1
134 56 1 2.0 1 10.0 2 1.0 308 43 42 1
135 56 -1 4.0 4 6.31 1 1.0 322 65 30 1
136 56 1 2.0 5 15.849 2 1.0 301 74 66 1
137 56 1 4.0 4 25.119 2 1.0 314 65 39 1
138 56 1 4.0 3 15.849 1 1.0 65 56 63 0
139 56 -1 4.0 2 25.119 2 1.0 324 49 84 0
140 56 1 4.0 1 39.182 2 1.0 291 43 43 0
141 56 1 4.0 4 6.31 2 1.0 209 65 58 0
142 56 -1 4.0 5 15.849 2 1.0 116 74 87 1
143 56 -1 2.0 4 6.31 2 1.0 289 65 69 1
144 56 1 4.0 5 39.182 1 1.0 356 74 73 1
145 56 1 2.0 4 10.0 2 1.0 288 65 31 0
146 56 -1 2.0 3 6.31 1 1.0 251 56 75 1
