trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 112 1 2.0 1 25.119 1 1.0 189 85 85 1
2 112 -1 2.0 5 3.981 2 1.0 267 148 36 1
3 112 -1 2.0 2 39.182 2 1.0 297 98 42 0
4 112 -1 4.0 1 39.182 1 1.0 92 85 54 1
5 112 1 4.0 2 25.119 1 1.0 274 98 85 1
6 112 -1 4.0 5 6.31 2 1.0 160 148 86 1
7 112 1 4.0 1 15.849 1 1.0 88 85 63 0
8 112 -1 4.0 2 15.849 2 1.0 224 98 81 1
9 112 1 4.0 5 3.981 1 1.0 198 148 81 1
10 112 1 2.0 1 10.0 1 1.0 344 85 51 1
11 112 -1 2.0 4 6.31 1 1.0 85 129 83 1
12 112 1 2.0 5 39.182 2 1.0 124 148 79 1
13 112 -1 4.0 1 15.849 1 1.0 294 85 68 0
14 112 1 2.0 4 6.31 2 1.0 191 129 35 1
15 112 1 4.0 4 6.31 2 1.0 294 129 31 1
16 112 -1 2.0 5 15.849 2 1.0 101 148 74 1
17 112 1 4.0 2 39.182 2 1.0 239 98 73 0
18 112 -1 4.0 2 10.0 1 1.0 267 98 46 0
19 112 1 4.0 5 6.31 1 1.0 214 148 61 1
20 112 1 2.0 5 6.31 2 1.0 42 148 86 1
21 112 1 2.0 4 39.182 1 1.0 190 129 81 1
22 112 -1 4.0 1 10.0 2 1.0 341 85 74 0
23 112 -1 4.0 3 39.182 1 1.0 226 112 81 1
24 112 -1 4.0 2 6.31 1 1.0 351 98 43 0
25 112 1 2.0 4 3.981 2 1.0 208 129 71 1
26 112 -1 2.0 3 39.182 1 1.0 58 112 68 1
27 112 1 2.0 2 10.0 2 1.0 134 98 47 1
28 112 -1 2.0 1 25.119 1 1.0 45 85 50 1
29 112 1 4.0 3 10.0 1 1.0 1 112 31 1
30 112 1 4.0 3 3.981 1 1.0 132 112 90 0
31 112 -1 2.0 1 10.0 1 1.0 153 85 62 0
32 112 -1 4.0 4 15.849 1 1.0 288 129 45 1
33 112 -1 2.0 5 25.119 1 1.0 287 148 32 1
34 112 1 4.0 1 39.182 2 1.0 137 85 41 0
35 112 -1 4.0 2 25.119 1 1.0 270 98 36 1
36 112 1 2.0 5 3.981 1 1.0 211 148 79 1
37 112 1 4.0 1 6.31 2 1.0 250 85 88 0
38 112 1 4.0 4 10.0 2 1.0 354 129 57 1
39 112 -1 2.0 4 6.31 2 1.0 127 129 49 1
40 112 1 2.0 4 10.0 1 1.0 307 129 54 1
41 112 -1 2.0 2 10.0 2 1.0 77 98 80 0
42 112 -1 4.0 3 3.981 1 1.0 219 112 55 0
43 112 -1 2.0 1 3.981 2 1.0 279 85 58 0
44 112 -1 4.0 4 25.119 2 1.0 181 129 44 1
45 112 -1 2.0 1 39.182 1 1.0 50 85 53 0
46 112 1 4.0 2 3.981 2 1.0 107 98 36 0
47 112 1 4.0 3 15.849 2 1.0 293 112 46 1
48 112 -1 4.0 1 15.849 2 1.0 88 85 38 0
49 112 -1 2.0 5 25.119 2 1.0 78 148 57 1
50 112 1 2.0 3 25.119 1 1.0 209 112 65 1
51 112 -1 4.0 5 10.0 2 1.0 121 148 64 1
52 112 -1 4.0 4 10.0 1 1.0 280 129 65 1
53 112 1 2.0 1 6.31 1 1.0 255 85 36 0
54 112 1 2.0 5 15.849 2 1.0 246 148 36 1
55 112 1 4.0 5 10.0 2 1.0 187 148 37 1
56 112 -1 2.0 1 6.31 1 1.0 23 85 33 0
57 112 -1 4.0 3 3.981 2 1.0 121 112 82 0
58 112 -1 4.0 4 3.981 2 1.0 138 129 41 1
59 112 1 2.0 3 10.0 1 1.0 177 112 82 1
60 112 -1 4.0 3 10.0 1 1.0 125 112 83 1
61 112 1 4.0 4 25.119 1 1.0 20 129 46 1
62 112 -1 4.0 5 39.182 1 1.0 143 148 79 1
63 112 -1 4.0 2 25.119 2 1.0 234 98 35 1
64 112 -1 2.0 2 6.31 2 1.0 155 98 76 0
65 112 1 4.0 1 39.182 1 1.0 206 85 38 1
66 112 -1 4.0 5 10.0 1 1.0 297 148 59 1
67 112 -1 2.0 3 25.119 1 1.0 275 112 72 0
68 112 1 2.0 2 3.981 2 1.0 67 98 36 0
69 112 1 4.0 5 3.981 2 1.0 275 148 30 1
70 112 -1 2.0 4 39.182 1 1.0 36 129 67 1
71 112 1 2.0 1 25.119 2 1.0 323 85 49 0
72 112 -1 2.0 1 39.182 2 1.0 125 85 71 0
73 112 -1 4.0 1 6.31 1 1.0 97 85 72 0
74 112 1 4.0 3 3.981 2 1.0 80 112 48 0
