trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset response
1 112 -1 2.0 2 6.31 1 1.0 126 98 41 0
2 112 -1 2.0 2 25.119 2 1.0 58 98 51 1
3 112 1 2.0 3 6.31 1 1.0 269 112 33 1
4 112 -1 2.0 5 3.981 1 1.0 319 148 66 1
5 112 -1 4.0 3 10.0 2 1.0 147 112 48 1
6 112 1 4.0 2 39.182 2 1.0 237 98 36 1
7 112 -1 4.0 4 10.0 1 1.0 48 129 61 1
8 112 -1 4.0 5 25.119 1 1.0 127 148 37 1
9 112 1 4.0 1 15.849 1 1.0 230 85 71 0
10 112 -1 2.0 1 15.849 2 1.0 104 85 76 0
11 112 -1 2.0 5 39.182 2 1.0 81 148 53 1
12 112 1 2.0 5 6.31 2 1.0 277 148 57 1
13 112 1 4.0 2 15.849 1 1.0 149 98 87 0
14 112 1 4.0 4 39.182 2 1.0 52 129 53 1
15 112 1 4.0 5 25.119 2 1.0 101 148 86 1
16 112 1 2.0 4 25.119 1 1.0 290 129 77 1
17 112 -1 2.0 5 39.182 1 1.0 304 148 45 1
18 112 1 2.0 5 6.31 1 1.0 192 148 51 0
19 112 -1 4.0 3 3.981 2 1.0 341 112 70 0
20 112 -1 4.0 5 3.981 2 1.0 106 148 87 1
21 112 -1 4.0 2 25.119 2 1.0 273 98 83 0
22 112 1 4.0 1 3.981 2 1.0 138 85 63 0
23 112 1 4.0 1 39.182 2 1.0 104 85 31 0
24 112 1 4.0 5 6.31 2 1.0 337 148 45 1
25 112 1 4.0 2 10.0 2 1.0 51 98 41 0
26 112 1 2.0 3 3.981 1 1.0 215 112 52 0
27 112 1 2.0 3 15.849 1 1.0 116 112 90 0
28 112 1 2.0 3 15.849 2 1.0 270 112 62 1
29 112 -1 2.0 3 3.981 2 1.0 141 112 36 0
30 112 -1 2.0 5 6.31 1 1.0 141 148 81 1
31 112 -1 4.0 3 15.849 2 1.0 164 112 52 0
32 112 -1 4.0 2 3.981 2 1.0 258 98 43 0
33 112 1 2.0 5 3.981 2 1.0 97 148 52 1
34 112 1 4.0 5 25.119 1 1.0 72 148 33 1
35 112 1 4.0 2 25.119 2 1.0 43 98 33 0
36 112 1 2.0 2 3.981 2 1.0 102 98 31 0
37 112 1 4.0 4 15.849 2 1.0 351 129 56 1
38 112 -1 2.0 4 6.31 1 1.0 137 129 71 0
39 112 1 4.0 2 6.31 1 1.0 263 98 34 0
40 112 1 4.0 3 25.119 1 1.0 172 112 67 1
41 112 1 4.0 3 3.981 1 1.0 160 112 45 0
42 112 1 2.0 2 15.849 2 1.0 44 98 30 1
43 112 -1 4.0 4 10.0 2 1.0 259 129 77 1
44 112 1 2.0 4 6.31 2 1.0 258 129 80 1
45 112 1 2.0 3 6.31 2 1.0 256 112 62 1
46 112 -1 2.0 2 39.182 2 1.0 4 98 57 0
47 112 1 4.0 4 10.0 1 1.0 115 129 54 0
48 112 -1 2.0 3 6.31 2 1.0 196 112 83 0
49 112 -1 4.0 1 15.849 1 1.0 325 85 88 0
50 112 1 4.0 5 3.981 1 1.0 238 148 46 1
51 112 1 4.0 5 39.182 2 1.0 66 148 53 1
52 112 -1 2.0 4 15.849 1 1.0 84 129 54 1
53 112 1 2.0 4 39.182 2 1.0 177 129 46 1
