trial durationTest direction radius durationComparison speed number size iniAngle1 durComp onset speedMatchIni response
1 112 0 2.0 3 3.981 2 1.0 284 112 73 60.0 4.31246729147
2 112 0 2.0 3 15.849 2 1.0 212 112 31 0.1 0.1
3 112 0 2.0 3 10.0 1 1.0 344 112 65 60.0 6.98391580482
4 112 0 4.0 3 15.849 2 1.0 267 112 77 0.1 12.0232827205
5 112 0 2.0 3 39.182 2 1.0 24 112 79 0.1 54.7372853182
6 112 0 4.0 3 6.31 1 1.0 245 112 88 60.0 6.64251521827
7 112 0 4.0 3 39.182 1 1.0 157 112 33 60.0 44.9461528082
8 112 0 2.0 3 10.0 2 1.0 78 112 33 0.1 19.1606459041
9 112 0 4.0 3 25.119 1 1.0 183 112 74 60.0 21.888
10 112 0 4.0 3 6.31 2 1.0 239 112 75 0.1 8.33301661478
11 112 0 2.0 3 25.119 1 1.0 40 112 77 60.0 35.5536470016
12 112 0 4.0 3 25.119 2 1.0 252 112 49 60.0 26.045229707
13 112 0 2.0 3 3.981 1 1.0 131 112 78 0.1 4.85715564387
14 112 0 4.0 3 10.0 1 1.0 16 112 35 0.1 7.02498343128
15 112 0 4.0 3 10.0 2 1.0 163 112 70 0.1 5.31588952198
16 112 0 2.0 3 39.182 1 1.0 178 112 48 60.0 43.545858048
17 112 0 2.0 3 15.849 1 1.0 284 112 48 60.0 24.7722750514
18 112 0 4.0 3 15.849 1 1.0 11 112 33 0.1 12.320565875
19 112 0 4.0 3 3.981 2 1.0 24 112 83 60.0 6.97295567818
20 112 0 4.0 3 3.981 1 1.0 120 112 53 60.0 4.87075883714
21 112 0 4.0 3 39.182 2 1.0 183 112 84 0.1 26.4583644262
22 112 0 2.0 3 6.31 2 1.0 333 112 33 0.1 6.31771095851
23 112 0 2.0 3 6.31 1 1.0 73 112 53 60.0 8.63147669625
24 112 0 2.0 3 25.119 2 1.0 18 112 77 0.1 20.8985940547
25 112 0 4.0 3 3.981 1 1.0 6 112 30 60.0 8.81159836954
26 112 0 4.0 3 6.31 1 1.0 273 112 82 0.1 6.56463566188
27 112 0 2.0 3 3.981 1 1.0 122 112 83 60.0 6.86693296374
28 112 0 4.0 3 39.182 1 1.0 218 112 47 0.1 17.4372500579
29 112 0 4.0 3 15.849 2 1.0 194 112 75 60.0 19.122810362
30 112 0 2.0 3 25.119 2 1.0 62 112 32 60.0 27.3052008972
31 112 0 2.0 3 39.182 1 1.0 262 112 72 60.0 35.9073792
32 112 0 4.0 3 39.182 2 1.0 38 112 50 0.1 47.3677629546
33 112 0 4.0 3 15.849 1 1.0 235 112 30 60.0 60.0
34 112 0 2.0 3 6.31 1 1.0 193 112 45 0.1 10.2269426552
35 112 0 4.0 3 10.0 1 1.0 242 112 70 60.0 9.03053942545
36 112 0 4.0 3 10.0 2 1.0 247 112 80 60.0 9.56432174285
37 112 0 2.0 3 39.182 2 1.0 15 112 71 60.0 55.4212475428
38 112 0 2.0 3 15.849 1 1.0 238 112 39 0.1 28.6439628531
39 112 0 4.0 3 6.31 2 1.0 115 112 80 60.0 10.6158780357
40 112 0 2.0 3 15.849 2 1.0 151 112 85 0.1 19.5941549484
41 112 0 2.0 3 6.31 2 1.0 173 112 90 60.0 12.6908689713
42 112 0 2.0 3 3.981 2 1.0 9 112 67 60.0 5.14898074062
43 112 0 2.0 3 25.119 1 1.0 223 112 72 0.1 15.6087541446
44 112 0 4.0 3 3.981 2 1.0 8 112 64 0.1 6.71594121421
45 112 0 4.0 3 25.119 1 1.0 358 112 49 0.1 15.2783449469
46 112 0 2.0 3 10.0 2 1.0 220 112 41 0.1 10.8425973589
47 112 0 2.0 3 10.0 1 1.0 178 112 84 60.0 12.6478319616
48 112 0 4.0 3 25.119 2 1.0 105 112 61 0.1 21.7763314123
